
Segment Center Intensity Mean Ch=1 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
112.125,,Segment,1,5,Image 1,3,1,100000012,510000002784,
177,,Segment,1,4,Image 1,3,1,100000012,510000002791,
181.375,,Segment,1,1,Image 1,1,1,100000012,510000002813,
160.154,,Segment,1,2,Image 1,1,1,100000012,510000002820,
234.2,,Segment,1,2,Image 1,2,1,100000012,510000002832,
193.935,,Segment,1,3,Image 1,2,1,100000012,510000002836,
131.667,,Segment,1,2,Image 1,1,1,100000012,510000002867,
164.379,,Segment,1,3,Image 1,1,1,100000012,510000002869,
136.48,,Segment,1,3,Image 1,2,1,100000012,510000002897,
178.7,,Segment,1,2,Image 1,2,1,100000012,510000002921,
195.5,,Segment,1,3,Image 1,2,1,100000012,510000002930,
115.7,,Segment,1,3,Image 1,3,1,100000012,510000002947,
161.529,,Segment,1,2,Image 1,2,1,100000012,510000002966,
239.667,,Segment,1,3,Image 1,3,1,100000012,510000002982,
143.438,,Segment,1,4,Image 1,3,1,100000012,510000002984,
175.25,,Segment,1,4,Image 1,4,1,100000012,510000002999,
152.857,,Segment,1,3,Image 1,2,1,100000012,510000003014,
195.353,,Segment,1,3,Image 1,3,1,100000012,510000003020,
207.611,,Segment,1,3,Image 1,1,1,100000013,510000003039,
217.833,,Segment,1,3,Image 1,2,1,100000013,510000003056,
105.429,,Segment,1,4,Image 1,2,1,100000013,510000003061,
104.286,,Segment,1,4,Image 1,3,1,100000013,510000003074,
255,,Segment,1,3,Image 1,2,1,100000013,510000003081,
156.625,,Segment,1,4,Image 1,2,1,100000013,510000003083,
190.25,,Segment,1,4,Image 1,3,1,100000013,510000003090,
133.5,,Segment,1,5,Image 1,3,1,100000013,510000003093,
187,,Segment,1,5,Image 1,4,1,100000013,510000003106,
139,,Segment,1,4,Image 1,3,1,100000013,510000003111,
101.318,,Segment,1,4,Image 1,4,1,100000013,510000003122,
134.615,,Segment,1,1,Image 1,1,1,100000013,510000003143,
136,,Segment,1,1,Image 1,1,1,100000013,510000003156,
134.346,,Segment,1,2,Image 1,1,1,100000013,510000003160,
157.5,,Segment,1,2,Image 1,2,1,100000013,510000003185,
232.25,,Segment,1,3,Image 1,2,1,100000013,510000003188,
168,,Segment,1,4,Image 1,2,1,100000013,510000003191,
175,,Segment,1,4,Image 1,3,1,100000013,510000003206,
188,,Segment,1,1,Image 1,1,1,100000013,510000003211,
197.905,,Segment,1,4,Image 1,1,1,100000013,510000003215,
167.1,,Segment,1,4,Image 1,2,1,100000013,510000003235,
168.25,,Segment,1,3,Image 1,2,1,100000013,510000003244,
177.667,,Segment,1,2,Image 1,2,1,100000013,510000003251,
129.353,,Segment,1,3,Image 1,2,1,100000013,510000003253,
128.25,,Segment,1,3,Image 1,3,1,100000013,510000003269,
128.222,,Segment,1,3,Image 1,3,1,100000013,510000003292,
252,,Segment,1,2,Image 1,1,1,100000000,510000003309,
255,,Segment,1,1,Image 1,1,1,100000000,510000003310,
247.5,,Segment,1,2,Image 1,1,1,100000000,510000003311,
255,,Segment,1,1,Image 1,1,1,100000001,510000003312,
237.5,,Segment,1,2,Image 1,1,1,100000001,510000003313,
248,,Segment,1,1,Image 1,1,1,100000002,510000003314,
255,,Segment,1,1,Image 1,1,1,100000002,510000003315,
111.5,,Segment,1,2,Image 1,1,1,100000002,510000003316,
255,,Segment,1,0,Image 1,1,1,100000003,510000003317,
248,,Segment,1,1,Image 1,1,1,100000003,510000003318,
255,,Segment,1,1,Image 1,2,1,100000003,510000003319,
255,,Segment,1,2,Image 1,2,1,100000003,510000003320,
255,,Segment,1,6,Image 1,4,1,100000003,510000003321,
190.5,,Segment,1,7,Image 1,4,1,100000003,510000003322,
166,,Segment,1,7,Image 1,5,1,100000003,510000003323,
170,,Segment,1,4,Image 1,5,1,100000003,510000003324,
255,,Segment,1,0,Image 1,1,1,100000004,510000003325,
252.5,,Segment,1,1,Image 1,2,1,100000004,510000003326,
170,,Segment,1,0,Image 1,1,1,100000004,510000003327,
255,,Segment,1,1,Image 1,1,1,100000005,510000003328,
219,,Segment,1,1,Image 1,1,1,100000006,510000003329,
235,,Segment,1,2,Image 1,2,1,100000006,510000003330,
249,,Segment,1,1,Image 1,1,1,100000006,510000003331,
187.5,,Segment,1,1,Image 1,1,1,100000007,510000003332,
238.5,,Segment,1,1,Image 1,1,1,100000007,510000003333,
255,,Segment,1,0,Image 1,1,1,100000008,510000003334,
251.5,,Segment,1,1,Image 1,1,1,100000008,510000003335,
190,,Segment,1,0,Image 1,1,1,100000009,510000003336,
208.5,,Segment,1,2,Image 1,1,1,100000009,510000003337,
174,,Segment,1,0,Image 1,1,1,100000010,510000003338,
176,,Segment,1,0,Image 1,1,1,100000010,510000003339,
255,,Segment,1,0,Image 1,1,1,100000011,510000003340,
255,,Segment,1,1,Image 1,1,1,100000011,510000003341,
255,,Segment,1,1,Image 1,2,1,100000011,510000003342,
232.5,,Segment,1,2,Image 1,2,1,100000011,510000003343,
223,,Segment,1,3,Image 1,2,1,100000011,510000003344,
255,,Segment,1,1,Image 1,2,1,100000011,510000003345,
243,,Segment,1,2,Image 1,2,1,100000011,510000003346,
227,,Segment,1,0,Image 1,1,1,100000011,510000003347,
230,,Segment,1,1,Image 1,1,1,100000012,510000003348,
255,,Segment,1,1,Image 1,1,1,100000012,510000003349,
255,,Segment,1,1,Image 1,1,1,100000013,510000003350,
239,,Segment,1,2,Image 1,1,1,100000013,510000003351,
255,,Segment,1,2,Image 1,2,1,100000013,510000003352,
176,,Segment,1,3,Image 1,3,1,100000013,510000003353,
125.5,,Segment,1,2,Image 1,1,1,100000013,510000003354,
129,,Segment,1,3,Image 1,1,1,100000013,510000003355,
