
Segment Center Intensity Max Ch=3 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
156,,Segment,3,2,Image 1,2,1,100000007,510000001847,
176,,Segment,3,3,Image 1,2,1,100000007,510000001850,
194,,Segment,3,2,Image 1,1,1,100000007,510000001866,
177,,Segment,3,1,Image 1,1,1,100000007,510000001885,
188,,Segment,3,2,Image 1,1,1,100000007,510000001892,
189,,Segment,3,2,Image 1,2,1,100000007,510000001903,
184,,Segment,3,2,Image 1,2,1,100000007,510000001915,
175,,Segment,3,1,Image 1,1,1,100000007,510000001923,
189,,Segment,3,1,Image 1,1,1,100000007,510000001931,
144,,Segment,3,3,Image 1,3,1,100000007,510000001949,
191,,Segment,3,3,Image 1,2,1,100000007,510000001953,
201,,Segment,3,0,Image 1,1,1,100000008,510000001968,
96,,Segment,3,2,Image 1,1,1,100000008,510000001975,
129,,Segment,3,3,Image 1,1,1,100000008,510000001977,
194,,Segment,3,4,Image 1,1,1,100000008,510000001980,
204,,Segment,3,1,Image 1,2,1,100000008,510000001997,
198,,Segment,3,4,Image 1,2,1,100000008,510000002005,
188,,Segment,3,2,Image 1,2,1,100000008,510000002022,
135,,Segment,3,1,Image 1,2,1,100000008,510000002027,
184,,Segment,3,2,Image 1,2,1,100000008,510000002031,
144,,Segment,3,2,Image 1,2,1,100000008,510000002036,
181,,Segment,3,3,Image 1,2,1,100000008,510000002040,
205,,Segment,3,3,Image 1,3,1,100000008,510000002045,
200,,Segment,3,3,Image 1,2,1,100000008,510000002056,
201,,Segment,3,2,Image 1,2,1,100000008,510000002076,
185,,Segment,3,2,Image 1,3,1,100000008,510000002093,
190,,Segment,3,1,Image 1,2,1,100000009,510000002102,
201,,Segment,3,1,Image 1,2,1,100000009,510000002111,
111,,Segment,3,1,Image 1,1,1,100000009,510000002126,
200,,Segment,3,3,Image 1,1,1,100000009,510000002129,
198,,Segment,3,3,Image 1,2,1,100000009,510000002143,
184,,Segment,3,2,Image 1,2,1,100000009,510000002148,
183,,Segment,3,3,Image 1,2,1,100000009,510000002151,
210,,Segment,3,2,Image 1,2,1,100000009,510000002156,
195,,Segment,3,3,Image 1,3,1,100000009,510000002165,
197,,Segment,3,1,Image 1,2,1,100000009,510000002171,
196,,Segment,3,2,Image 1,2,1,100000009,510000002176,
200,,Segment,3,2,Image 1,3,1,100000009,510000002180,
118,,Segment,3,1,Image 1,1,1,100000010,510000002194,
134,,Segment,3,2,Image 1,1,1,100000010,510000002196,
208,,Segment,3,3,Image 1,1,1,100000010,510000002202,
140,,Segment,3,2,Image 1,2,1,100000010,510000002218,
198,,Segment,3,3,Image 1,2,1,100000010,510000002226,
121,,Segment,3,1,Image 1,2,1,100000010,510000002246,
193,,Segment,3,2,Image 1,3,1,100000010,510000002248,
203,,Segment,3,3,Image 1,3,1,100000010,510000002263,
121,,Segment,3,2,Image 1,2,1,100000010,510000002278,
174,,Segment,3,3,Image 1,2,1,100000010,510000002281,
192,,Segment,3,4,Image 1,2,1,100000010,510000002290,
