
Segment Intensity Max Ch=3 Img=1
 ==================== 
Segment Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
202,,Segment,3,2,Image 1,2,1,100000007,510000001903,
195,,Segment,3,2,Image 1,2,1,100000007,510000001915,
195,,Segment,3,1,Image 1,1,1,100000007,510000001923,
214,,Segment,3,1,Image 1,1,1,100000007,510000001931,
190,,Segment,3,3,Image 1,3,1,100000007,510000001949,
202,,Segment,3,3,Image 1,2,1,100000007,510000001953,
219,,Segment,3,0,Image 1,1,1,100000008,510000001968,
167,,Segment,3,2,Image 1,1,1,100000008,510000001975,
176,,Segment,3,3,Image 1,1,1,100000008,510000001977,
201,,Segment,3,4,Image 1,1,1,100000008,510000001980,
215,,Segment,3,1,Image 1,2,1,100000008,510000001997,
208,,Segment,3,4,Image 1,2,1,100000008,510000002005,
209,,Segment,3,2,Image 1,2,1,100000008,510000002022,
182,,Segment,3,1,Image 1,2,1,100000008,510000002027,
200,,Segment,3,2,Image 1,2,1,100000008,510000002031,
200,,Segment,3,2,Image 1,2,1,100000008,510000002036,
223,,Segment,3,3,Image 1,2,1,100000008,510000002040,
218,,Segment,3,3,Image 1,3,1,100000008,510000002045,
204,,Segment,3,3,Image 1,2,1,100000008,510000002056,
227,,Segment,3,2,Image 1,2,1,100000008,510000002076,
208,,Segment,3,2,Image 1,3,1,100000008,510000002093,
222,,Segment,3,1,Image 1,2,1,100000009,510000002102,
210,,Segment,3,1,Image 1,2,1,100000009,510000002111,
161,,Segment,3,1,Image 1,1,1,100000009,510000002126,
206,,Segment,3,3,Image 1,1,1,100000009,510000002129,
222,,Segment,3,3,Image 1,2,1,100000009,510000002143,
197,,Segment,3,2,Image 1,2,1,100000009,510000002148,
201,,Segment,3,3,Image 1,2,1,100000009,510000002151,
219,,Segment,3,2,Image 1,2,1,100000009,510000002156,
214,,Segment,3,3,Image 1,3,1,100000009,510000002165,
217,,Segment,3,1,Image 1,2,1,100000009,510000002171,
217,,Segment,3,2,Image 1,2,1,100000009,510000002176,
221,,Segment,3,2,Image 1,3,1,100000009,510000002180,
134,,Segment,3,1,Image 1,1,1,100000010,510000002194,
158,,Segment,3,2,Image 1,1,1,100000010,510000002196,
216,,Segment,3,3,Image 1,1,1,100000010,510000002202,
162,,Segment,3,2,Image 1,2,1,100000010,510000002218,
208,,Segment,3,3,Image 1,2,1,100000010,510000002226,
131,,Segment,3,1,Image 1,2,1,100000010,510000002246,
197,,Segment,3,2,Image 1,3,1,100000010,510000002248,
204,,Segment,3,3,Image 1,3,1,100000010,510000002263,
131,,Segment,3,2,Image 1,2,1,100000010,510000002278,
186,,Segment,3,3,Image 1,2,1,100000010,510000002281,
206,,Segment,3,4,Image 1,2,1,100000010,510000002290,
216,,Segment,3,3,Image 1,3,1,100000010,510000002302,
221,,Segment,3,4,Image 1,3,1,100000010,510000002331,
187,,Segment,3,1,Image 1,1,1,100000010,510000002342,
204,,Segment,3,2,Image 1,1,1,100000010,510000002358,
204,,Segment,3,3,Image 1,1,1,100000010,510000002363,
209,,Segment,3,3,Image 1,2,1,100000010,510000002365,
197,,Segment,3,1,Image 1,2,1,100000010,510000002368,
191,,Segment,3,3,Image 1,2,1,100000010,510000002382,
147,,Segment,3,1,Image 1,2,1,100000010,510000002396,
198,,Segment,3,2,Image 1,2,1,100000010,510000002399,
147,,Segment,3,2,Image 1,3,1,100000010,510000002407,
160,,Segment,3,3,Image 1,3,1,100000010,510000002412,
214,,Segment,3,4,Image 1,3,1,100000010,510000002417,
185,,Segment,3,4,Image 1,4,1,100000010,510000002428,
137,,Segment,3,1,Image 1,2,1,100000010,510000002431,
163,,Segment,3,2,Image 1,2,1,100000010,510000002441,
162,,Segment,3,3,Image 1,2,1,100000010,510000002444,
174,,Segment,3,4,Image 1,2,1,100000010,510000002447,
162,,Segment,3,4,Image 1,3,1,100000010,510000002454,
194,,Segment,3,5,Image 1,3,1,100000010,510000002456,
178,,Segment,3,5,Image 1,4,1,100000010,510000002459,
199,,Segment,3,3,Image 1,3,1,100000010,510000002461,
197,,Segment,3,2,Image 1,3,1,100000010,510000002466,
212,,Segment,3,2,Image 1,2,1,100000010,510000002479,
