
Segment Center Intensity Sum Ch=3 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
2096,,Segment,3,1,Image 1,1,1,100000013,510000003143,
564,,Segment,3,1,Image 1,1,1,100000013,510000003156,
4246,,Segment,3,2,Image 1,1,1,100000013,510000003160,
605,,Segment,3,2,Image 1,2,1,100000013,510000003185,
527,,Segment,3,3,Image 1,2,1,100000013,510000003188,
2476,,Segment,3,4,Image 1,2,1,100000013,510000003191,
919,,Segment,3,4,Image 1,3,1,100000013,510000003206,
190,,Segment,3,1,Image 1,1,1,100000013,510000003211,
3006,,Segment,3,4,Image 1,1,1,100000013,510000003215,
1486,,Segment,3,4,Image 1,2,1,100000013,510000003235,
1111,,Segment,3,3,Image 1,2,1,100000013,510000003244,
331,,Segment,3,2,Image 1,2,1,100000013,510000003251,
2528,,Segment,3,3,Image 1,2,1,100000013,510000003253,
4090,,Segment,3,3,Image 1,3,1,100000013,510000003269,
2897,,Segment,3,3,Image 1,3,1,100000013,510000003292,
222,,Segment,3,2,Image 1,1,1,100000000,510000003309,
65,,Segment,3,1,Image 1,1,1,100000000,510000003310,
148,,Segment,3,2,Image 1,1,1,100000000,510000003311,
140,,Segment,3,1,Image 1,1,1,100000001,510000003312,
225,,Segment,3,2,Image 1,1,1,100000001,510000003313,
154,,Segment,3,1,Image 1,1,1,100000002,510000003314,
69,,Segment,3,1,Image 1,1,1,100000002,510000003315,
366,,Segment,3,2,Image 1,1,1,100000002,510000003316,
77,,Segment,3,0,Image 1,1,1,100000003,510000003317,
179,,Segment,3,1,Image 1,1,1,100000003,510000003318,
104,,Segment,3,1,Image 1,2,1,100000003,510000003319,
59,,Segment,3,2,Image 1,2,1,100000003,510000003320,
82,,Segment,3,6,Image 1,4,1,100000003,510000003321,
214,,Segment,3,7,Image 1,4,1,100000003,510000003322,
224,,Segment,3,7,Image 1,5,1,100000003,510000003323,
307,,Segment,3,4,Image 1,5,1,100000003,510000003324,
35,,Segment,3,0,Image 1,1,1,100000004,510000003325,
127,,Segment,3,1,Image 1,2,1,100000004,510000003326,
136,,Segment,3,0,Image 1,1,1,100000004,510000003327,
105,,Segment,3,1,Image 1,1,1,100000005,510000003328,
106,,Segment,3,1,Image 1,1,1,100000006,510000003329,
199,,Segment,3,2,Image 1,2,1,100000006,510000003330,
89,,Segment,3,1,Image 1,1,1,100000006,510000003331,
197,,Segment,3,1,Image 1,1,1,100000007,510000003332,
133,,Segment,3,1,Image 1,1,1,100000007,510000003333,
49,,Segment,3,0,Image 1,1,1,100000008,510000003334,
124,,Segment,3,1,Image 1,1,1,100000008,510000003335,
111,,Segment,3,0,Image 1,1,1,100000009,510000003336,
211,,Segment,3,2,Image 1,1,1,100000009,510000003337,
196,,Segment,3,0,Image 1,1,1,100000010,510000003338,
204,,Segment,3,0,Image 1,1,1,100000010,510000003339,
29,,Segment,3,0,Image 1,1,1,100000011,510000003340,
69,,Segment,3,1,Image 1,1,1,100000011,510000003341,
63,,Segment,3,1,Image 1,2,1,100000011,510000003342,
113,,Segment,3,2,Image 1,2,1,100000011,510000003343,
178,,Segment,3,3,Image 1,2,1,100000011,510000003344,
66,,Segment,3,1,Image 1,2,1,100000011,510000003345,
120,,Segment,3,2,Image 1,2,1,100000011,510000003346,
76,,Segment,3,0,Image 1,1,1,100000011,510000003347,
198,,Segment,3,1,Image 1,1,1,100000012,510000003348,
141,,Segment,3,1,Image 1,1,1,100000012,510000003349,
43,,Segment,3,1,Image 1,1,1,100000013,510000003350,
161,,Segment,3,2,Image 1,1,1,100000013,510000003351,
101,,Segment,3,2,Image 1,2,1,100000013,510000003352,
204,,Segment,3,3,Image 1,3,1,100000013,510000003353,
274,,Segment,3,2,Image 1,1,1,100000013,510000003354,
300,,Segment,3,3,Image 1,1,1,100000013,510000003355,
