
Segment Center Intensity Median Ch=2 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
163.062,,Segment,2,4,Image 1,2,1,100000011,510000002565,
152.062,,Segment,2,4,Image 1,3,1,100000011,510000002578,
103.625,,Segment,2,3,Image 1,3,1,100000011,510000002584,
146.125,,Segment,2,2,Image 1,3,1,100000011,510000002606,
153.062,,Segment,2,1,Image 1,1,1,100000011,510000002630,
159.062,,Segment,2,1,Image 1,2,1,100000011,510000002643,
83.5312,,Segment,2,3,Image 1,2,1,100000011,510000002661,
186.625,,Segment,2,3,Image 1,3,1,100000011,510000002664,
155.625,,Segment,2,3,Image 1,2,1,100000011,510000002675,
153.531,,Segment,2,2,Image 1,1,1,100000012,510000002702,
155.125,,Segment,2,3,Image 1,1,1,100000012,510000002709,
186.516,,Segment,2,4,Image 1,1,1,100000012,510000002731,
184.008,,Segment,2,4,Image 1,2,1,100000012,510000002740,
142.062,,Segment,2,2,Image 1,2,1,100000012,510000002746,
140.062,,Segment,2,3,Image 1,2,1,100000012,510000002752,
136.062,,Segment,2,4,Image 1,2,1,100000012,510000002760,
128.062,,Segment,2,5,Image 1,2,1,100000012,510000002776,
179.562,,Segment,2,5,Image 1,3,1,100000012,510000002784,
154.125,,Segment,2,4,Image 1,3,1,100000012,510000002791,
152.125,,Segment,2,1,Image 1,1,1,100000012,510000002813,
159.125,,Segment,2,2,Image 1,1,1,100000012,510000002820,
94.0625,,Segment,2,2,Image 1,2,1,100000012,510000002832,
132.125,,Segment,2,3,Image 1,2,1,100000012,510000002836,
157.062,,Segment,2,2,Image 1,1,1,100000012,510000002867,
162.062,,Segment,2,3,Image 1,1,1,100000012,510000002869,
168.062,,Segment,2,3,Image 1,2,1,100000012,510000002897,
139.062,,Segment,2,2,Image 1,2,1,100000012,510000002921,
147.562,,Segment,2,3,Image 1,2,1,100000012,510000002930,
178.562,,Segment,2,3,Image 1,3,1,100000012,510000002947,
159.125,,Segment,2,2,Image 1,2,1,100000012,510000002966,
117.031,,Segment,2,3,Image 1,3,1,100000012,510000002982,
164.062,,Segment,2,4,Image 1,3,1,100000012,510000002984,
158.125,,Segment,2,4,Image 1,4,1,100000012,510000002999,
158.062,,Segment,2,3,Image 1,2,1,100000012,510000003014,
140.125,,Segment,2,3,Image 1,3,1,100000012,510000003020,
112,,Segment,2,3,Image 1,1,1,100000013,510000003039,
109.562,,Segment,2,3,Image 1,2,1,100000013,510000003056,
177.016,,Segment,2,4,Image 1,2,1,100000013,510000003061,
181.016,,Segment,2,4,Image 1,3,1,100000013,510000003074,
57.0312,,Segment,2,3,Image 1,2,1,100000013,510000003081,
161.562,,Segment,2,4,Image 1,2,1,100000013,510000003083,
117.562,,Segment,2,4,Image 1,3,1,100000013,510000003090,
164.516,,Segment,2,5,Image 1,3,1,100000013,510000003093,
151.031,,Segment,2,5,Image 1,4,1,100000013,510000003106,
176.562,,Segment,2,4,Image 1,3,1,100000013,510000003111,
179.531,,Segment,2,4,Image 1,4,1,100000013,510000003122,
158.031,,Segment,2,1,Image 1,1,1,100000013,510000003143,
145.062,,Segment,2,1,Image 1,1,1,100000013,510000003156,
159.125,,Segment,2,2,Image 1,1,1,100000013,510000003160,
148.008,,Segment,2,2,Image 1,2,1,100000013,510000003185,
124.531,,Segment,2,3,Image 1,2,1,100000013,510000003188,
158.062,,Segment,2,4,Image 1,2,1,100000013,510000003191,
158.562,,Segment,2,4,Image 1,3,1,100000013,510000003206,
93.0625,,Segment,2,1,Image 1,1,1,100000013,510000003211,
139.125,,Segment,2,4,Image 1,1,1,100000013,510000003215,
153.062,,Segment,2,4,Image 1,2,1,100000013,510000003235,
135.031,,Segment,2,3,Image 1,2,1,100000013,510000003244,
113.031,,Segment,2,2,Image 1,2,1,100000013,510000003251,
150.062,,Segment,2,3,Image 1,2,1,100000013,510000003253,
176.062,,Segment,2,3,Image 1,3,1,100000013,510000003269,
159.562,,Segment,2,3,Image 1,3,1,100000013,510000003292,
106.508,,Segment,2,2,Image 1,1,1,100000000,510000003309,
33.5156,,Segment,2,1,Image 1,1,1,100000000,510000003310,
68.0312,,Segment,2,2,Image 1,1,1,100000000,510000003311,
69.5625,,Segment,2,1,Image 1,1,1,100000001,510000003312,
110.501,,Segment,2,2,Image 1,1,1,100000001,510000003313,
79.0625,,Segment,2,1,Image 1,1,1,100000002,510000003314,
38.5078,,Segment,2,1,Image 1,1,1,100000002,510000003315,
184.501,,Segment,2,2,Image 1,1,1,100000002,510000003316,
70,,Segment,2,0,Image 1,1,1,100000003,510000003317,
80.0156,,Segment,2,1,Image 1,1,1,100000003,510000003318,
48.5312,,Segment,2,1,Image 1,2,1,100000003,510000003319,
31.5078,,Segment,2,2,Image 1,2,1,100000003,510000003320,
18.5078,,Segment,2,6,Image 1,4,1,100000003,510000003321,
94.625,,Segment,2,7,Image 1,4,1,100000003,510000003322,
109.625,,Segment,2,7,Image 1,5,1,100000003,510000003323,
150.031,,Segment,2,4,Image 1,5,1,100000003,510000003324,
45,,Segment,2,0,Image 1,1,1,100000004,510000003325,
62.5312,,Segment,2,1,Image 1,2,1,100000004,510000003326,
133,,Segment,2,0,Image 1,1,1,100000004,510000003327,
46.5312,,Segment,2,1,Image 1,1,1,100000005,510000003328,
104,,Segment,2,1,Image 1,1,1,100000006,510000003329,
96.0156,,Segment,2,2,Image 1,2,1,100000006,510000003330,
85,,Segment,2,1,Image 1,1,1,100000006,510000003331,
