
Segment Mean Diameter
 ==================== 
Segment Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
6.0622,µm,Segment,3,3,1,100000008,510000002045,
6.38,µm,Segment,3,2,1,100000008,510000002056,
6.47205,µm,Segment,2,2,1,100000008,510000002076,
6.09252,µm,Segment,2,3,1,100000008,510000002093,
6.78031,µm,Segment,1,2,1,100000009,510000002102,
5.25321,µm,Segment,1,2,1,100000009,510000002111,
7.00407,µm,Segment,1,1,1,100000009,510000002126,
4.78066,µm,Segment,3,1,1,100000009,510000002129,
4.68885,µm,Segment,3,2,1,100000009,510000002143,
4.81877,µm,Segment,2,2,1,100000009,510000002148,
4.55961,µm,Segment,3,2,1,100000009,510000002151,
4.66372,µm,Segment,2,2,1,100000009,510000002156,
4.54227,µm,Segment,3,3,1,100000009,510000002165,
5.99482,µm,Segment,1,2,1,100000009,510000002171,
4.6859,µm,Segment,2,2,1,100000009,510000002176,
4.57976,µm,Segment,2,3,1,100000009,510000002180,
10.5173,µm,Segment,1,1,1,100000010,510000002194,
9.37204,µm,Segment,2,1,1,100000010,510000002196,
7.51697,µm,Segment,3,1,1,100000010,510000002202,
5.99982,µm,Segment,2,2,1,100000010,510000002218,
4.88609,µm,Segment,3,2,1,100000010,510000002226,
7.73587,µm,Segment,1,2,1,100000010,510000002246,
5.009,µm,Segment,2,3,1,100000010,510000002248,
4.64052,µm,Segment,3,3,1,100000010,510000002263,
5.01571,µm,Segment,2,2,1,100000010,510000002278,
4.67283,µm,Segment,3,2,1,100000010,510000002281,
4.55631,µm,Segment,4,2,1,100000010,510000002290,
4.55509,µm,Segment,3,3,1,100000010,510000002302,
4.53987,µm,Segment,4,3,1,100000010,510000002331,
7.3186,µm,Segment,1,1,1,100000010,510000002342,
5.4226,µm,Segment,2,1,1,100000010,510000002358,
4.68059,µm,Segment,3,1,1,100000010,510000002363,
4.63708,µm,Segment,3,2,1,100000010,510000002365,
5.33955,µm,Segment,1,2,1,100000010,510000002368,
5.14669,µm,Segment,3,2,1,100000010,510000002382,
6.51478,µm,Segment,1,2,1,100000010,510000002396,
4.8031,µm,Segment,2,2,1,100000010,510000002399,
4.7471,µm,Segment,2,3,1,100000010,510000002407,
4.6127,µm,Segment,3,3,1,100000010,510000002412,
4.56702,µm,Segment,4,3,1,100000010,510000002417,
4.55077,µm,Segment,4,4,1,100000010,510000002428,
5.64116,µm,Segment,1,2,1,100000010,510000002431,
4.85827,µm,Segment,2,2,1,100000010,510000002441,
4.72615,µm,Segment,3,2,1,100000010,510000002444,
4.60087,µm,Segment,4,2,1,100000010,510000002447,
4.5964,µm,Segment,4,3,1,100000010,510000002454,
4.53309,µm,Segment,5,3,1,100000010,510000002456,
4.53291,µm,Segment,5,4,1,100000010,510000002459,
4.58608,µm,Segment,3,3,1,100000010,510000002461,
4.58815,µm,Segment,2,3,1,100000010,510000002466,
4.79363,µm,Segment,2,2,1,100000010,510000002479,
4.54279,µm,Segment,3,4,1,100000010,510000002488,
6.98447,µm,Segment,2,1,1,100000011,510000002505,
5.92084,µm,Segment,3,1,1,100000011,510000002515,
5.75517,µm,Segment,2,2,1,100000011,510000002528,
5.72952,µm,Segment,2,3,1,100000011,510000002550,
5.52602,µm,Segment,4,2,1,100000011,510000002565,
5.50581,µm,Segment,4,3,1,100000011,510000002578,
5.50217,µm,Segment,3,3,1,100000011,510000002584,
5.66545,µm,Segment,2,3,1,100000011,510000002606,
6.46618,µm,Segment,1,1,1,100000011,510000002630,
5.89581,µm,Segment,1,2,1,100000011,510000002643,
5.54793,µm,Segment,3,2,1,100000011,510000002661,
5.50749,µm,Segment,3,3,1,100000011,510000002664,
5.5876,µm,Segment,3,2,1,100000011,510000002675,
9.06841,µm,Segment,2,1,1,100000012,510000002702,
8.4461,µm,Segment,3,1,1,100000012,510000002709,
8.08328,µm,Segment,4,1,1,100000012,510000002731,
8.05002,µm,Segment,4,2,1,100000012,510000002740,
8.49646,µm,Segment,2,2,1,100000012,510000002746,
8.21669,µm,Segment,3,2,1,100000012,510000002752,
8.10833,µm,Segment,4,2,1,100000012,510000002760,
8.03743,µm,Segment,5,2,1,100000012,510000002776,
8.02839,µm,Segment,5,3,1,100000012,510000002784,
8.03923,µm,Segment,4,3,1,100000012,510000002791,
9.58474,µm,Segment,1,1,1,100000012,510000002813,
8.23724,µm,Segment,2,1,1,100000012,510000002820,
8.58225,µm,Segment,2,2,1,100000012,510000002832,
8.12697,µm,Segment,3,2,1,100000012,510000002836,
9.32507,µm,Segment,2,1,1,100000012,510000002867,
8.43142,µm,Segment,3,1,1,100000012,510000002869,
8.15311,µm,Segment,3,2,1,100000012,510000002897,
8.39893,µm,Segment,2,2,1,100000012,510000002921,
8.10087,µm,Segment,3,2,1,100000012,510000002930,
8.04241,µm,Segment,3,3,1,100000012,510000002947,
8.09641,µm,Segment,2,2,1,100000012,510000002966,
8.13598,µm,Segment,3,3,1,100000012,510000002982,
8.03934,µm,Segment,4,3,1,100000012,510000002984,
8.02675,µm,Segment,4,4,1,100000012,510000002999,
8.19618,µm,Segment,3,2,1,100000012,510000003014,
8.05832,µm,Segment,3,3,1,100000012,510000003020,
5.7049,µm,Segment,3,1,1,100000013,510000003039,
5.43806,µm,Segment,3,2,1,100000013,510000003056,
4.6946,µm,Segment,4,2,1,100000013,510000003061,
4.60769,µm,Segment,4,3,1,100000013,510000003074,
5.25484,µm,Segment,3,2,1,100000013,510000003081,
4.73318,µm,Segment,4,2,1,100000013,510000003083,
4.72577,µm,Segment,4,3,1,100000013,510000003090,
4.55712,µm,Segment,5,3,1,100000013,510000003093,
4.54842,µm,Segment,5,4,1,100000013,510000003106,
