
Segment Orientation Angle
 ==================== 
Segment Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
111.981,°,Segment,2,3,1,100000010,510000002407,
177.035,°,Segment,3,3,1,100000010,510000002412,
-170.514,°,Segment,4,3,1,100000010,510000002417,
153.904,°,Segment,4,4,1,100000010,510000002428,
134.04,°,Segment,1,2,1,100000010,510000002431,
166.069,°,Segment,2,2,1,100000010,510000002441,
-179.881,°,Segment,3,2,1,100000010,510000002444,
174.474,°,Segment,4,2,1,100000010,510000002447,
143.679,°,Segment,4,3,1,100000010,510000002454,
158.168,°,Segment,5,3,1,100000010,510000002456,
88.0481,°,Segment,5,4,1,100000010,510000002459,
104.181,°,Segment,3,3,1,100000010,510000002461,
133.214,°,Segment,2,3,1,100000010,510000002466,
-53.697,°,Segment,2,2,1,100000010,510000002479,
-107.409,°,Segment,3,4,1,100000010,510000002488,
-56.8421,°,Segment,2,1,1,100000011,510000002505,
-63.396,°,Segment,3,1,1,100000011,510000002515,
-33.5435,°,Segment,2,2,1,100000011,510000002528,
-15.1743,°,Segment,2,3,1,100000011,510000002550,
61.0065,°,Segment,4,2,1,100000011,510000002565,
96.7532,°,Segment,4,3,1,100000011,510000002578,
117.041,°,Segment,3,3,1,100000011,510000002584,
140.161,°,Segment,2,3,1,100000011,510000002606,
-118.176,°,Segment,1,1,1,100000011,510000002630,
-82.7877,°,Segment,1,2,1,100000011,510000002643,
176.233,°,Segment,3,2,1,100000011,510000002661,
169.409,°,Segment,3,3,1,100000011,510000002664,
-90.6331,°,Segment,3,2,1,100000011,510000002675,
-79.8193,°,Segment,2,1,1,100000012,510000002702,
-81.8036,°,Segment,3,1,1,100000012,510000002709,
-103.226,°,Segment,4,1,1,100000012,510000002731,
-136.311,°,Segment,4,2,1,100000012,510000002740,
-51.574,°,Segment,2,2,1,100000012,510000002746,
-64.9068,°,Segment,3,2,1,100000012,510000002752,
-72.9758,°,Segment,4,2,1,100000012,510000002760,
-6.36207,°,Segment,5,2,1,100000012,510000002776,
-86.2984,°,Segment,5,3,1,100000012,510000002784,
-39.3987,°,Segment,4,3,1,100000012,510000002791,
16.8762,°,Segment,1,1,1,100000012,510000002813,
11.8203,°,Segment,2,1,1,100000012,510000002820,
177.769,°,Segment,2,2,1,100000012,510000002832,
-120.063,°,Segment,3,2,1,100000012,510000002836,
155.932,°,Segment,2,1,1,100000012,510000002867,
150.38,°,Segment,3,1,1,100000012,510000002869,
112.538,°,Segment,3,2,1,100000012,510000002897,
79.2013,°,Segment,2,2,1,100000012,510000002921,
85.0078,°,Segment,3,2,1,100000012,510000002930,
44.3479,°,Segment,3,3,1,100000012,510000002947,
50.4549,°,Segment,2,2,1,100000012,510000002966,
-39.1975,°,Segment,3,3,1,100000012,510000002982,
22.1644,°,Segment,4,3,1,100000012,510000002984,
48.4786,°,Segment,4,4,1,100000012,510000002999,
-104.205,°,Segment,3,2,1,100000012,510000003014,
-160.289,°,Segment,3,3,1,100000012,510000003020,
-48.4311,°,Segment,3,1,1,100000013,510000003039,
-99.0223,°,Segment,3,2,1,100000013,510000003056,
-85.1009,°,Segment,4,2,1,100000013,510000003061,
-118.51,°,Segment,4,3,1,100000013,510000003074,
-13.2852,°,Segment,3,2,1,100000013,510000003081,
-22.8127,°,Segment,4,2,1,100000013,510000003083,
44.0906,°,Segment,4,3,1,100000013,510000003090,
31.4918,°,Segment,5,3,1,100000013,510000003093,
5.63076,°,Segment,5,4,1,100000013,510000003106,
25.6167,°,Segment,4,3,1,100000013,510000003111,
53.2018,°,Segment,4,4,1,100000013,510000003122,
54.6074,°,Segment,1,1,1,100000013,510000003143,
111.584,°,Segment,1,1,1,100000013,510000003156,
64.4303,°,Segment,2,1,1,100000013,510000003160,
139.69,°,Segment,2,2,1,100000013,510000003185,
153.576,°,Segment,3,2,1,100000013,510000003188,
159.232,°,Segment,4,2,1,100000013,510000003191,
142.096,°,Segment,4,3,1,100000013,510000003206,
-178.376,°,Segment,1,1,1,100000013,510000003211,
-142.662,°,Segment,4,1,1,100000013,510000003215,
140.017,°,Segment,4,2,1,100000013,510000003235,
136.303,°,Segment,3,2,1,100000013,510000003244,
48.0626,°,Segment,2,2,1,100000013,510000003251,
140.213,°,Segment,3,2,1,100000013,510000003253,
119.827,°,Segment,3,3,1,100000013,510000003269,
94.2905,°,Segment,3,3,1,100000013,510000003292,
-162.975,°,Segment,2,1,1,100000000,510000003309,
-105.811,°,Segment,1,1,1,100000000,510000003310,
-97.6127,°,Segment,2,1,1,100000000,510000003311,
-52.6805,°,Segment,1,1,1,100000001,510000003312,
-54.0828,°,Segment,2,1,1,100000001,510000003313,
-17.3057,°,Segment,1,1,1,100000002,510000003314,
-160.79,°,Segment,1,1,1,100000002,510000003315,
82.02,°,Segment,2,1,1,100000002,510000003316,
-29.9953,°,Segment,0,1,1,100000003,510000003317,
-33.6082,°,Segment,1,1,1,100000003,510000003318,
136.646,°,Segment,1,2,1,100000003,510000003319,
130.158,°,Segment,2,2,1,100000003,510000003320,
44.9881,°,Segment,6,4,1,100000003,510000003321,
13.4553,°,Segment,7,4,1,100000003,510000003322,
90.1023,°,Segment,7,5,1,100000003,510000003323,
-75.3342,°,Segment,4,5,1,100000003,510000003324,
131.36,°,Segment,0,1,1,100000004,510000003325,
-81.4792,°,Segment,1,2,1,100000004,510000003326,
-21.6865,°,Segment,0,1,1,100000004,510000003327,
-167.728,°,Segment,1,1,1,100000005,510000003328,
-50.4073,°,Segment,1,1,1,100000006,510000003329,
25.3991,°,Segment,2,2,1,100000006,510000003330,
133.146,°,Segment,1,1,1,100000006,510000003331,
18.0396,°,Segment,1,1,1,100000007,510000003332,
-94.5646,°,Segment,1,1,1,100000007,510000003333,
95.1003,°,Segment,0,1,1,100000008,510000003334,
77.7406,°,Segment,1,1,1,100000008,510000003335,
99.4353,°,Segment,0,1,1,100000009,510000003336,
-73.2051,°,Segment,2,1,1,100000009,510000003337,
8.81374,°,Segment,0,1,1,100000010,510000003338,
-92.4717,°,Segment,0,1,1,100000010,510000003339,
-53.6726,°,Segment,0,1,1,100000011,510000003340,
-50.5314,°,Segment,1,1,1,100000011,510000003341,
20.205,°,Segment,1,2,1,100000011,510000003342,
114.191,°,Segment,2,2,1,100000011,510000003343,
89.7485,°,Segment,3,2,1,100000011,510000003344,
132.429,°,Segment,1,2,1,100000011,510000003345,
-171.154,°,Segment,2,2,1,100000011,510000003346,
-147.471,°,Segment,0,1,1,100000011,510000003347,
-67.8055,°,Segment,1,1,1,100000012,510000003348,
162.605,°,Segment,1,1,1,100000012,510000003349,
-55.1781,°,Segment,1,1,1,100000013,510000003350,
-58.8403,°,Segment,2,1,1,100000013,510000003351,
17.5374,°,Segment,2,2,1,100000013,510000003352,
70.743,°,Segment,3,3,1,100000013,510000003353,
-177.133,°,Segment,2,1,1,100000013,510000003354,
-169.6,°,Segment,3,1,1,100000013,510000003355,
