
Segment Center Intensity StdDev Ch=2 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
23.2492,,Segment,2,3,Image 1,1,1,100000012,510000002869,
27.0177,,Segment,2,3,Image 1,2,1,100000012,510000002897,
38.658,,Segment,2,2,Image 1,2,1,100000012,510000002921,
16.2146,,Segment,2,3,Image 1,2,1,100000012,510000002930,
17.3651,,Segment,2,3,Image 1,3,1,100000012,510000002947,
48.9759,,Segment,2,2,Image 1,2,1,100000012,510000002966,
24.5674,,Segment,2,3,Image 1,3,1,100000012,510000002982,
19.0007,,Segment,2,4,Image 1,3,1,100000012,510000002984,
37.4136,,Segment,2,4,Image 1,4,1,100000012,510000002999,
33.5717,,Segment,2,3,Image 1,2,1,100000012,510000003014,
39.7003,,Segment,2,3,Image 1,3,1,100000012,510000003020,
23.816,,Segment,2,3,Image 1,1,1,100000013,510000003039,
28.4102,,Segment,2,3,Image 1,2,1,100000013,510000003056,
7.89375,,Segment,2,4,Image 1,2,1,100000013,510000003061,
9.16292,,Segment,2,4,Image 1,3,1,100000013,510000003074,
20.0389,,Segment,2,3,Image 1,2,1,100000013,510000003081,
36.9358,,Segment,2,4,Image 1,2,1,100000013,510000003083,
35.9792,,Segment,2,4,Image 1,3,1,100000013,510000003090,
10.5659,,Segment,2,5,Image 1,3,1,100000013,510000003093,
16.9399,,Segment,2,5,Image 1,4,1,100000013,510000003106,
32.6023,,Segment,2,4,Image 1,3,1,100000013,510000003111,
17.0206,,Segment,2,4,Image 1,4,1,100000013,510000003122,
17.875,,Segment,2,1,Image 1,1,1,100000013,510000003143,
24.7032,,Segment,2,1,Image 1,1,1,100000013,510000003156,
27.7904,,Segment,2,2,Image 1,1,1,100000013,510000003160,
3.49106,,Segment,2,2,Image 1,2,1,100000013,510000003185,
16.7686,,Segment,2,3,Image 1,2,1,100000013,510000003188,
29.7739,,Segment,2,4,Image 1,2,1,100000013,510000003191,
29.4222,,Segment,2,4,Image 1,3,1,100000013,510000003206,
32,,Segment,2,1,Image 1,1,1,100000013,510000003211,
36.9077,,Segment,2,4,Image 1,1,1,100000013,510000003215,
30.2194,,Segment,2,4,Image 1,2,1,100000013,510000003235,
14.3391,,Segment,2,3,Image 1,2,1,100000013,510000003244,
16.7597,,Segment,2,2,Image 1,2,1,100000013,510000003251,
23.0882,,Segment,2,3,Image 1,2,1,100000013,510000003253,
25.7374,,Segment,2,3,Image 1,3,1,100000013,510000003269,
20.8019,,Segment,2,3,Image 1,3,1,100000013,510000003292,
6.5,,Segment,2,2,Image 1,1,1,100000000,510000003309,
8.5,,Segment,2,1,Image 1,1,1,100000000,510000003310,
26,,Segment,2,2,Image 1,1,1,100000000,510000003311,
41.5,,Segment,2,1,Image 1,1,1,100000001,510000003312,
0.5,,Segment,2,2,Image 1,1,1,100000001,510000003313,
47,,Segment,2,1,Image 1,1,1,100000002,510000003314,
