
Segment Intensity StdDev Ch=1 Img=1
 ==================== 
Segment Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
15.7191,,Segment,1,2,Image 1,3,1,100000010,510000002407,
21.8256,,Segment,1,3,Image 1,3,1,100000010,510000002412,
53.531,,Segment,1,4,Image 1,3,1,100000010,510000002417,
48.5403,,Segment,1,4,Image 1,4,1,100000010,510000002428,
18.1,,Segment,1,1,Image 1,2,1,100000010,510000002431,
37.8765,,Segment,1,2,Image 1,2,1,100000010,510000002441,
12.4941,,Segment,1,3,Image 1,2,1,100000010,510000002444,
43.7051,,Segment,1,4,Image 1,2,1,100000010,510000002447,
20.4863,,Segment,1,4,Image 1,3,1,100000010,510000002454,
30.3316,,Segment,1,5,Image 1,3,1,100000010,510000002456,
48.5457,,Segment,1,5,Image 1,4,1,100000010,510000002459,
61.0225,,Segment,1,3,Image 1,3,1,100000010,510000002461,
54.7791,,Segment,1,2,Image 1,3,1,100000010,510000002466,
62.3957,,Segment,1,2,Image 1,2,1,100000010,510000002479,
65.9386,,Segment,1,3,Image 1,4,1,100000010,510000002488,
61.5627,,Segment,1,2,Image 1,1,1,100000011,510000002505,
46.118,,Segment,1,3,Image 1,1,1,100000011,510000002515,
59.1844,,Segment,1,2,Image 1,2,1,100000011,510000002528,
45.5638,,Segment,1,2,Image 1,3,1,100000011,510000002550,
61.8751,,Segment,1,4,Image 1,2,1,100000011,510000002565,
56.3861,,Segment,1,4,Image 1,3,1,100000011,510000002578,
59.2409,,Segment,1,3,Image 1,3,1,100000011,510000002584,
62.7313,,Segment,1,2,Image 1,3,1,100000011,510000002606,
51.5757,,Segment,1,1,Image 1,1,1,100000011,510000002630,
73.8707,,Segment,1,1,Image 1,2,1,100000011,510000002643,
39.8133,,Segment,1,3,Image 1,2,1,100000011,510000002661,
71.0031,,Segment,1,3,Image 1,3,1,100000011,510000002664,
68.1861,,Segment,1,3,Image 1,2,1,100000011,510000002675,
57.1511,,Segment,1,2,Image 1,1,1,100000012,510000002702,
55.5287,,Segment,1,3,Image 1,1,1,100000012,510000002709,
6.86983,,Segment,1,4,Image 1,1,1,100000012,510000002731,
6.57853,,Segment,1,4,Image 1,2,1,100000012,510000002740,
65.3534,,Segment,1,2,Image 1,2,1,100000012,510000002746,
54.8832,,Segment,1,3,Image 1,2,1,100000012,510000002752,
56.6024,,Segment,1,4,Image 1,2,1,100000012,510000002760,
66.2273,,Segment,1,5,Image 1,2,1,100000012,510000002776,
67.7508,,Segment,1,5,Image 1,3,1,100000012,510000002784,
71.1467,,Segment,1,4,Image 1,3,1,100000012,510000002791,
66.4424,,Segment,1,1,Image 1,1,1,100000012,510000002813,
68.6713,,Segment,1,2,Image 1,1,1,100000012,510000002820,
64.6465,,Segment,1,2,Image 1,2,1,100000012,510000002832,
68.0783,,Segment,1,3,Image 1,2,1,100000012,510000002836,
99.9153,,Segment,1,2,Image 1,1,1,100000012,510000002867,
64.1645,,Segment,1,3,Image 1,1,1,100000012,510000002869,
62.8643,,Segment,1,3,Image 1,2,1,100000012,510000002897,
72.003,,Segment,1,2,Image 1,2,1,100000012,510000002921,
63.7578,,Segment,1,3,Image 1,2,1,100000012,510000002930,
42.7745,,Segment,1,3,Image 1,3,1,100000012,510000002947,
65.5958,,Segment,1,2,Image 1,2,1,100000012,510000002966,
54.5779,,Segment,1,3,Image 1,3,1,100000012,510000002982,
57.4441,,Segment,1,4,Image 1,3,1,100000012,510000002984,
59.2924,,Segment,1,4,Image 1,4,1,100000012,510000002999,
62.1238,,Segment,1,3,Image 1,2,1,100000012,510000003014,
61.8362,,Segment,1,3,Image 1,3,1,100000012,510000003020,
62.1377,,Segment,1,3,Image 1,1,1,100000013,510000003039,
58.0516,,Segment,1,3,Image 1,2,1,100000013,510000003056,
45.7119,,Segment,1,4,Image 1,2,1,100000013,510000003061,
65.1288,,Segment,1,4,Image 1,3,1,100000013,510000003074,
25.0688,,Segment,1,3,Image 1,2,1,100000013,510000003081,
52.21,,Segment,1,4,Image 1,2,1,100000013,510000003083,
54.6144,,Segment,1,4,Image 1,3,1,100000013,510000003090,
30.0772,,Segment,1,5,Image 1,3,1,100000013,510000003093,
64.3466,,Segment,1,5,Image 1,4,1,100000013,510000003106,
51.063,,Segment,1,4,Image 1,3,1,100000013,510000003111,
36.7828,,Segment,1,4,Image 1,4,1,100000013,510000003122,
62.7823,,Segment,1,1,Image 1,1,1,100000013,510000003143,
58.0807,,Segment,1,1,Image 1,1,1,100000013,510000003156,
40.6581,,Segment,1,2,Image 1,1,1,100000013,510000003160,
31.8466,,Segment,1,2,Image 1,2,1,100000013,510000003185,
42.1797,,Segment,1,3,Image 1,2,1,100000013,510000003188,
53.4303,,Segment,1,4,Image 1,2,1,100000013,510000003191,
51.1695,,Segment,1,4,Image 1,3,1,100000013,510000003206,
48.8702,,Segment,1,1,Image 1,1,1,100000013,510000003211,
64.651,,Segment,1,4,Image 1,1,1,100000013,510000003215,
63.5827,,Segment,1,4,Image 1,2,1,100000013,510000003235,
39.884,,Segment,1,3,Image 1,2,1,100000013,510000003244,
32.5802,,Segment,1,2,Image 1,2,1,100000013,510000003251,
36.1526,,Segment,1,3,Image 1,2,1,100000013,510000003253,
