
Segment Intensity Min Ch=2 Img=1
 ==================== 
Segment Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
74,,Segment,2,2,Image 1,2,1,100000007,510000001903,
0,,Segment,2,2,Image 1,2,1,100000007,510000001915,
0,,Segment,2,1,Image 1,1,1,100000007,510000001923,
0,,Segment,2,1,Image 1,1,1,100000007,510000001931,
69,,Segment,2,3,Image 1,3,1,100000007,510000001949,
34,,Segment,2,3,Image 1,2,1,100000007,510000001953,
0,,Segment,2,0,Image 1,1,1,100000008,510000001968,
2,,Segment,2,2,Image 1,1,1,100000008,510000001975,
29,,Segment,2,3,Image 1,1,1,100000008,510000001977,
55,,Segment,2,4,Image 1,1,1,100000008,510000001980,
0,,Segment,2,1,Image 1,2,1,100000008,510000001997,
0,,Segment,2,4,Image 1,2,1,100000008,510000002005,
1,,Segment,2,2,Image 1,2,1,100000008,510000002022,
0,,Segment,2,1,Image 1,2,1,100000008,510000002027,
96,,Segment,2,2,Image 1,2,1,100000008,510000002031,
0,,Segment,2,2,Image 1,2,1,100000008,510000002036,
0,,Segment,2,3,Image 1,2,1,100000008,510000002040,
0,,Segment,2,3,Image 1,3,1,100000008,510000002045,
2,,Segment,2,3,Image 1,2,1,100000008,510000002056,
0,,Segment,2,2,Image 1,2,1,100000008,510000002076,
59,,Segment,2,2,Image 1,3,1,100000008,510000002093,
0,,Segment,2,1,Image 1,2,1,100000009,510000002102,
47,,Segment,2,1,Image 1,2,1,100000009,510000002111,
4,,Segment,2,1,Image 1,1,1,100000009,510000002126,
18,,Segment,2,3,Image 1,1,1,100000009,510000002129,
18,,Segment,2,3,Image 1,2,1,100000009,510000002143,
56,,Segment,2,2,Image 1,2,1,100000009,510000002148,
113,,Segment,2,3,Image 1,2,1,100000009,510000002151,
0,,Segment,2,2,Image 1,2,1,100000009,510000002156,
14,,Segment,2,3,Image 1,3,1,100000009,510000002165,
0,,Segment,2,1,Image 1,2,1,100000009,510000002171,
0,,Segment,2,2,Image 1,2,1,100000009,510000002176,
0,,Segment,2,2,Image 1,3,1,100000009,510000002180,
86,,Segment,2,1,Image 1,1,1,100000010,510000002194,
92,,Segment,2,2,Image 1,1,1,100000010,510000002196,
0,,Segment,2,3,Image 1,1,1,100000010,510000002202,
84,,Segment,2,2,Image 1,2,1,100000010,510000002218,
0,,Segment,2,3,Image 1,2,1,100000010,510000002226,
82,,Segment,2,1,Image 1,2,1,100000010,510000002246,
100,,Segment,2,2,Image 1,3,1,100000010,510000002248,
63,,Segment,2,3,Image 1,3,1,100000010,510000002263,
76,,Segment,2,2,Image 1,2,1,100000010,510000002278,
0,,Segment,2,3,Image 1,2,1,100000010,510000002281,
118,,Segment,2,4,Image 1,2,1,100000010,510000002290,
0,,Segment,2,3,Image 1,3,1,100000010,510000002302,
0,,Segment,2,4,Image 1,3,1,100000010,510000002331,
0,,Segment,2,1,Image 1,1,1,100000010,510000002342,
77,,Segment,2,2,Image 1,1,1,100000010,510000002358,
101,,Segment,2,3,Image 1,1,1,100000010,510000002363,
67,,Segment,2,3,Image 1,2,1,100000010,510000002365,
93,,Segment,2,1,Image 1,2,1,100000010,510000002368,
45,,Segment,2,3,Image 1,2,1,100000010,510000002382,
87,,Segment,2,1,Image 1,2,1,100000010,510000002396,
119,,Segment,2,2,Image 1,2,1,100000010,510000002399,
91,,Segment,2,2,Image 1,3,1,100000010,510000002407,
63,,Segment,2,3,Image 1,3,1,100000010,510000002412,
60,,Segment,2,4,Image 1,3,1,100000010,510000002417,
0,,Segment,2,4,Image 1,4,1,100000010,510000002428,
60,,Segment,2,1,Image 1,2,1,100000010,510000002431,
54,,Segment,2,2,Image 1,2,1,100000010,510000002441,
114,,Segment,2,3,Image 1,2,1,100000010,510000002444,
37,,Segment,2,4,Image 1,2,1,100000010,510000002447,
103,,Segment,2,4,Image 1,3,1,100000010,510000002454,
27,,Segment,2,5,Image 1,3,1,100000010,510000002456,
0,,Segment,2,5,Image 1,4,1,100000010,510000002459,
0,,Segment,2,3,Image 1,3,1,100000010,510000002461,
0,,Segment,2,2,Image 1,3,1,100000010,510000002466,
0,,Segment,2,2,Image 1,2,1,100000010,510000002479,
0,,Segment,2,3,Image 1,4,1,100000010,510000002488,
8,,Segment,2,2,Image 1,1,1,100000011,510000002505,
59,,Segment,2,3,Image 1,1,1,100000011,510000002515,
8,,Segment,2,2,Image 1,2,1,100000011,510000002528,
8,,Segment,2,2,Image 1,3,1,100000011,510000002550,
0,,Segment,2,4,Image 1,2,1,100000011,510000002565,
38,,Segment,2,4,Image 1,3,1,100000011,510000002578,
4,,Segment,2,3,Image 1,3,1,100000011,510000002584,
0,,Segment,2,2,Image 1,3,1,100000011,510000002606,
22,,Segment,2,1,Image 1,1,1,100000011,510000002630,
0,,Segment,2,1,Image 1,2,1,100000011,510000002643,
34,,Segment,2,3,Image 1,2,1,100000011,510000002661,
58,,Segment,2,3,Image 1,3,1,100000011,510000002664,
0,,Segment,2,3,Image 1,2,1,100000011,510000002675,
17,,Segment,2,2,Image 1,1,1,100000012,510000002702,
0,,Segment,2,3,Image 1,1,1,100000012,510000002709,
170,,Segment,2,4,Image 1,1,1,100000012,510000002731,
170,,Segment,2,4,Image 1,2,1,100000012,510000002740,
0,,Segment,2,2,Image 1,2,1,100000012,510000002746,
19,,Segment,2,3,Image 1,2,1,100000012,510000002752,
0,,Segment,2,4,Image 1,2,1,100000012,510000002760,
0,,Segment,2,5,Image 1,2,1,100000012,510000002776,
0,,Segment,2,5,Image 1,3,1,100000012,510000002784,
0,,Segment,2,4,Image 1,3,1,100000012,510000002791,
2,,Segment,2,1,Image 1,1,1,100000012,510000002813,
0,,Segment,2,2,Image 1,1,1,100000012,510000002820,
0,,Segment,2,2,Image 1,2,1,100000012,510000002832,
0,,Segment,2,3,Image 1,2,1,100000012,510000002836,
0,,Segment,2,2,Image 1,1,1,100000012,510000002867,
0,,Segment,2,3,Image 1,1,1,100000012,510000002869,
0,,Segment,2,3,Image 1,2,1,100000012,510000002897,
