
Segment Center Intensity Min Ch=3 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
75,,Segment,3,2,Image 1,2,1,100000008,510000002036,
122,,Segment,3,3,Image 1,2,1,100000008,510000002040,
122,,Segment,3,3,Image 1,3,1,100000008,510000002045,
42,,Segment,3,3,Image 1,2,1,100000008,510000002056,
75,,Segment,3,2,Image 1,2,1,100000008,510000002076,
135,,Segment,3,2,Image 1,3,1,100000008,510000002093,
96,,Segment,3,1,Image 1,2,1,100000009,510000002102,
111,,Segment,3,1,Image 1,2,1,100000009,510000002111,
25,,Segment,3,1,Image 1,1,1,100000009,510000002126,
119,,Segment,3,3,Image 1,1,1,100000009,510000002129,
114,,Segment,3,3,Image 1,2,1,100000009,510000002143,
92,,Segment,3,2,Image 1,2,1,100000009,510000002148,
157,,Segment,3,3,Image 1,2,1,100000009,510000002151,
92,,Segment,3,2,Image 1,2,1,100000009,510000002156,
166,,Segment,3,3,Image 1,3,1,100000009,510000002165,
111,,Segment,3,1,Image 1,2,1,100000009,510000002171,
107,,Segment,3,2,Image 1,2,1,100000009,510000002176,
96,,Segment,3,2,Image 1,3,1,100000009,510000002180,
103,,Segment,3,1,Image 1,1,1,100000010,510000002194,
118,,Segment,3,2,Image 1,1,1,100000010,510000002196,
134,,Segment,3,3,Image 1,1,1,100000010,510000002202,
108,,Segment,3,2,Image 1,2,1,100000010,510000002218,
90,,Segment,3,3,Image 1,2,1,100000010,510000002226,
96,,Segment,3,1,Image 1,2,1,100000010,510000002246,
114,,Segment,3,2,Image 1,3,1,100000010,510000002248,
110,,Segment,3,3,Image 1,3,1,100000010,510000002263,
86,,Segment,3,2,Image 1,2,1,100000010,510000002278,
96,,Segment,3,3,Image 1,2,1,100000010,510000002281,
150,,Segment,3,4,Image 1,2,1,100000010,510000002290,
81,,Segment,3,3,Image 1,3,1,100000010,510000002302,
125,,Segment,3,4,Image 1,3,1,100000010,510000002331,
68,,Segment,3,1,Image 1,1,1,100000010,510000002342,
132,,Segment,3,2,Image 1,1,1,100000010,510000002358,
143,,Segment,3,3,Image 1,1,1,100000010,510000002363,
163,,Segment,3,3,Image 1,2,1,100000010,510000002365,
111,,Segment,3,1,Image 1,2,1,100000010,510000002368,
121,,Segment,3,3,Image 1,2,1,100000010,510000002382,
110,,Segment,3,1,Image 1,2,1,100000010,510000002396,
136,,Segment,3,2,Image 1,2,1,100000010,510000002399,
101,,Segment,3,2,Image 1,3,1,100000010,510000002407,
119,,Segment,3,3,Image 1,3,1,100000010,510000002412,
100,,Segment,3,4,Image 1,3,1,100000010,510000002417,
91,,Segment,3,4,Image 1,4,1,100000010,510000002428,
79,,Segment,3,1,Image 1,2,1,100000010,510000002431,
118,,Segment,3,2,Image 1,2,1,100000010,510000002441,
138,,Segment,3,3,Image 1,2,1,100000010,510000002444,
82,,Segment,3,4,Image 1,2,1,100000010,510000002447,
130,,Segment,3,4,Image 1,3,1,100000010,510000002454,
137,,Segment,3,5,Image 1,3,1,100000010,510000002456,
18,,Segment,3,5,Image 1,4,1,100000010,510000002459,
108,,Segment,3,3,Image 1,3,1,100000010,510000002461,
118,,Segment,3,2,Image 1,3,1,100000010,510000002466,
81,,Segment,3,2,Image 1,2,1,100000010,510000002479,
113,,Segment,3,3,Image 1,4,1,100000010,510000002488,
40,,Segment,3,2,Image 1,1,1,100000011,510000002505,
118,,Segment,3,3,Image 1,1,1,100000011,510000002515,
40,,Segment,3,2,Image 1,2,1,100000011,510000002528,
