
Segment No. Spines
 ==================== 
Segment No. Spines,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,,Segment,3,2,1,100000010,510000002281,
0,,Segment,4,2,1,100000010,510000002290,
0,,Segment,3,3,1,100000010,510000002302,
0,,Segment,4,3,1,100000010,510000002331,
0,,Segment,1,1,1,100000010,510000002342,
0,,Segment,2,1,1,100000010,510000002358,
0,,Segment,3,1,1,100000010,510000002363,
0,,Segment,3,2,1,100000010,510000002365,
0,,Segment,1,2,1,100000010,510000002368,
0,,Segment,3,2,1,100000010,510000002382,
0,,Segment,1,2,1,100000010,510000002396,
0,,Segment,2,2,1,100000010,510000002399,
0,,Segment,2,3,1,100000010,510000002407,
0,,Segment,3,3,1,100000010,510000002412,
0,,Segment,4,3,1,100000010,510000002417,
0,,Segment,4,4,1,100000010,510000002428,
0,,Segment,1,2,1,100000010,510000002431,
0,,Segment,2,2,1,100000010,510000002441,
0,,Segment,3,2,1,100000010,510000002444,
0,,Segment,4,2,1,100000010,510000002447,
0,,Segment,4,3,1,100000010,510000002454,
0,,Segment,5,3,1,100000010,510000002456,
0,,Segment,5,4,1,100000010,510000002459,
0,,Segment,3,3,1,100000010,510000002461,
0,,Segment,2,3,1,100000010,510000002466,
0,,Segment,2,2,1,100000010,510000002479,
0,,Segment,3,4,1,100000010,510000002488,
0,,Segment,2,1,1,100000011,510000002505,
0,,Segment,3,1,1,100000011,510000002515,
0,,Segment,2,2,1,100000011,510000002528,
0,,Segment,2,3,1,100000011,510000002550,
0,,Segment,4,2,1,100000011,510000002565,
0,,Segment,4,3,1,100000011,510000002578,
0,,Segment,3,3,1,100000011,510000002584,
0,,Segment,2,3,1,100000011,510000002606,
0,,Segment,1,1,1,100000011,510000002630,
0,,Segment,1,2,1,100000011,510000002643,
0,,Segment,3,2,1,100000011,510000002661,
0,,Segment,3,3,1,100000011,510000002664,
0,,Segment,3,2,1,100000011,510000002675,
0,,Segment,2,1,1,100000012,510000002702,
0,,Segment,3,1,1,100000012,510000002709,
0,,Segment,4,1,1,100000012,510000002731,
0,,Segment,4,2,1,100000012,510000002740,
0,,Segment,2,2,1,100000012,510000002746,
0,,Segment,3,2,1,100000012,510000002752,
0,,Segment,4,2,1,100000012,510000002760,
0,,Segment,5,2,1,100000012,510000002776,
0,,Segment,5,3,1,100000012,510000002784,
0,,Segment,4,3,1,100000012,510000002791,
0,,Segment,1,1,1,100000012,510000002813,
0,,Segment,2,1,1,100000012,510000002820,
0,,Segment,2,2,1,100000012,510000002832,
