
Segment Length
 ==================== 
Segment Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
10.0129,µm,Segment,3,2,1,100000013,510000003081,
29.0597,µm,Segment,4,2,1,100000013,510000003083,
12.5463,µm,Segment,4,3,1,100000013,510000003090,
34.9763,µm,Segment,5,3,1,100000013,510000003093,
25.5454,µm,Segment,5,4,1,100000013,510000003106,
57.8336,µm,Segment,4,3,1,100000013,510000003111,
69.4485,µm,Segment,4,4,1,100000013,510000003122,
60.1639,µm,Segment,1,1,1,100000013,510000003143,
31.2466,µm,Segment,1,1,1,100000013,510000003156,
127.327,µm,Segment,2,1,1,100000013,510000003160,
24.7505,µm,Segment,2,2,1,100000013,510000003185,
15.8719,µm,Segment,3,2,1,100000013,510000003188,
44.4014,µm,Segment,4,2,1,100000013,510000003191,
35.3525,µm,Segment,4,3,1,100000013,510000003206,
21.0102,µm,Segment,1,1,1,100000013,510000003211,
100.198,µm,Segment,4,1,1,100000013,510000003215,
52.8108,µm,Segment,4,2,1,100000013,510000003235,
40.806,µm,Segment,3,2,1,100000013,510000003244,
11.5549,µm,Segment,2,2,1,100000013,510000003251,
46.8274,µm,Segment,3,2,1,100000013,510000003253,
91.9466,µm,Segment,3,3,1,100000013,510000003269,
90.6844,µm,Segment,3,3,1,100000013,510000003292,
5.57183,µm,Segment,2,1,1,100000000,510000003309,
4.26825,µm,Segment,1,1,1,100000000,510000003310,
3.83862,µm,Segment,2,1,1,100000000,510000003311,
8.12015,µm,Segment,1,1,1,100000001,510000003312,
5.28025,µm,Segment,2,1,1,100000001,510000003313,
10.2685,µm,Segment,1,1,1,100000002,510000003314,
8.99114,µm,Segment,1,1,1,100000002,510000003315,
5.40313,µm,Segment,2,1,1,100000002,510000003316,
11.143,µm,Segment,0,1,1,100000003,510000003317,
7.32564,µm,Segment,1,1,1,100000003,510000003318,
14.073,µm,Segment,1,2,1,100000003,510000003319,
7.115,µm,Segment,2,2,1,100000003,510000003320,
10.0943,µm,Segment,6,4,1,100000003,510000003321,
7.84307,µm,Segment,7,4,1,100000003,510000003322,
13.3643,µm,Segment,7,5,1,100000003,510000003323,
4.64577,µm,Segment,4,5,1,100000003,510000003324,
9.57669,µm,Segment,0,1,1,100000004,510000003325,
11.7542,µm,Segment,1,2,1,100000004,510000003326,
12.0768,µm,Segment,0,1,1,100000004,510000003327,
12.5853,µm,Segment,1,1,1,100000005,510000003328,
6.03333,µm,Segment,1,1,1,100000006,510000003329,
12.4108,µm,Segment,2,2,1,100000006,510000003330,
11.9435,µm,Segment,1,1,1,100000006,510000003331,
9.80872,µm,Segment,1,1,1,100000007,510000003332,
11.1395,µm,Segment,1,1,1,100000007,510000003333,
5.84427,µm,Segment,0,1,1,100000008,510000003334,
3.3356,µm,Segment,1,1,1,100000008,510000003335,
16.7867,µm,Segment,0,1,1,100000009,510000003336,
7.12563,µm,Segment,2,1,1,100000009,510000003337,
8.96041,µm,Segment,0,1,1,100000010,510000003338,
10.9544,µm,Segment,0,1,1,100000010,510000003339,
6.69521,µm,Segment,0,1,1,100000011,510000003340,
5.46631,µm,Segment,1,1,1,100000011,510000003341,
8.06219,µm,Segment,1,2,1,100000011,510000003342,
13.9069,µm,Segment,2,2,1,100000011,510000003343,
7.18222,µm,Segment,3,2,1,100000011,510000003344,
13.3509,µm,Segment,1,2,1,100000011,510000003345,
11.8413,µm,Segment,2,2,1,100000011,510000003346,
11.9656,µm,Segment,0,1,1,100000011,510000003347,
10.8481,µm,Segment,1,1,1,100000012,510000003348,
8.44783,µm,Segment,1,1,1,100000012,510000003349,
12.6109,µm,Segment,1,1,1,100000013,510000003350,
7.77627,µm,Segment,2,1,1,100000013,510000003351,
5.24041,µm,Segment,2,2,1,100000013,510000003352,
10.4606,µm,Segment,3,3,1,100000013,510000003353,
5.4687,µm,Segment,2,1,1,100000013,510000003354,
5.38813,µm,Segment,3,1,1,100000013,510000003355,
