
Segment Center Intensity StdDev Ch=1 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,1,1,Image 1,1,1,100000008,510000001766,
0,,Segment,1,2,Image 1,1,1,100000008,510000001768,
84.3496,,Segment,1,4,Image 1,1,1,100000008,510000001772,
54.9302,,Segment,1,4,Image 1,2,1,100000008,510000001788,
72.3061,,Segment,1,2,Image 1,2,1,100000008,510000001800,
50.7782,,Segment,1,3,Image 1,2,1,100000008,510000001831,
50.5791,,Segment,1,3,Image 1,3,1,100000008,510000001850,
75.4975,,Segment,1,3,Image 1,2,1,100000008,510000001867,
72.6261,,Segment,1,4,Image 1,2,1,100000008,510000001875,
62.0275,,Segment,1,1,Image 1,1,1,100000008,510000001928,
9.52628,,Segment,1,1,Image 1,1,1,100000008,510000001966,
43.1873,,Segment,1,2,Image 1,1,1,100000008,510000001969,
48.991,,Segment,1,3,Image 1,1,1,100000008,510000001975,
42.3748,,Segment,1,4,Image 1,1,1,100000008,510000001981,
59.0921,,Segment,1,1,Image 1,1,1,100000008,510000001996,
26.7644,,Segment,1,3,Image 1,2,1,100000008,510000002049,
46.2074,,Segment,1,4,Image 1,2,1,100000008,510000002070,
62.8222,,Segment,1,2,Image 1,2,1,100000008,510000002130,
80.9574,,Segment,1,1,Image 1,1,1,100000008,510000002155,
51.3146,,Segment,1,4,Image 1,3,1,100000008,510000002180,
85.8813,,Segment,1,5,Image 1,3,1,100000008,510000002187,
58.9063,,Segment,1,5,Image 1,4,1,100000008,510000002191,
46.6228,,Segment,1,2,Image 1,1,1,100000009,510000002212,
53.3099,,Segment,1,3,Image 1,1,1,100000009,510000002215,
62.4944,,Segment,1,4,Image 1,1,1,100000009,510000002235,
64.6505,,Segment,1,4,Image 1,2,1,100000009,510000002237,
65.5341,,Segment,1,2,Image 1,2,1,100000009,510000002248,
67.0557,,Segment,1,2,Image 1,1,1,100000009,510000002271,
62.6559,,Segment,1,2,Image 1,2,1,100000009,510000002296,
18.7942,,Segment,1,2,Image 1,2,1,100000009,510000002305,
65.5298,,Segment,1,3,Image 1,2,1,100000009,510000002310,
61.5232,,Segment,1,4,Image 1,2,1,100000009,510000002314,
54.9574,,Segment,1,4,Image 1,3,1,100000009,510000002320,
48.7416,,Segment,1,3,Image 1,3,1,100000009,510000002333,
76.7456,,Segment,1,2,Image 1,1,1,100000009,510000002352,
68.5522,,Segment,1,2,Image 1,2,1,100000009,510000002376,
86.271,,Segment,1,3,Image 1,3,1,100000009,510000002388,
85.7956,,Segment,1,3,Image 1,2,1,100000009,510000002396,
76.7928,,Segment,1,4,Image 1,2,1,100000009,510000002398,
66.828,,Segment,1,4,Image 1,3,1,100000009,510000002403,
43.1165,,Segment,1,3,Image 1,2,1,100000009,510000002417,
57.8251,,Segment,1,1,Image 1,1,1,100000010,510000002436,
50.1612,,Segment,1,2,Image 1,1,1,100000010,510000002463,
68.2169,,Segment,1,2,Image 1,2,1,100000010,510000002487,
38.1597,,Segment,1,2,Image 1,1,1,100000010,510000002501,
35.6047,,Segment,1,3,Image 1,1,1,100000010,510000002510,
54.0139,,Segment,1,3,Image 1,2,1,100000010,510000002538,
72.8545,,Segment,1,4,Image 1,2,1,100000010,510000002548,
51.2057,,Segment,1,4,Image 1,3,1,100000010,510000002565,
72.734,,Segment,1,1,Image 1,1,1,100000010,510000002584,
71.6927,,Segment,1,2,Image 1,1,1,100000010,510000002588,
46.0579,,Segment,1,2,Image 1,2,1,100000010,510000002597,
31.2836,,Segment,1,3,Image 1,2,1,100000010,510000002602,
47.9475,,Segment,1,4,Image 1,3,1,100000010,510000002608,
59.8665,,Segment,1,1,Image 1,1,1,100000010,510000002612,
40.2895,,Segment,1,2,Image 1,1,1,100000010,510000002624,
74.1983,,Segment,1,2,Image 1,2,1,100000010,510000002635,
35.8236,,Segment,1,3,Image 1,3,1,100000010,510000002672,
62.1296,,Segment,1,4,Image 1,3,1,100000010,510000002680,
76.1089,,Segment,1,4,Image 1,4,1,100000010,510000002707,
65.6793,,Segment,1,2,Image 1,2,1,100000010,510000002726,
50.5763,,Segment,1,1,Image 1,1,1,100000010,510000002748,
47.5936,,Segment,1,3,Image 1,1,1,100000011,510000002766,
63.9238,,Segment,1,3,Image 1,2,1,100000011,510000002785,
40.9229,,Segment,1,4,Image 1,2,1,100000011,510000002792,
36.9778,,Segment,1,4,Image 1,3,1,100000011,510000002809,
69.2175,,Segment,1,2,Image 1,2,1,100000011,510000002827,
32.3518,,Segment,1,3,Image 1,1,1,100000011,510000002847,
49.4685,,Segment,1,3,Image 1,1,1,100000011,510000002860,
56.1338,,Segment,1,2,Image 1,2,1,100000011,510000002874,
51.9371,,Segment,1,1,Image 1,1,1,100000011,510000002880,
74.0236,,Segment,1,3,Image 1,3,1,100000011,510000002898,
48.6646,,Segment,1,3,Image 1,2,1,100000011,510000002902,
63.1612,,Segment,1,3,Image 1,2,1,100000011,510000002917,
15.5214,,Segment,1,3,Image 1,3,1,100000011,510000002938,
39.5186,,Segment,1,3,Image 1,2,1,100000011,510000002946,
51.8419,,Segment,1,1,Image 1,1,1,100000012,510000002958,
78.6013,,Segment,1,2,Image 1,1,1,100000012,510000002963,
45.83,,Segment,1,3,Image 1,1,1,100000012,510000002974,
67.4902,,Segment,1,3,Image 1,2,1,100000012,510000003000,
70.2219,,Segment,1,2,Image 1,1,1,100000012,510000003014,
66.9111,,Segment,1,2,Image 1,2,1,100000012,510000003040,
25.8242,,Segment,1,1,Image 1,1,1,100000012,510000003065,
39.8222,,Segment,1,2,Image 1,1,1,100000012,510000003067,
55.9134,,Segment,1,2,Image 1,2,1,100000012,510000003086,
61.3406,,Segment,1,2,Image 1,2,1,100000012,510000003109,
29.6226,,Segment,1,2,Image 1,1,1,100000012,510000003121,
79.5046,,Segment,1,3,Image 1,1,1,100000012,510000003124,
73.0979,,Segment,1,4,Image 1,1,1,100000012,510000003130,
75.8412,,Segment,1,4,Image 1,2,1,100000012,510000003147,
31.3454,,Segment,1,5,Image 1,2,1,100000012,510000003157,
30.5255,,Segment,1,5,Image 1,3,1,100000012,510000003175,
59.0085,,Segment,1,5,Image 1,2,1,100000012,510000003190,
45.8587,,Segment,1,2,Image 1,2,1,100000012,510000003198,
32.7646,,Segment,1,2,Image 1,2,1,100000012,510000003232,
62.7031,,Segment,1,3,Image 1,2,1,100000012,510000003243,
29.8996,,Segment,1,4,Image 1,1,1,100000013,510000003271,
46.6976,,Segment,1,3,Image 1,2,1,100000013,510000003294,
41.8416,,Segment,1,4,Image 1,2,1,100000013,510000003296,
