
Segment Center Number of Voxel Ch=3 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
3,,Segment,3,1,Image 1,1,1,100000014,510000003527,
24,,Segment,3,2,Image 1,2,1,100000014,510000003529,
3,,Segment,3,2,Image 1,1,1,100000014,510000003552,
17,,Segment,3,3,Image 1,1,1,100000014,510000003554,
13,,Segment,3,3,Image 1,2,1,100000014,510000003570,
11,,Segment,3,4,Image 1,2,1,100000014,510000003582,
17,,Segment,3,2,Image 1,2,1,100000014,510000003592,
26,,Segment,3,4,Image 1,1,1,100000014,510000003609,
6,,Segment,3,4,Image 1,2,1,100000014,510000003635,
8,,Segment,3,2,Image 1,2,1,100000014,510000003640,
10,,Segment,3,3,Image 1,2,1,100000014,510000003647,
20,,Segment,3,3,Image 1,3,1,100000014,510000003656,
1,,Segment,3,0,Image 1,1,1,100000000,510000003676,
2,,Segment,3,1,Image 1,1,1,100000000,510000003677,
2,,Segment,3,1,Image 1,2,1,100000000,510000003678,
2,,Segment,3,2,Image 1,2,1,100000000,510000003679,
2,,Segment,3,1,Image 1,1,1,100000001,510000003680,
2,,Segment,3,1,Image 1,1,1,100000001,510000003681,
2,,Segment,3,2,Image 1,1,1,100000001,510000003682,
2,,Segment,3,4,Image 1,2,1,100000001,510000003683,
2,,Segment,3,4,Image 1,1,1,100000002,510000003684,
2,,Segment,3,1,Image 1,1,1,100000003,510000003685,
2,,Segment,3,1,Image 1,1,1,100000004,510000003686,
2,,Segment,3,2,Image 1,1,1,100000004,510000003687,
2,,Segment,3,2,Image 1,2,1,100000004,510000003688,
2,,Segment,3,3,Image 1,3,1,100000004,510000003689,
1,,Segment,3,0,Image 1,1,1,100000005,510000003690,
2,,Segment,3,1,Image 1,2,1,100000005,510000003691,
2,,Segment,3,2,Image 1,2,1,100000005,510000003692,
2,,Segment,3,3,Image 1,2,1,100000005,510000003693,
2,,Segment,3,6,Image 1,2,1,100000005,510000003694,
2,,Segment,3,3,Image 1,2,1,100000006,510000003695,
2,,Segment,3,1,Image 1,1,1,100000006,510000003696,
2,,Segment,3,1,Image 1,1,1,100000006,510000003697,
2,,Segment,3,2,Image 1,1,1,100000006,510000003698,
2,,Segment,3,1,Image 1,1,1,100000007,510000003699,
2,,Segment,3,1,Image 1,1,1,100000007,510000003700,
2,,Segment,3,3,Image 1,1,1,100000008,510000003701,
2,,Segment,3,1,Image 1,1,1,100000009,510000003702,
2,,Segment,3,1,Image 1,1,1,100000009,510000003703,
2,,Segment,3,1,Image 1,1,1,100000009,510000003704,
2,,Segment,3,1,Image 1,1,1,100000010,510000003705,
2,,Segment,3,4,Image 1,2,1,100000010,510000003706,
2,,Segment,3,1,Image 1,1,1,100000011,510000003707,
2,,Segment,3,2,Image 1,1,1,100000011,510000003708,
2,,Segment,3,3,Image 1,2,1,100000011,510000003709,
2,,Segment,3,1,Image 1,1,1,100000011,510000003710,
2,,Segment,3,2,Image 1,1,1,100000011,510000003711,
2,,Segment,3,1,Image 1,1,1,100000011,510000003712,
2,,Segment,3,2,Image 1,1,1,100000011,510000003713,
2,,Segment,3,2,Image 1,2,1,100000011,510000003714,
2,,Segment,3,1,Image 1,1,1,100000012,510000003715,
2,,Segment,3,1,Image 1,1,1,100000012,510000003716,
2,,Segment,3,5,Image 1,1,1,100000012,510000003717,
1,,Segment,3,1,Image 1,1,1,100000013,510000003718,
2,,Segment,3,2,Image 1,1,1,100000013,510000003719,
2,,Segment,3,3,Image 1,1,1,100000013,510000003720,
2,,Segment,3,2,Image 1,2,1,100000013,510000003721,
1,,Segment,3,1,Image 1,1,1,100000013,510000003722,
2,,Segment,3,1,Image 1,1,1,100000014,510000003723,
2,,Segment,3,2,Image 1,1,1,100000014,510000003724,
2,,Segment,3,3,Image 1,1,1,100000014,510000003725,
2,,Segment,3,2,Image 1,1,1,100000014,510000003726,
2,,Segment,3,3,Image 1,1,1,100000014,510000003727,
