
Pt Distance from Origin
 ==================== 
Pt Distance from Origin,Unit,Category,Collection,Depth,Time,Type,FilamentID,ID,
108868,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000005,800000116,
108774,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000005,800000117,
108841,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000005,800000118,
108804,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000005,800000119,
108708,µm,Point,Pt Distance from Origin,6,1,Segment Terminal,100000005,800000120,
108751,µm,Point,Pt Distance from Origin,5,1,Segment Branch,100000005,800000121,
108756,µm,Point,Pt Distance from Origin,7,1,Segment Terminal,100000005,800000122,
108757,µm,Point,Pt Distance from Origin,6,1,Segment Branch,100000005,800000123,
108718,µm,Point,Pt Distance from Origin,7,1,Segment Terminal,100000005,800000124,
108831,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000005,800000125,
108710,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000005,800000126,
108747,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000005,800000127,
108735,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000005,800000128,
108779,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000005,800000129,
108728,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000005,800000130,
108851,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000005,800000131,
108861,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000005,800000132,
108858,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000005,800000133,
108923,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000005,800000134,
108871,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000005,800000135,
108944,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000005,800000136,
108910,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000005,800000137,
109043,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000005,800000138,
109005,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000005,800000139,
109120,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000005,800000140,
109083,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000005,800000141,
107095,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000006,800000142,
107140,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000006,800000143,
107117,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000006,800000144,
107191,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000006,800000145,
107438,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000006,800000146,
107179,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000006,800000147,
107101,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000006,800000148,
106917,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000006,800000149,
107116,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000006,800000150,
107211,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000006,800000151,
107169,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000006,800000152,
107240,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000006,800000153,
107016,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000006,800000154,
107080,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000006,800000155,
106937,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000006,800000156,
107053,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000006,800000157,
106918,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000006,800000158,
