
Segment Position Z
 ==================== 
Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
13.1764,µm,Segment,Segment Position,5,3,1,100000008,510000002187,
16.4836,µm,Segment,Segment Position,5,4,1,100000008,510000002191,
9.84803,µm,Segment,Segment Position,2,1,1,100000009,510000002212,
4.90017,µm,Segment,Segment Position,3,1,1,100000009,510000002215,
5.85213,µm,Segment,Segment Position,4,1,1,100000009,510000002235,
4.71103,µm,Segment,Segment Position,4,2,1,100000009,510000002237,
13.5767,µm,Segment,Segment Position,2,2,1,100000009,510000002248,
11.1691,µm,Segment,Segment Position,2,1,1,100000009,510000002271,
10.3781,µm,Segment,Segment Position,2,2,1,100000009,510000002296,
6.80651,µm,Segment,Segment Position,2,2,1,100000009,510000002305,
1.46504,µm,Segment,Segment Position,3,2,1,100000009,510000002310,
1.24232,µm,Segment,Segment Position,4,2,1,100000009,510000002314,
5.07171,µm,Segment,Segment Position,4,3,1,100000009,510000002320,
5.47255,µm,Segment,Segment Position,3,3,1,100000009,510000002333,
10.442,µm,Segment,Segment Position,2,1,1,100000009,510000002352,
-2.06672,µm,Segment,Segment Position,2,2,1,100000009,510000002376,
-18.3747,µm,Segment,Segment Position,3,3,1,100000009,510000002388,
-12.4587,µm,Segment,Segment Position,3,2,1,100000009,510000002396,
-9.65353,µm,Segment,Segment Position,4,2,1,100000009,510000002398,
0.192195,µm,Segment,Segment Position,4,3,1,100000009,510000002403,
1.49029,µm,Segment,Segment Position,3,2,1,100000009,510000002417,
18.0775,µm,Segment,Segment Position,1,1,1,100000010,510000002436,
13.9015,µm,Segment,Segment Position,2,1,1,100000010,510000002463,
16.9308,µm,Segment,Segment Position,2,2,1,100000010,510000002487,
17.4457,µm,Segment,Segment Position,2,1,1,100000010,510000002501,
9.55238,µm,Segment,Segment Position,3,1,1,100000010,510000002510,
15.4141,µm,Segment,Segment Position,3,2,1,100000010,510000002538,
11.8787,µm,Segment,Segment Position,4,2,1,100000010,510000002548,
15.3542,µm,Segment,Segment Position,4,3,1,100000010,510000002565,
12.1249,µm,Segment,Segment Position,1,1,1,100000010,510000002584,
10.4826,µm,Segment,Segment Position,2,1,1,100000010,510000002588,
11.3117,µm,Segment,Segment Position,2,2,1,100000010,510000002597,
12.899,µm,Segment,Segment Position,3,2,1,100000010,510000002602,
11.5148,µm,Segment,Segment Position,4,3,1,100000010,510000002608,
10.886,µm,Segment,Segment Position,1,1,1,100000010,510000002612,
10.9772,µm,Segment,Segment Position,2,1,1,100000010,510000002624,
8.24945,µm,Segment,Segment Position,2,2,1,100000010,510000002635,
16.8375,µm,Segment,Segment Position,3,3,1,100000010,510000002672,
17.6026,µm,Segment,Segment Position,4,3,1,100000010,510000002680,
17.0185,µm,Segment,Segment Position,4,4,1,100000010,510000002707,
5.42726,µm,Segment,Segment Position,2,2,1,100000010,510000002726,
16.5784,µm,Segment,Segment Position,1,1,1,100000010,510000002748,
7.74266,µm,Segment,Segment Position,3,1,1,100000011,510000002766,
10.0039,µm,Segment,Segment Position,3,2,1,100000011,510000002785,
13.7071,µm,Segment,Segment Position,4,2,1,100000011,510000002792,
6.85197,µm,Segment,Segment Position,4,3,1,100000011,510000002809,
9.85856,µm,Segment,Segment Position,2,2,1,100000011,510000002827,
2.44598,µm,Segment,Segment Position,3,1,1,100000011,510000002847,
4.3301,µm,Segment,Segment Position,3,1,1,100000011,510000002860,
12.0731,µm,Segment,Segment Position,2,2,1,100000011,510000002874,
4.23667,µm,Segment,Segment Position,1,1,1,100000011,510000002880,
12.6797,µm,Segment,Segment Position,3,3,1,100000011,510000002898,
8.86009,µm,Segment,Segment Position,3,2,1,100000011,510000002902,
0.997722,µm,Segment,Segment Position,3,2,1,100000011,510000002917,
13.7965,µm,Segment,Segment Position,3,3,1,100000011,510000002938,
6.32067,µm,Segment,Segment Position,3,2,1,100000011,510000002946,
11.2172,µm,Segment,Segment Position,1,1,1,100000012,510000002958,
16.5762,µm,Segment,Segment Position,2,1,1,100000012,510000002963,
16.8178,µm,Segment,Segment Position,3,1,1,100000012,510000002974,
12.7091,µm,Segment,Segment Position,3,2,1,100000012,510000003000,
10.2247,µm,Segment,Segment Position,2,1,1,100000012,510000003014,
15.7415,µm,Segment,Segment Position,2,2,1,100000012,510000003040,
10.1606,µm,Segment,Segment Position,1,1,1,100000012,510000003065,
10.5418,µm,Segment,Segment Position,2,1,1,100000012,510000003067,
12.6977,µm,Segment,Segment Position,2,2,1,100000012,510000003086,
9.53197,µm,Segment,Segment Position,2,2,1,100000012,510000003109,
9.12527,µm,Segment,Segment Position,2,1,1,100000012,510000003121,
8.99071,µm,Segment,Segment Position,3,1,1,100000012,510000003124,
9.48245,µm,Segment,Segment Position,4,1,1,100000012,510000003130,
14.9159,µm,Segment,Segment Position,4,2,1,100000012,510000003147,
15.5209,µm,Segment,Segment Position,5,2,1,100000012,510000003157,
11.5845,µm,Segment,Segment Position,5,3,1,100000012,510000003175,
9.8559,µm,Segment,Segment Position,5,2,1,100000012,510000003190,
9.82077,µm,Segment,Segment Position,2,2,1,100000012,510000003198,
13.4932,µm,Segment,Segment Position,2,2,1,100000012,510000003232,
15.2432,µm,Segment,Segment Position,3,2,1,100000012,510000003243,
-3.60989,µm,Segment,Segment Position,4,1,1,100000013,510000003271,
17.3026,µm,Segment,Segment Position,3,2,1,100000013,510000003294,
-0.605686,µm,Segment,Segment Position,4,2,1,100000013,510000003296,
16.7968,µm,Segment,Segment Position,4,2,1,100000013,510000003319,
17.1842,µm,Segment,Segment Position,3,2,1,100000013,510000003334,
18.4641,µm,Segment,Segment Position,4,2,1,100000013,510000003336,
11.7561,µm,Segment,Segment Position,4,3,1,100000013,510000003352,
18.3334,µm,Segment,Segment Position,2,1,1,100000013,510000003369,
13.9193,µm,Segment,Segment Position,3,1,1,100000013,510000003372,
10.3497,µm,Segment,Segment Position,2,2,1,100000013,510000003375,
17.2763,µm,Segment,Segment Position,2,2,1,100000013,510000003389,
19.8897,µm,Segment,Segment Position,1,1,1,100000013,510000003402,
-1.3337,µm,Segment,Segment Position,2,1,1,100000013,510000003405,
17.7031,µm,Segment,Segment Position,2,2,1,100000013,510000003429,
18.3753,µm,Segment,Segment Position,3,3,1,100000013,510000003442,
-3.80117,µm,Segment,Segment Position,4,3,1,100000013,510000003451,
-2.05463,µm,Segment,Segment Position,3,2,1,100000013,510000003473,
-25.7385,µm,Segment,Segment Position,1,1,1,100000014,510000003491,
-24.4773,µm,Segment,Segment Position,4,1,1,100000014,510000003501,
