
Segment Orientation Angle
 ==================== 
Segment Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
-126.717,°,Segment,3,2,1,100000008,510000001831,
-145.791,°,Segment,3,3,1,100000008,510000001850,
166.496,°,Segment,3,2,1,100000008,510000001867,
-161.597,°,Segment,4,2,1,100000008,510000001875,
-5.28765,°,Segment,1,1,1,100000008,510000001928,
85.5963,°,Segment,1,1,1,100000008,510000001966,
72.7999,°,Segment,2,1,1,100000008,510000001969,
68.2081,°,Segment,3,1,1,100000008,510000001975,
86.1034,°,Segment,4,1,1,100000008,510000001981,
25.7966,°,Segment,1,1,1,100000008,510000001996,
25.9637,°,Segment,3,2,1,100000008,510000002049,
21.2096,°,Segment,4,2,1,100000008,510000002070,
121.251,°,Segment,2,2,1,100000008,510000002130,
154.611,°,Segment,1,1,1,100000008,510000002155,
148.861,°,Segment,4,3,1,100000008,510000002180,
176.445,°,Segment,5,3,1,100000008,510000002187,
146.069,°,Segment,5,4,1,100000008,510000002191,
-28.2987,°,Segment,2,1,1,100000009,510000002212,
-25.6869,°,Segment,3,1,1,100000009,510000002215,
-13.3655,°,Segment,4,1,1,100000009,510000002235,
-36.4788,°,Segment,4,2,1,100000009,510000002237,
-53.188,°,Segment,2,2,1,100000009,510000002248,
-63.9011,°,Segment,2,1,1,100000009,510000002271,
-69.6672,°,Segment,2,2,1,100000009,510000002296,
167.6,°,Segment,2,2,1,100000009,510000002305,
-162.61,°,Segment,3,2,1,100000009,510000002310,
-162.467,°,Segment,4,2,1,100000009,510000002314,
151.266,°,Segment,4,3,1,100000009,510000002320,
147.251,°,Segment,3,3,1,100000009,510000002333,
127.737,°,Segment,2,1,1,100000009,510000002352,
44.77,°,Segment,2,2,1,100000009,510000002376,
20.0709,°,Segment,3,3,1,100000009,510000002388,
24.5457,°,Segment,3,2,1,100000009,510000002396,
-19.958,°,Segment,4,2,1,100000009,510000002398,
59.9222,°,Segment,4,3,1,100000009,510000002403,
16.8653,°,Segment,3,2,1,100000009,510000002417,
-13.1285,°,Segment,1,1,1,100000010,510000002436,
-45.4583,°,Segment,2,1,1,100000010,510000002463,
25.9576,°,Segment,2,2,1,100000010,510000002487,
-111.829,°,Segment,2,1,1,100000010,510000002501,
-92.6468,°,Segment,3,1,1,100000010,510000002510,
-150.046,°,Segment,3,2,1,100000010,510000002538,
-137.192,°,Segment,4,2,1,100000010,510000002548,
-117.953,°,Segment,4,3,1,100000010,510000002565,
134.464,°,Segment,1,1,1,100000010,510000002584,
158.116,°,Segment,2,1,1,100000010,510000002588,
60.875,°,Segment,2,2,1,100000010,510000002597,
63.6773,°,Segment,3,2,1,100000010,510000002602,
19.1288,°,Segment,4,3,1,100000010,510000002608,
46.5246,°,Segment,1,1,1,100000010,510000002612,
45.9499,°,Segment,2,1,1,100000010,510000002624,
27.9269,°,Segment,2,2,1,100000010,510000002635,
55.6516,°,Segment,3,3,1,100000010,510000002672,
24.9269,°,Segment,4,3,1,100000010,510000002680,
100.019,°,Segment,4,4,1,100000010,510000002707,
-166.862,°,Segment,2,2,1,100000010,510000002726,
-40.293,°,Segment,1,1,1,100000010,510000002748,
-39.6783,°,Segment,3,1,1,100000011,510000002766,
1.00621,°,Segment,3,2,1,100000011,510000002785,
-7.76803,°,Segment,4,2,1,100000011,510000002792,
14.7434,°,Segment,4,3,1,100000011,510000002809,
12.165,°,Segment,2,2,1,100000011,510000002827,
78.1025,°,Segment,3,1,1,100000011,510000002847,
77.6107,°,Segment,3,1,1,100000011,510000002860,
-88.2081,°,Segment,2,2,1,100000011,510000002874,
-165.149,°,Segment,1,1,1,100000011,510000002880,
-162.449,°,Segment,3,3,1,100000011,510000002898,
150.136,°,Segment,3,2,1,100000011,510000002902,
137.439,°,Segment,3,2,1,100000011,510000002917,
109.19,°,Segment,3,3,1,100000011,510000002938,
17.2221,°,Segment,3,2,1,100000011,510000002946,
-61.6384,°,Segment,1,1,1,100000012,510000002958,
-45.0012,°,Segment,2,1,1,100000012,510000002963,
-55.2355,°,Segment,3,1,1,100000012,510000002974,
-26.3584,°,Segment,3,2,1,100000012,510000003000,
-100.135,°,Segment,2,1,1,100000012,510000003014,
-154.693,°,Segment,2,2,1,100000012,510000003040,
173.96,°,Segment,1,1,1,100000012,510000003065,
176.625,°,Segment,2,1,1,100000012,510000003067,
118.016,°,Segment,2,2,1,100000012,510000003086,
96.2366,°,Segment,2,2,1,100000012,510000003109,
1.34203,°,Segment,2,1,1,100000012,510000003121,
-8.11843,°,Segment,3,1,1,100000012,510000003124,
7.40979,°,Segment,4,1,1,100000012,510000003130,
-33.2742,°,Segment,4,2,1,100000012,510000003147,
-43.2286,°,Segment,5,2,1,100000012,510000003157,
-10.0567,°,Segment,5,3,1,100000012,510000003175,
12.4791,°,Segment,5,2,1,100000012,510000003190,
166.467,°,Segment,2,2,1,100000012,510000003198,
-78.6633,°,Segment,2,2,1,100000012,510000003232,
43.774,°,Segment,3,2,1,100000012,510000003243,
-53.4372,°,Segment,4,1,1,100000013,510000003271,
-6.3989,°,Segment,3,2,1,100000013,510000003294,
-24.0236,°,Segment,4,2,1,100000013,510000003296,
-34.628,°,Segment,4,2,1,100000013,510000003319,
-70.1585,°,Segment,3,2,1,100000013,510000003334,
-75.2953,°,Segment,4,2,1,100000013,510000003336,
-94.913,°,Segment,4,3,1,100000013,510000003352,
-127.401,°,Segment,2,1,1,100000013,510000003369,
-101.522,°,Segment,3,1,1,100000013,510000003372,
-106.838,°,Segment,2,2,1,100000013,510000003375,
136.232,°,Segment,2,2,1,100000013,510000003389,
83.2252,°,Segment,1,1,1,100000013,510000003402,
123.911,°,Segment,2,1,1,100000013,510000003405,
102.607,°,Segment,2,2,1,100000013,510000003429,
53.0014,°,Segment,3,3,1,100000013,510000003442,
37.4908,°,Segment,4,3,1,100000013,510000003451,
-156.336,°,Segment,3,2,1,100000013,510000003473,
-170.601,°,Segment,1,1,1,100000014,510000003491,
-127.367,°,Segment,4,1,1,100000014,510000003501,
-169.476,°,Segment,3,2,1,100000014,510000003507,
3.04063,°,Segment,1,1,1,100000014,510000003515,
48.513,°,Segment,3,2,1,100000014,510000003518,
107.511,°,Segment,1,1,1,100000014,510000003527,
132.702,°,Segment,2,2,1,100000014,510000003529,
63.3767,°,Segment,2,1,1,100000014,510000003552,
57.0004,°,Segment,3,1,1,100000014,510000003554,
117.495,°,Segment,3,2,1,100000014,510000003570,
-91.5646,°,Segment,4,2,1,100000014,510000003582,
-30.5156,°,Segment,2,2,1,100000014,510000003592,
