
Segment Number of Voxel Ch=3 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
67472,,Segment,3,3,Image 1,1,1,100000009,510000002215,
6686,,Segment,3,4,Image 1,1,1,100000009,510000002235,
30590,,Segment,3,4,Image 1,2,1,100000009,510000002237,
58934,,Segment,3,2,Image 1,2,1,100000009,510000002248,
75388,,Segment,3,2,Image 1,1,1,100000009,510000002271,
30319,,Segment,3,2,Image 1,2,1,100000009,510000002296,
21443,,Segment,3,2,Image 1,2,1,100000009,510000002305,
10588,,Segment,3,3,Image 1,2,1,100000009,510000002310,
12904,,Segment,3,4,Image 1,2,1,100000009,510000002314,
36549,,Segment,3,4,Image 1,3,1,100000009,510000002320,
48507,,Segment,3,3,Image 1,3,1,100000009,510000002333,
69953,,Segment,3,2,Image 1,1,1,100000009,510000002352,
24593,,Segment,3,2,Image 1,2,1,100000009,510000002376,
12332,,Segment,3,3,Image 1,3,1,100000009,510000002388,
8579,,Segment,3,3,Image 1,2,1,100000009,510000002396,
14135,,Segment,3,4,Image 1,2,1,100000009,510000002398,
30893,,Segment,3,4,Image 1,3,1,100000009,510000002403,
20337,,Segment,3,3,Image 1,2,1,100000009,510000002417,
78171,,Segment,3,1,Image 1,1,1,100000010,510000002436,
47249,,Segment,3,2,Image 1,1,1,100000010,510000002463,
30046,,Segment,3,2,Image 1,2,1,100000010,510000002487,
26704,,Segment,3,2,Image 1,1,1,100000010,510000002501,
63427,,Segment,3,3,Image 1,1,1,100000010,510000002510,
24212,,Segment,3,3,Image 1,2,1,100000010,510000002538,
36913,,Segment,3,4,Image 1,2,1,100000010,510000002548,
40327,,Segment,3,4,Image 1,3,1,100000010,510000002565,
34809,,Segment,3,1,Image 1,1,1,100000010,510000002584,
22404,,Segment,3,2,Image 1,1,1,100000010,510000002588,
15652,,Segment,3,2,Image 1,2,1,100000010,510000002597,
12856,,Segment,3,3,Image 1,2,1,100000010,510000002602,
11790,,Segment,3,4,Image 1,3,1,100000010,510000002608,
52898,,Segment,3,1,Image 1,1,1,100000010,510000002612,
24713,,Segment,3,2,Image 1,1,1,100000010,510000002624,
79903,,Segment,3,2,Image 1,2,1,100000010,510000002635,
19579,,Segment,3,3,Image 1,3,1,100000010,510000002672,
51870,,Segment,3,4,Image 1,3,1,100000010,510000002680,
40480,,Segment,3,4,Image 1,4,1,100000010,510000002707,
46431,,Segment,3,2,Image 1,2,1,100000010,510000002726,
51247,,Segment,3,1,Image 1,1,1,100000010,510000002748,
292723,,Segment,3,3,Image 1,1,1,100000011,510000002766,
85813,,Segment,3,3,Image 1,2,1,100000011,510000002785,
72830,,Segment,3,4,Image 1,2,1,100000011,510000002792,
95564,,Segment,3,4,Image 1,3,1,100000011,510000002809,
181064,,Segment,3,2,Image 1,2,1,100000011,510000002827,
63158,,Segment,3,3,Image 1,1,1,100000011,510000002847,
92640,,Segment,3,3,Image 1,1,1,100000011,510000002860,
67584,,Segment,3,2,Image 1,2,1,100000011,510000002874,
374921,,Segment,3,1,Image 1,1,1,100000011,510000002880,
27592,,Segment,3,3,Image 1,3,1,100000011,510000002898,
80875,,Segment,3,3,Image 1,2,1,100000011,510000002902,
100036,,Segment,3,3,Image 1,2,1,100000011,510000002917,
54440,,Segment,3,3,Image 1,3,1,100000011,510000002938,
65713,,Segment,3,3,Image 1,2,1,100000011,510000002946,
217042,,Segment,3,1,Image 1,1,1,100000012,510000002958,
126493,,Segment,3,2,Image 1,1,1,100000012,510000002963,
262884,,Segment,3,3,Image 1,1,1,100000012,510000002974,
129902,,Segment,3,3,Image 1,2,1,100000012,510000003000,
270632,,Segment,3,2,Image 1,1,1,100000012,510000003014,
255732,,Segment,3,2,Image 1,2,1,100000012,510000003040,
169672,,Segment,3,1,Image 1,1,1,100000012,510000003065,
237744,,Segment,3,2,Image 1,1,1,100000012,510000003067,
237726,,Segment,3,2,Image 1,2,1,100000012,510000003086,
165933,,Segment,3,2,Image 1,2,1,100000012,510000003109,
67375,,Segment,3,2,Image 1,1,1,100000012,510000003121,
72103,,Segment,3,3,Image 1,1,1,100000012,510000003124,
152394,,Segment,3,4,Image 1,1,1,100000012,510000003130,
105275,,Segment,3,4,Image 1,2,1,100000012,510000003147,
166976,,Segment,3,5,Image 1,2,1,100000012,510000003157,
156652,,Segment,3,5,Image 1,3,1,100000012,510000003175,
98217,,Segment,3,5,Image 1,2,1,100000012,510000003190,
309289,,Segment,3,2,Image 1,2,1,100000012,510000003198,
147550,,Segment,3,2,Image 1,2,1,100000012,510000003232,
207977,,Segment,3,3,Image 1,2,1,100000012,510000003243,
21146,,Segment,3,4,Image 1,1,1,100000013,510000003271,
5257,,Segment,3,3,Image 1,2,1,100000013,510000003294,
21904,,Segment,3,4,Image 1,2,1,100000013,510000003296,
32288,,Segment,3,4,Image 1,2,1,100000013,510000003319,
11450,,Segment,3,3,Image 1,2,1,100000013,510000003334,
28036,,Segment,3,4,Image 1,2,1,100000013,510000003336,
24418,,Segment,3,4,Image 1,3,1,100000013,510000003352,
8764,,Segment,3,2,Image 1,1,1,100000013,510000003369,
5080,,Segment,3,3,Image 1,1,1,100000013,510000003372,
22601,,Segment,3,2,Image 1,2,1,100000013,510000003375,
29892,,Segment,3,2,Image 1,2,1,100000013,510000003389,
39192,,Segment,3,1,Image 1,1,1,100000013,510000003402,
24820,,Segment,3,2,Image 1,1,1,100000013,510000003405,
27324,,Segment,3,2,Image 1,2,1,100000013,510000003429,
18732,,Segment,3,3,Image 1,3,1,100000013,510000003442,
17284,,Segment,3,4,Image 1,3,1,100000013,510000003451,
11646,,Segment,3,3,Image 1,2,1,100000013,510000003473,
75384,,Segment,3,1,Image 1,1,1,100000014,510000003491,
15149,,Segment,3,4,Image 1,1,1,100000014,510000003501,
19793,,Segment,3,3,Image 1,2,1,100000014,510000003507,
55204,,Segment,3,1,Image 1,1,1,100000014,510000003515,
21199,,Segment,3,3,Image 1,2,1,100000014,510000003518,
52371,,Segment,3,1,Image 1,1,1,100000014,510000003527,
21031,,Segment,3,2,Image 1,2,1,100000014,510000003529,
12759,,Segment,3,2,Image 1,1,1,100000014,510000003552,
17920,,Segment,3,3,Image 1,1,1,100000014,510000003554,
15025,,Segment,3,3,Image 1,2,1,100000014,510000003570,
14417,,Segment,3,4,Image 1,2,1,100000014,510000003582,
20896,,Segment,3,2,Image 1,2,1,100000014,510000003592,
25046,,Segment,3,4,Image 1,1,1,100000014,510000003609,
6815,,Segment,3,4,Image 1,2,1,100000014,510000003635,
18394,,Segment,3,2,Image 1,2,1,100000014,510000003640,
15117,,Segment,3,3,Image 1,2,1,100000014,510000003647,
9673,,Segment,3,3,Image 1,3,1,100000014,510000003656,
61011,,Segment,3,0,Image 1,1,1,100000000,510000003676,
15228,,Segment,3,1,Image 1,1,1,100000000,510000003677,
15041,,Segment,3,1,Image 1,2,1,100000000,510000003678,
1670,,Segment,3,2,Image 1,2,1,100000000,510000003679,
68238,,Segment,3,1,Image 1,1,1,100000001,510000003680,
71955,,Segment,3,1,Image 1,1,1,100000001,510000003681,
16399,,Segment,3,2,Image 1,1,1,100000001,510000003682,
13842,,Segment,3,4,Image 1,2,1,100000001,510000003683,
2001,,Segment,3,4,Image 1,1,1,100000002,510000003684,
362324,,Segment,3,1,Image 1,1,1,100000003,510000003685,
135265,,Segment,3,1,Image 1,1,1,100000004,510000003686,
20889,,Segment,3,2,Image 1,1,1,100000004,510000003687,
27092,,Segment,3,2,Image 1,2,1,100000004,510000003688,
13632,,Segment,3,3,Image 1,3,1,100000004,510000003689,
49582,,Segment,3,0,Image 1,1,1,100000005,510000003690,
11039,,Segment,3,1,Image 1,2,1,100000005,510000003691,
4842,,Segment,3,2,Image 1,2,1,100000005,510000003692,
5964,,Segment,3,3,Image 1,2,1,100000005,510000003693,
3455,,Segment,3,6,Image 1,2,1,100000005,510000003694,
3285,,Segment,3,3,Image 1,2,1,100000006,510000003695,
78080,,Segment,3,1,Image 1,1,1,100000006,510000003696,
72628,,Segment,3,1,Image 1,1,1,100000006,510000003697,
7982,,Segment,3,2,Image 1,1,1,100000006,510000003698,
89439,,Segment,3,1,Image 1,1,1,100000007,510000003699,
72469,,Segment,3,1,Image 1,1,1,100000007,510000003700,
4890,,Segment,3,3,Image 1,1,1,100000008,510000003701,
38523,,Segment,3,1,Image 1,1,1,100000009,510000003702,
39289,,Segment,3,1,Image 1,1,1,100000009,510000003703,
36126,,Segment,3,1,Image 1,1,1,100000009,510000003704,
24831,,Segment,3,1,Image 1,1,1,100000010,510000003705,
4649,,Segment,3,4,Image 1,2,1,100000010,510000003706,
270543,,Segment,3,1,Image 1,1,1,100000011,510000003707,
48801,,Segment,3,2,Image 1,1,1,100000011,510000003708,
4113,,Segment,3,3,Image 1,2,1,100000011,510000003709,
246846,,Segment,3,1,Image 1,1,1,100000011,510000003710,
50419,,Segment,3,2,Image 1,1,1,100000011,510000003711,
279131,,Segment,3,1,Image 1,1,1,100000011,510000003712,
38458,,Segment,3,2,Image 1,1,1,100000011,510000003713,
45399,,Segment,3,2,Image 1,2,1,100000011,510000003714,
147891,,Segment,3,1,Image 1,1,1,100000012,510000003715,
145583,,Segment,3,1,Image 1,1,1,100000012,510000003716,
18155,,Segment,3,5,Image 1,1,1,100000012,510000003717,
37430,,Segment,3,1,Image 1,1,1,100000013,510000003718,
9642,,Segment,3,2,Image 1,1,1,100000013,510000003719,
6002,,Segment,3,3,Image 1,1,1,100000013,510000003720,
9828,,Segment,3,2,Image 1,2,1,100000013,510000003721,
29994,,Segment,3,1,Image 1,1,1,100000013,510000003722,
53894,,Segment,3,1,Image 1,1,1,100000014,510000003723,
8578,,Segment,3,2,Image 1,1,1,100000014,510000003724,
5516,,Segment,3,3,Image 1,1,1,100000014,510000003725,
5930,,Segment,3,2,Image 1,1,1,100000014,510000003726,
5848,,Segment,3,3,Image 1,1,1,100000014,510000003727,
