
Segment Area
 ==================== 
Segment Area,Unit,Category,Depth,Level,Time,FilamentID,ID,
8322.05,µm^2,Segment,5,3,1,100000012,510000003175,
4779.61,µm^2,Segment,5,2,1,100000012,510000003190,
16200.9,µm^2,Segment,2,2,1,100000012,510000003198,
7043.76,µm^2,Segment,2,2,1,100000012,510000003232,
12195.1,µm^2,Segment,3,2,1,100000012,510000003243,
2017.79,µm^2,Segment,4,1,1,100000013,510000003271,
500.037,µm^2,Segment,3,2,1,100000013,510000003294,
2817.93,µm^2,Segment,4,2,1,100000013,510000003296,
4012.88,µm^2,Segment,4,2,1,100000013,510000003319,
1018.95,µm^2,Segment,3,2,1,100000013,510000003334,
3747.65,µm^2,Segment,4,2,1,100000013,510000003336,
3326.32,µm^2,Segment,4,3,1,100000013,510000003352,
709.185,µm^2,Segment,2,1,1,100000013,510000003369,
532.709,µm^2,Segment,3,1,1,100000013,510000003372,
2399.23,µm^2,Segment,2,2,1,100000013,510000003375,
3503.08,µm^2,Segment,2,2,1,100000013,510000003389,
2025.23,µm^2,Segment,1,1,1,100000013,510000003402,
2740.36,µm^2,Segment,2,1,1,100000013,510000003405,
3434.88,µm^2,Segment,2,2,1,100000013,510000003429,
2385.73,µm^2,Segment,3,3,1,100000013,510000003442,
2304.81,µm^2,Segment,4,3,1,100000013,510000003451,
1444.97,µm^2,Segment,3,2,1,100000013,510000003473,
4227.04,µm^2,Segment,1,1,1,100000014,510000003491,
1635.7,µm^2,Segment,4,1,1,100000014,510000003501,
2446.82,µm^2,Segment,3,2,1,100000014,510000003507,
2082.01,µm^2,Segment,1,1,1,100000014,510000003515,
2503.04,µm^2,Segment,3,2,1,100000014,510000003518,
1783.11,µm^2,Segment,1,1,1,100000014,510000003527,
2108.7,µm^2,Segment,2,2,1,100000014,510000003529,
1130.51,µm^2,Segment,2,1,1,100000014,510000003552,
2339.73,µm^2,Segment,3,1,1,100000014,510000003554,
1997.96,µm^2,Segment,3,2,1,100000014,510000003570,
1741.7,µm^2,Segment,4,2,1,100000014,510000003582,
2227.78,µm^2,Segment,2,2,1,100000014,510000003592,
3314.36,µm^2,Segment,4,1,1,100000014,510000003609,
810.425,µm^2,Segment,4,2,1,100000014,510000003635,
2034.96,µm^2,Segment,2,2,1,100000014,510000003640,
2013.75,µm^2,Segment,3,2,1,100000014,510000003647,
1293.16,µm^2,Segment,3,3,1,100000014,510000003656,
1338,µm^2,Segment,0,1,1,100000000,510000003676,
476.077,µm^2,Segment,1,1,1,100000000,510000003677,
862.411,µm^2,Segment,1,2,1,100000000,510000003678,
228.788,µm^2,Segment,2,2,1,100000000,510000003679,
1489.28,µm^2,Segment,1,1,1,100000001,510000003680,
1664.75,µm^2,Segment,1,1,1,100000001,510000003681,
528.324,µm^2,Segment,2,1,1,100000001,510000003682,
975.549,µm^2,Segment,4,2,1,100000001,510000003683,
145.266,µm^2,Segment,4,1,1,100000002,510000003684,
5976.86,µm^2,Segment,1,1,1,100000003,510000003685,
1922.21,µm^2,Segment,1,1,1,100000004,510000003686,
551.471,µm^2,Segment,2,1,1,100000004,510000003687,
1105.35,µm^2,Segment,2,2,1,100000004,510000003688,
790.76,µm^2,Segment,3,3,1,100000004,510000003689,
1422.05,µm^2,Segment,0,1,1,100000005,510000003690,
692.468,µm^2,Segment,1,2,1,100000005,510000003691,
302.486,µm^2,Segment,2,2,1,100000005,510000003692,
478.363,µm^2,Segment,3,2,1,100000005,510000003693,
269.167,µm^2,Segment,6,2,1,100000005,510000003694,
424.994,µm^2,Segment,3,2,1,100000006,510000003695,
1741.53,µm^2,Segment,1,1,1,100000006,510000003696,
1489.42,µm^2,Segment,1,1,1,100000006,510000003697,
429.993,µm^2,Segment,2,1,1,100000006,510000003698,
2001.35,µm^2,Segment,1,1,1,100000007,510000003699,
1289.95,µm^2,Segment,1,1,1,100000007,510000003700,
171.759,µm^2,Segment,3,1,1,100000008,510000003701,
1161.66,µm^2,Segment,1,1,1,100000009,510000003702,
1203,µm^2,Segment,1,1,1,100000009,510000003703,
1031.44,µm^2,Segment,1,1,1,100000009,510000003704,
648.747,µm^2,Segment,1,1,1,100000010,510000003705,
172.279,µm^2,Segment,4,2,1,100000010,510000003706,
4278.01,µm^2,Segment,1,1,1,100000011,510000003707,
1276.58,µm^2,Segment,2,1,1,100000011,510000003708,
192.997,µm^2,Segment,3,2,1,100000011,510000003709,
3694.33,µm^2,Segment,1,1,1,100000011,510000003710,
2341.19,µm^2,Segment,2,1,1,100000011,510000003711,
4715.77,µm^2,Segment,1,1,1,100000011,510000003712,
1358.42,µm^2,Segment,2,1,1,100000011,510000003713,
2036.41,µm^2,Segment,2,2,1,100000011,510000003714,
2114.7,µm^2,Segment,1,1,1,100000012,510000003715,
2043.22,µm^2,Segment,1,1,1,100000012,510000003716,
375.88,µm^2,Segment,5,1,1,100000012,510000003717,
1568.59,µm^2,Segment,1,1,1,100000013,510000003718,
517.247,µm^2,Segment,2,1,1,100000013,510000003719,
274.932,µm^2,Segment,3,1,1,100000013,510000003720,
665.985,µm^2,Segment,2,2,1,100000013,510000003721,
1100.28,µm^2,Segment,1,1,1,100000013,510000003722,
1783.89,µm^2,Segment,1,1,1,100000014,510000003723,
537.767,µm^2,Segment,2,1,1,100000014,510000003724,
346.739,µm^2,Segment,3,1,1,100000014,510000003725,
367.015,µm^2,Segment,2,1,1,100000014,510000003726,
463.217,µm^2,Segment,3,1,1,100000014,510000003727,
