
Segment Straightness
 ==================== 
Segment Straightness,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.84269,,Segment,4,3,1,100000004,510000000956,
0.998625,,Segment,3,3,1,100000004,510000000973,
0.896534,,Segment,5,3,1,100000004,510000000978,
0.92562,,Segment,4,4,1,100000004,510000000984,
0.99975,,Segment,1,1,1,100000005,510000000993,
0.993668,,Segment,2,1,1,100000005,510000000995,
0.956847,,Segment,3,1,1,100000005,510000000999,
0.981725,,Segment,2,2,1,100000005,510000001015,
0.979178,,Segment,3,3,1,100000005,510000001032,
0.946004,,Segment,3,3,1,100000005,510000001055,
0.990416,,Segment,4,2,1,100000005,510000001076,
0.998403,,Segment,5,2,1,100000005,510000001082,
0.997258,,Segment,6,3,1,100000005,510000001086,
0.921504,,Segment,7,2,1,100000005,510000001093,
0.963936,,Segment,7,3,1,100000005,510000001101,
0.995813,,Segment,4,3,1,100000005,510000001110,
0.991804,,Segment,5,3,1,100000005,510000001117,
0.893722,,Segment,5,4,1,100000005,510000001124,
0.973787,,Segment,5,3,1,100000005,510000001129,
0.979722,,Segment,2,3,1,100000005,510000001133,
0.957715,,Segment,3,4,1,100000005,510000001136,
0.896008,,Segment,3,3,1,100000005,510000001156,
0.988556,,Segment,4,3,1,100000005,510000001159,
0.895083,,Segment,4,4,1,100000005,510000001175,
0.941731,,Segment,3,2,1,100000005,510000001191,
0.974034,,Segment,4,2,1,100000005,510000001204,
0.988137,,Segment,4,3,1,100000005,510000001221,
0.977156,,Segment,3,4,1,100000005,510000001236,
0.998049,,Segment,1,1,1,100000006,510000001259,
0.989549,,Segment,2,1,1,100000006,510000001262,
0.995067,,Segment,3,1,1,100000006,510000001267,
0.965069,,Segment,2,2,1,100000006,510000001272,
0.995117,,Segment,3,3,1,100000006,510000001278,
0.976348,,Segment,2,1,1,100000006,510000001285,
0.999876,,Segment,1,1,1,100000006,510000001329,
0.990649,,Segment,2,1,1,100000006,510000001331,
0.961351,,Segment,2,2,1,100000006,510000001353,
0.904803,,Segment,2,2,1,100000006,510000001379,
0.992547,,Segment,4,2,1,100000006,510000001399,
0.996193,,Segment,3,1,1,100000006,510000001408,
0.984353,,Segment,2,2,1,100000006,510000001416,
0.990573,,Segment,3,2,1,100000006,510000001418,
0.948896,,Segment,3,3,1,100000006,510000001430,
0.931647,,Segment,3,2,1,100000006,510000001448,
0.973497,,Segment,3,2,1,100000006,510000001465,
0.949561,,Segment,4,3,1,100000006,510000001486,
0.994852,,Segment,2,1,1,100000007,510000001536,
0.99652,,Segment,3,1,1,100000007,510000001546,
0.999835,,Segment,4,1,1,100000007,510000001549,
0.967248,,Segment,5,1,1,100000007,510000001551,
0.99995,,Segment,6,1,1,100000007,510000001573,
0.863884,,Segment,6,2,1,100000007,510000001575,
0.968828,,Segment,3,2,1,100000007,510000001583,
0.994579,,Segment,2,2,1,100000007,510000001620,
0.997147,,Segment,3,2,1,100000007,510000001624,
0.999566,,Segment,4,2,1,100000007,510000001626,
0.996459,,Segment,4,3,1,100000007,510000001628,
0.999385,,Segment,3,3,1,100000007,510000001630,
0.9996,,Segment,1,1,1,100000007,510000001632,
0.993252,,Segment,2,1,1,100000007,510000001634,
0.96309,,Segment,2,1,1,100000007,510000001639,
0.965313,,Segment,2,2,1,100000007,510000001655,
0.990805,,Segment,3,2,1,100000007,510000001659,
0.976563,,Segment,3,3,1,100000007,510000001680,
0.887058,,Segment,2,2,1,100000007,510000001689,
0.965351,,Segment,5,2,1,100000007,510000001704,
0.970629,,Segment,4,2,1,100000007,510000001717,
0.934841,,Segment,2,2,1,100000007,510000001731,
0.970979,,Segment,1,1,1,100000008,510000001749,
0.999781,,Segment,1,1,1,100000008,510000001766,
0.993981,,Segment,2,1,1,100000008,510000001768,
0.954311,,Segment,4,1,1,100000008,510000001772,
0.962704,,Segment,4,2,1,100000008,510000001788,
0.952306,,Segment,2,2,1,100000008,510000001800,
0.965548,,Segment,3,2,1,100000008,510000001831,
0.987449,,Segment,3,3,1,100000008,510000001850,
0.960602,,Segment,3,2,1,100000008,510000001867,
0.936613,,Segment,4,2,1,100000008,510000001875,
0.97566,,Segment,1,1,1,100000008,510000001928,
0.986539,,Segment,1,1,1,100000008,510000001966,
0.997147,,Segment,2,1,1,100000008,510000001969,
0.9985,,Segment,3,1,1,100000008,510000001975,
0.953832,,Segment,4,1,1,100000008,510000001981,
0.97656,,Segment,1,1,1,100000008,510000001996,
0.964684,,Segment,3,2,1,100000008,510000002049,
0.962886,,Segment,4,2,1,100000008,510000002070,
0.960526,,Segment,2,2,1,100000008,510000002130,
0.901299,,Segment,1,1,1,100000008,510000002155,
0.938401,,Segment,4,3,1,100000008,510000002180,
0.966713,,Segment,5,3,1,100000008,510000002187,
0.945211,,Segment,5,4,1,100000008,510000002191,
0.997195,,Segment,2,1,1,100000009,510000002212,
0.997445,,Segment,3,1,1,100000009,510000002215,
0.997441,,Segment,4,1,1,100000009,510000002235,
0.989739,,Segment,4,2,1,100000009,510000002237,
0.948298,,Segment,2,2,1,100000009,510000002248,
0.919908,,Segment,2,1,1,100000009,510000002271,
0.94982,,Segment,2,2,1,100000009,510000002296,
0.907051,,Segment,2,2,1,100000009,510000002305,
0.994117,,Segment,3,2,1,100000009,510000002310,
