
Segment Center Intensity Median Ch=3 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
206.031,,Segment,3,3,Image 1,2,1,100000008,510000002049,
190.062,,Segment,3,4,Image 1,2,1,100000008,510000002070,
180.125,,Segment,3,2,Image 1,2,1,100000008,510000002130,
160.625,,Segment,3,1,Image 1,1,1,100000008,510000002155,
113.062,,Segment,3,4,Image 1,3,1,100000008,510000002180,
103.062,,Segment,3,5,Image 1,3,1,100000008,510000002187,
164.562,,Segment,3,5,Image 1,4,1,100000008,510000002191,
151.562,,Segment,3,2,Image 1,1,1,100000009,510000002212,
188.062,,Segment,3,3,Image 1,1,1,100000009,510000002215,
118.062,,Segment,3,4,Image 1,1,1,100000009,510000002235,
192.062,,Segment,3,4,Image 1,2,1,100000009,510000002237,
174.062,,Segment,3,2,Image 1,2,1,100000009,510000002248,
150.125,,Segment,3,2,Image 1,1,1,100000009,510000002271,
149.062,,Segment,3,2,Image 1,2,1,100000009,510000002296,
97.0312,,Segment,3,2,Image 1,2,1,100000009,510000002305,
142.031,,Segment,3,3,Image 1,2,1,100000009,510000002310,
164.062,,Segment,3,4,Image 1,2,1,100000009,510000002314,
188.562,,Segment,3,4,Image 1,3,1,100000009,510000002320,
178.062,,Segment,3,3,Image 1,3,1,100000009,510000002333,
171.125,,Segment,3,2,Image 1,1,1,100000009,510000002352,
112.062,,Segment,3,2,Image 1,2,1,100000009,510000002376,
80.125,,Segment,3,3,Image 1,3,1,100000009,510000002388,
92.0625,,Segment,3,3,Image 1,2,1,100000009,510000002396,
192.562,,Segment,3,4,Image 1,2,1,100000009,510000002398,
135.125,,Segment,3,4,Image 1,3,1,100000009,510000002403,
199.062,,Segment,3,3,Image 1,2,1,100000009,510000002417,
142.625,,Segment,3,1,Image 1,1,1,100000010,510000002436,
198.062,,Segment,3,2,Image 1,1,1,100000010,510000002463,
182.062,,Segment,3,2,Image 1,2,1,100000010,510000002487,
132.625,,Segment,3,2,Image 1,1,1,100000010,510000002501,
200.031,,Segment,3,3,Image 1,1,1,100000010,510000002510,
163.062,,Segment,3,3,Image 1,2,1,100000010,510000002538,
158.062,,Segment,3,4,Image 1,2,1,100000010,510000002548,
126.625,,Segment,3,4,Image 1,3,1,100000010,510000002565,
58.0625,,Segment,3,1,Image 1,1,1,100000010,510000002584,
155.562,,Segment,3,2,Image 1,1,1,100000010,510000002588,
142.031,,Segment,3,2,Image 1,2,1,100000010,510000002597,
130.031,,Segment,3,3,Image 1,2,1,100000010,510000002602,
186.031,,Segment,3,4,Image 1,3,1,100000010,510000002608,
157.125,,Segment,3,1,Image 1,1,1,100000010,510000002612,
190.531,,Segment,3,2,Image 1,1,1,100000010,510000002624,
139.125,,Segment,3,2,Image 1,2,1,100000010,510000002635,
136.062,,Segment,3,3,Image 1,3,1,100000010,510000002672,
172.125,,Segment,3,4,Image 1,3,1,100000010,510000002680,
102.625,,Segment,3,4,Image 1,4,1,100000010,510000002707,
161.125,,Segment,3,2,Image 1,2,1,100000010,510000002726,
105.125,,Segment,3,1,Image 1,1,1,100000010,510000002748,
177.062,,Segment,3,3,Image 1,1,1,100000011,510000002766,
166.062,,Segment,3,3,Image 1,2,1,100000011,510000002785,
198.531,,Segment,3,4,Image 1,2,1,100000011,510000002792,
197.531,,Segment,3,4,Image 1,3,1,100000011,510000002809,
187.125,,Segment,3,2,Image 1,2,1,100000011,510000002827,
200.531,,Segment,3,3,Image 1,1,1,100000011,510000002847,
195.062,,Segment,3,3,Image 1,1,1,100000011,510000002860,
97.0625,,Segment,3,2,Image 1,2,1,100000011,510000002874,
185.125,,Segment,3,1,Image 1,1,1,100000011,510000002880,
200.562,,Segment,3,3,Image 1,3,1,100000011,510000002898,
176.562,,Segment,3,3,Image 1,2,1,100000011,510000002902,
185.062,,Segment,3,3,Image 1,2,1,100000011,510000002917,
190.031,,Segment,3,3,Image 1,3,1,100000011,510000002938,
178.562,,Segment,3,3,Image 1,2,1,100000011,510000002946,
142.625,,Segment,3,1,Image 1,1,1,100000012,510000002958,
171.125,,Segment,3,2,Image 1,1,1,100000012,510000002963,
196.031,,Segment,3,3,Image 1,1,1,100000012,510000002974,
190.562,,Segment,3,3,Image 1,2,1,100000012,510000003000,
178.125,,Segment,3,2,Image 1,1,1,100000012,510000003014,
176.625,,Segment,3,2,Image 1,2,1,100000012,510000003040,
73.0625,,Segment,3,1,Image 1,1,1,100000012,510000003065,
196.562,,Segment,3,2,Image 1,1,1,100000012,510000003067,
178.125,,Segment,3,2,Image 1,2,1,100000012,510000003086,
163.125,,Segment,3,2,Image 1,2,1,100000012,510000003109,
109.062,,Segment,3,2,Image 1,1,1,100000012,510000003121,
128.062,,Segment,3,3,Image 1,1,1,100000012,510000003124,
148.062,,Segment,3,4,Image 1,1,1,100000012,510000003130,
155.062,,Segment,3,4,Image 1,2,1,100000012,510000003147,
202.031,,Segment,3,5,Image 1,2,1,100000012,510000003157,
195.531,,Segment,3,5,Image 1,3,1,100000012,510000003175,
148.062,,Segment,3,5,Image 1,2,1,100000012,510000003190,
192.062,,Segment,3,2,Image 1,2,1,100000012,510000003198,
188.031,,Segment,3,2,Image 1,2,1,100000012,510000003232,
202.062,,Segment,3,3,Image 1,2,1,100000012,510000003243,
185.031,,Segment,3,4,Image 1,1,1,100000013,510000003271,
143.031,,Segment,3,3,Image 1,2,1,100000013,510000003294,
194.562,,Segment,3,4,Image 1,2,1,100000013,510000003296,
199.031,,Segment,3,4,Image 1,2,1,100000013,510000003319,
192.008,,Segment,3,3,Image 1,2,1,100000013,510000003334,
183.031,,Segment,3,4,Image 1,2,1,100000013,510000003336,
185.031,,Segment,3,4,Image 1,3,1,100000013,510000003352,
98.0156,,Segment,3,2,Image 1,1,1,100000013,510000003369,
151.062,,Segment,3,3,Image 1,1,1,100000013,510000003372,
173.062,,Segment,3,2,Image 1,2,1,100000013,510000003375,
187.125,,Segment,3,2,Image 1,2,1,100000013,510000003389,
130.062,,Segment,3,1,Image 1,1,1,100000013,510000003402,
178.125,,Segment,3,2,Image 1,1,1,100000013,510000003405,
193.031,,Segment,3,2,Image 1,2,1,100000013,510000003429,
194.562,,Segment,3,3,Image 1,3,1,100000013,510000003442,
185.062,,Segment,3,4,Image 1,3,1,100000013,510000003451,
203.562,,Segment,3,3,Image 1,2,1,100000013,510000003473,
134.062,,Segment,3,1,Image 1,1,1,100000014,510000003491,
181.016,,Segment,3,4,Image 1,1,1,100000014,510000003501,
177.062,,Segment,3,3,Image 1,2,1,100000014,510000003507,
91.0312,,Segment,3,1,Image 1,1,1,100000014,510000003515,
149.516,,Segment,3,3,Image 1,2,1,100000014,510000003518,
72.0312,,Segment,3,1,Image 1,1,1,100000014,510000003527,
182.062,,Segment,3,2,Image 1,2,1,100000014,510000003529,
139.031,,Segment,3,2,Image 1,1,1,100000014,510000003552,
161.062,,Segment,3,3,Image 1,1,1,100000014,510000003554,
188.031,,Segment,3,3,Image 1,2,1,100000014,510000003570,
185.031,,Segment,3,4,Image 1,2,1,100000014,510000003582,
182.062,,Segment,3,2,Image 1,2,1,100000014,510000003592,
186.062,,Segment,3,4,Image 1,1,1,100000014,510000003609,
171.062,,Segment,3,4,Image 1,2,1,100000014,510000003635,
143.062,,Segment,3,2,Image 1,2,1,100000014,510000003640,
178.562,,Segment,3,3,Image 1,2,1,100000014,510000003647,
183.062,,Segment,3,3,Image 1,3,1,100000014,510000003656,
86,,Segment,3,0,Image 1,1,1,100000000,510000003676,
81.0078,,Segment,3,1,Image 1,1,1,100000000,510000003677,
64.0312,,Segment,3,1,Image 1,2,1,100000000,510000003678,
