
Segment Branching Angle B
 ==================== 
Segment Branching Angle B,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,°,Segment,1,1,1,100000006,510000003696,
0,°,Segment,1,1,1,100000006,510000003697,
3.85986,°,Segment,2,1,1,100000006,510000003698,
0,°,Segment,1,1,1,100000007,510000003699,
0,°,Segment,1,1,1,100000007,510000003700,
5.24718,°,Segment,3,1,1,100000008,510000003701,
0,°,Segment,1,1,1,100000009,510000003702,
0,°,Segment,1,1,1,100000009,510000003703,
0,°,Segment,1,1,1,100000009,510000003704,
0,°,Segment,1,1,1,100000010,510000003705,
30.0658,°,Segment,4,2,1,100000010,510000003706,
0,°,Segment,1,1,1,100000011,510000003707,
1.1073,°,Segment,2,1,1,100000011,510000003708,
20.5363,°,Segment,3,2,1,100000011,510000003709,
0,°,Segment,1,1,1,100000011,510000003710,
67.9021,°,Segment,2,1,1,100000011,510000003711,
0,°,Segment,1,1,1,100000011,510000003712,
12.3691,°,Segment,2,1,1,100000011,510000003713,
16.6024,°,Segment,2,2,1,100000011,510000003714,
0,°,Segment,1,1,1,100000012,510000003715,
0,°,Segment,1,1,1,100000012,510000003716,
20.1895,°,Segment,5,1,1,100000012,510000003717,
0,°,Segment,1,1,1,100000013,510000003718,
0.679262,°,Segment,2,1,1,100000013,510000003719,
2.44777,°,Segment,3,1,1,100000013,510000003720,
68.0967,°,Segment,2,2,1,100000013,510000003721,
0,°,Segment,1,1,1,100000013,510000003722,
0,°,Segment,1,1,1,100000014,510000003723,
13.1132,°,Segment,2,1,1,100000014,510000003724,
18.5736,°,Segment,3,1,1,100000014,510000003725,
7.15069,°,Segment,2,1,1,100000014,510000003726,
21.4328,°,Segment,3,1,1,100000014,510000003727,
