
Segment Position Y
 ==================== 
Segment Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
12039,µm,Segment,Segment Position,2,1,1,100000007,510000001634,
12067.5,µm,Segment,Segment Position,2,1,1,100000007,510000001639,
12088,µm,Segment,Segment Position,2,2,1,100000007,510000001655,
12128.8,µm,Segment,Segment Position,3,2,1,100000007,510000001659,
12128.1,µm,Segment,Segment Position,3,3,1,100000007,510000001680,
12162.2,µm,Segment,Segment Position,2,2,1,100000007,510000001689,
12269.4,µm,Segment,Segment Position,5,2,1,100000007,510000001704,
12269.5,µm,Segment,Segment Position,4,2,1,100000007,510000001717,
12028.6,µm,Segment,Segment Position,2,2,1,100000007,510000001731,
11788.5,µm,Segment,Segment Position,1,1,1,100000008,510000001749,
11822,µm,Segment,Segment Position,1,1,1,100000008,510000001766,
11807.1,µm,Segment,Segment Position,2,1,1,100000008,510000001768,
11766,µm,Segment,Segment Position,4,1,1,100000008,510000001772,
11765.8,µm,Segment,Segment Position,4,2,1,100000008,510000001788,
11766.8,µm,Segment,Segment Position,2,2,1,100000008,510000001800,
11668.7,µm,Segment,Segment Position,3,2,1,100000008,510000001831,
11679.2,µm,Segment,Segment Position,3,3,1,100000008,510000001850,
11801.9,µm,Segment,Segment Position,3,2,1,100000008,510000001867,
11766.9,µm,Segment,Segment Position,4,2,1,100000008,510000001875,
11815.5,µm,Segment,Segment Position,1,1,1,100000008,510000001928,
11831.5,µm,Segment,Segment Position,1,1,1,100000008,510000001966,
11855.7,µm,Segment,Segment Position,2,1,1,100000008,510000001969,
11886,µm,Segment,Segment Position,3,1,1,100000008,510000001975,
11938,µm,Segment,Segment Position,4,1,1,100000008,510000001981,
11881.6,µm,Segment,Segment Position,1,1,1,100000008,510000001996,
11895.8,µm,Segment,Segment Position,3,2,1,100000008,510000002049,
11962.3,µm,Segment,Segment Position,4,2,1,100000008,510000002070,
11905.2,µm,Segment,Segment Position,2,2,1,100000008,510000002130,
11839,µm,Segment,Segment Position,1,1,1,100000008,510000002155,
11820.9,µm,Segment,Segment Position,4,3,1,100000008,510000002180,
11829.6,µm,Segment,Segment Position,5,3,1,100000008,510000002187,
