
Segment Mean Diameter
 ==================== 
Segment Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
17.206,µm,Segment,5,1,1,100000012,510000003717,
20.3154,µm,Segment,1,1,1,100000013,510000003718,
11.9905,µm,Segment,2,1,1,100000013,510000003719,
10.794,µm,Segment,3,1,1,100000013,510000003720,
10.5728,µm,Segment,2,2,1,100000013,510000003721,
19.7933,µm,Segment,1,1,1,100000013,510000003722,
23.4279,µm,Segment,1,1,1,100000014,510000003723,
12.0114,µm,Segment,2,1,1,100000014,510000003724,
10.2378,µm,Segment,3,1,1,100000014,510000003725,
10.7166,µm,Segment,2,1,1,100000014,510000003726,
8.94247,µm,Segment,3,1,1,100000014,510000003727,
