
Segment Center Intensity Min Ch=4 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,4,3,Image 1,3,1,100000009,510000002388,
0,,Segment,4,3,Image 1,2,1,100000009,510000002396,
0,,Segment,4,4,Image 1,2,1,100000009,510000002398,
0,,Segment,4,4,Image 1,3,1,100000009,510000002403,
0,,Segment,4,3,Image 1,2,1,100000009,510000002417,
0,,Segment,4,1,Image 1,1,1,100000010,510000002436,
0,,Segment,4,2,Image 1,1,1,100000010,510000002463,
0,,Segment,4,2,Image 1,2,1,100000010,510000002487,
0,,Segment,4,2,Image 1,1,1,100000010,510000002501,
0,,Segment,4,3,Image 1,1,1,100000010,510000002510,
0,,Segment,4,3,Image 1,2,1,100000010,510000002538,
0,,Segment,4,4,Image 1,2,1,100000010,510000002548,
0,,Segment,4,4,Image 1,3,1,100000010,510000002565,
0,,Segment,4,1,Image 1,1,1,100000010,510000002584,
0,,Segment,4,2,Image 1,1,1,100000010,510000002588,
0,,Segment,4,2,Image 1,2,1,100000010,510000002597,
0,,Segment,4,3,Image 1,2,1,100000010,510000002602,
0,,Segment,4,4,Image 1,3,1,100000010,510000002608,
0,,Segment,4,1,Image 1,1,1,100000010,510000002612,
0,,Segment,4,2,Image 1,1,1,100000010,510000002624,
0,,Segment,4,2,Image 1,2,1,100000010,510000002635,
0,,Segment,4,3,Image 1,3,1,100000010,510000002672,
0,,Segment,4,4,Image 1,3,1,100000010,510000002680,
0,,Segment,4,4,Image 1,4,1,100000010,510000002707,
0,,Segment,4,2,Image 1,2,1,100000010,510000002726,
0,,Segment,4,1,Image 1,1,1,100000010,510000002748,
0,,Segment,4,3,Image 1,1,1,100000011,510000002766,
0,,Segment,4,3,Image 1,2,1,100000011,510000002785,
0,,Segment,4,4,Image 1,2,1,100000011,510000002792,
0,,Segment,4,4,Image 1,3,1,100000011,510000002809,
0,,Segment,4,2,Image 1,2,1,100000011,510000002827,
0,,Segment,4,3,Image 1,1,1,100000011,510000002847,
0,,Segment,4,3,Image 1,1,1,100000011,510000002860,
0,,Segment,4,2,Image 1,2,1,100000011,510000002874,
0,,Segment,4,1,Image 1,1,1,100000011,510000002880,
0,,Segment,4,3,Image 1,3,1,100000011,510000002898,
0,,Segment,4,3,Image 1,2,1,100000011,510000002902,
0,,Segment,4,3,Image 1,2,1,100000011,510000002917,
0,,Segment,4,3,Image 1,3,1,100000011,510000002938,
0,,Segment,4,3,Image 1,2,1,100000011,510000002946,
0,,Segment,4,1,Image 1,1,1,100000012,510000002958,
0,,Segment,4,2,Image 1,1,1,100000012,510000002963,
0,,Segment,4,3,Image 1,1,1,100000012,510000002974,
0,,Segment,4,3,Image 1,2,1,100000012,510000003000,
0,,Segment,4,2,Image 1,1,1,100000012,510000003014,
0,,Segment,4,2,Image 1,2,1,100000012,510000003040,
0,,Segment,4,1,Image 1,1,1,100000012,510000003065,
0,,Segment,4,2,Image 1,1,1,100000012,510000003067,
0,,Segment,4,2,Image 1,2,1,100000012,510000003086,
0,,Segment,4,2,Image 1,2,1,100000012,510000003109,
0,,Segment,4,2,Image 1,1,1,100000012,510000003121,
0,,Segment,4,3,Image 1,1,1,100000012,510000003124,
0,,Segment,4,4,Image 1,1,1,100000012,510000003130,
0,,Segment,4,4,Image 1,2,1,100000012,510000003147,
0,,Segment,4,5,Image 1,2,1,100000012,510000003157,
0,,Segment,4,5,Image 1,3,1,100000012,510000003175,
0,,Segment,4,5,Image 1,2,1,100000012,510000003190,
0,,Segment,4,2,Image 1,2,1,100000012,510000003198,
0,,Segment,4,2,Image 1,2,1,100000012,510000003232,
0,,Segment,4,3,Image 1,2,1,100000012,510000003243,
