
Segment Center Intensity Max Ch=1 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
241,,Segment,1,4,Image 1,3,1,100000009,510000002320,
255,,Segment,1,3,Image 1,3,1,100000009,510000002333,
255,,Segment,1,2,Image 1,1,1,100000009,510000002352,
255,,Segment,1,2,Image 1,2,1,100000009,510000002376,
255,,Segment,1,3,Image 1,3,1,100000009,510000002388,
255,,Segment,1,3,Image 1,2,1,100000009,510000002396,
231,,Segment,1,4,Image 1,2,1,100000009,510000002398,
255,,Segment,1,4,Image 1,3,1,100000009,510000002403,
225,,Segment,1,3,Image 1,2,1,100000009,510000002417,
255,,Segment,1,1,Image 1,1,1,100000010,510000002436,
241,,Segment,1,2,Image 1,1,1,100000010,510000002463,
246,,Segment,1,2,Image 1,2,1,100000010,510000002487,
255,,Segment,1,2,Image 1,1,1,100000010,510000002501,
181,,Segment,1,3,Image 1,1,1,100000010,510000002510,
255,,Segment,1,3,Image 1,2,1,100000010,510000002538,
255,,Segment,1,4,Image 1,2,1,100000010,510000002548,
255,,Segment,1,4,Image 1,3,1,100000010,510000002565,
255,,Segment,1,1,Image 1,1,1,100000010,510000002584,
255,,Segment,1,2,Image 1,1,1,100000010,510000002588,
255,,Segment,1,2,Image 1,2,1,100000010,510000002597,
255,,Segment,1,3,Image 1,2,1,100000010,510000002602,
184,,Segment,1,4,Image 1,3,1,100000010,510000002608,
244,,Segment,1,1,Image 1,1,1,100000010,510000002612,
192,,Segment,1,2,Image 1,1,1,100000010,510000002624,
255,,Segment,1,2,Image 1,2,1,100000010,510000002635,
255,,Segment,1,3,Image 1,3,1,100000010,510000002672,
255,,Segment,1,4,Image 1,3,1,100000010,510000002680,
255,,Segment,1,4,Image 1,4,1,100000010,510000002707,
255,,Segment,1,2,Image 1,2,1,100000010,510000002726,
255,,Segment,1,1,Image 1,1,1,100000010,510000002748,
219,,Segment,1,3,Image 1,1,1,100000011,510000002766,
255,,Segment,1,3,Image 1,2,1,100000011,510000002785,
187,,Segment,1,4,Image 1,2,1,100000011,510000002792,
193,,Segment,1,4,Image 1,3,1,100000011,510000002809,
255,,Segment,1,2,Image 1,2,1,100000011,510000002827,
165,,Segment,1,3,Image 1,1,1,100000011,510000002847,
255,,Segment,1,3,Image 1,1,1,100000011,510000002860,
255,,Segment,1,2,Image 1,2,1,100000011,510000002874,
248,,Segment,1,1,Image 1,1,1,100000011,510000002880,
255,,Segment,1,3,Image 1,3,1,100000011,510000002898,
255,,Segment,1,3,Image 1,2,1,100000011,510000002902,
245,,Segment,1,3,Image 1,2,1,100000011,510000002917,
117,,Segment,1,3,Image 1,3,1,100000011,510000002938,
212,,Segment,1,3,Image 1,2,1,100000011,510000002946,
251,,Segment,1,1,Image 1,1,1,100000012,510000002958,
255,,Segment,1,2,Image 1,1,1,100000012,510000002963,
225,,Segment,1,3,Image 1,1,1,100000012,510000002974,
255,,Segment,1,3,Image 1,2,1,100000012,510000003000,
255,,Segment,1,2,Image 1,1,1,100000012,510000003014,
255,,Segment,1,2,Image 1,2,1,100000012,510000003040,
251,,Segment,1,1,Image 1,1,1,100000012,510000003065,
201,,Segment,1,2,Image 1,1,1,100000012,510000003067,
255,,Segment,1,2,Image 1,2,1,100000012,510000003086,
255,,Segment,1,2,Image 1,2,1,100000012,510000003109,
241,,Segment,1,2,Image 1,1,1,100000012,510000003121,
255,,Segment,1,3,Image 1,1,1,100000012,510000003124,
255,,Segment,1,4,Image 1,1,1,100000012,510000003130,
255,,Segment,1,4,Image 1,2,1,100000012,510000003147,
155,,Segment,1,5,Image 1,2,1,100000012,510000003157,
152,,Segment,1,5,Image 1,3,1,100000012,510000003175,
222,,Segment,1,5,Image 1,2,1,100000012,510000003190,
228,,Segment,1,2,Image 1,2,1,100000012,510000003198,
195,,Segment,1,2,Image 1,2,1,100000012,510000003232,
255,,Segment,1,3,Image 1,2,1,100000012,510000003243,
161,,Segment,1,4,Image 1,1,1,100000013,510000003271,
178,,Segment,1,3,Image 1,2,1,100000013,510000003294,
231,,Segment,1,4,Image 1,2,1,100000013,510000003296,
145,,Segment,1,4,Image 1,2,1,100000013,510000003319,
98,,Segment,1,3,Image 1,2,1,100000013,510000003334,
175,,Segment,1,4,Image 1,2,1,100000013,510000003336,
141,,Segment,1,4,Image 1,3,1,100000013,510000003352,
228,,Segment,1,2,Image 1,1,1,100000013,510000003369,
222,,Segment,1,3,Image 1,1,1,100000013,510000003372,
184,,Segment,1,2,Image 1,2,1,100000013,510000003375,
190,,Segment,1,2,Image 1,2,1,100000013,510000003389,
209,,Segment,1,1,Image 1,1,1,100000013,510000003402,
255,,Segment,1,2,Image 1,1,1,100000013,510000003405,
144,,Segment,1,2,Image 1,2,1,100000013,510000003429,
178,,Segment,1,3,Image 1,3,1,100000013,510000003442,
255,,Segment,1,4,Image 1,3,1,100000013,510000003451,
222,,Segment,1,3,Image 1,2,1,100000013,510000003473,
250,,Segment,1,1,Image 1,1,1,100000014,510000003491,
140,,Segment,1,4,Image 1,1,1,100000014,510000003501,
155,,Segment,1,3,Image 1,2,1,100000014,510000003507,
217,,Segment,1,1,Image 1,1,1,100000014,510000003515,
152,,Segment,1,3,Image 1,2,1,100000014,510000003518,
224,,Segment,1,1,Image 1,1,1,100000014,510000003527,
162,,Segment,1,2,Image 1,2,1,100000014,510000003529,
162,,Segment,1,2,Image 1,1,1,100000014,510000003552,
255,,Segment,1,3,Image 1,1,1,100000014,510000003554,
169,,Segment,1,3,Image 1,2,1,100000014,510000003570,
168,,Segment,1,4,Image 1,2,1,100000014,510000003582,
255,,Segment,1,2,Image 1,2,1,100000014,510000003592,
236,,Segment,1,4,Image 1,1,1,100000014,510000003609,
250,,Segment,1,4,Image 1,2,1,100000014,510000003635,
195,,Segment,1,2,Image 1,2,1,100000014,510000003640,
255,,Segment,1,3,Image 1,2,1,100000014,510000003647,
220,,Segment,1,3,Image 1,3,1,100000014,510000003656,
207,,Segment,1,0,Image 1,1,1,100000000,510000003676,
226,,Segment,1,1,Image 1,1,1,100000000,510000003677,
249,,Segment,1,1,Image 1,2,1,100000000,510000003678,
249,,Segment,1,2,Image 1,2,1,100000000,510000003679,
255,,Segment,1,1,Image 1,1,1,100000001,510000003680,
254,,Segment,1,1,Image 1,1,1,100000001,510000003681,
213,,Segment,1,2,Image 1,1,1,100000001,510000003682,
255,,Segment,1,4,Image 1,2,1,100000001,510000003683,
101,,Segment,1,4,Image 1,1,1,100000002,510000003684,
234,,Segment,1,1,Image 1,1,1,100000003,510000003685,
