
Segment Area
 ==================== 
Segment Area,Unit,Category,Depth,Level,Time,FilamentID,ID,
1867.69,µm^2,Segment,2,2,1,100000010,510000001558,
1159.76,µm^2,Segment,2,1,1,100000010,510000001575,
2577.26,µm^2,Segment,2,2,1,100000010,510000001584,
1926.9,µm^2,Segment,2,2,1,100000010,510000001609,
1511.2,µm^2,Segment,1,1,1,100000010,510000001626,
322.399,µm^2,Segment,2,1,1,100000010,510000001636,
1089.11,µm^2,Segment,2,2,1,100000010,510000001640,
323.194,µm^2,Segment,3,2,1,100000010,510000001649,
826.775,µm^2,Segment,3,3,1,100000010,510000001652,
524.822,µm^2,Segment,2,1,1,100000010,510000001659,
1082.67,µm^2,Segment,3,1,1,100000010,510000001662,
1133.31,µm^2,Segment,3,2,1,100000010,510000001672,
2530.43,µm^2,Segment,2,1,1,100000011,510000001682,
1081.07,µm^2,Segment,2,2,1,100000011,510000001692,
4807.23,µm^2,Segment,3,3,1,100000011,510000001695,
657.278,µm^2,Segment,2,1,1,100000011,510000001716,
1807.36,µm^2,Segment,3,2,1,100000011,510000001718,
2042.98,µm^2,Segment,3,1,1,100000011,510000001719,
1792.88,µm^2,Segment,1,1,1,100000011,510000001726,
2588.59,µm^2,Segment,1,1,1,100000000,510000001736,
2286.72,µm^2,Segment,1,1,1,100000000,510000001737,
435.592,µm^2,Segment,1,1,1,100000001,510000001738,
468.502,µm^2,Segment,1,1,1,100000002,510000001739,
115.126,µm^2,Segment,2,1,1,100000002,510000001740,
420.739,µm^2,Segment,1,1,1,100000002,510000001741,
110.931,µm^2,Segment,2,1,1,100000002,510000001742,
73.0601,µm^2,Segment,3,1,1,100000002,510000001743,
220.909,µm^2,Segment,0,1,1,100000003,510000001744,
374.121,µm^2,Segment,1,2,1,100000003,510000001745,
459.513,µm^2,Segment,0,1,1,100000003,510000001746,
1379.04,µm^2,Segment,1,1,1,100000004,510000001747,
1053.8,µm^2,Segment,1,1,1,100000004,510000001748,
350.011,µm^2,Segment,4,3,1,100000004,510000001749,
486.348,µm^2,Segment,1,1,1,100000005,510000001750,
447.431,µm^2,Segment,1,1,1,100000005,510000001751,
412.068,µm^2,Segment,1,1,1,100000005,510000001752,
394.759,µm^2,Segment,1,1,1,100000006,510000001753,
103.314,µm^2,Segment,2,1,1,100000006,510000001754,
405.635,µm^2,Segment,1,1,1,100000007,510000001755,
443.637,µm^2,Segment,1,1,1,100000007,510000001756,
154.236,µm^2,Segment,2,1,1,100000007,510000001757,
285.896,µm^2,Segment,1,1,1,100000009,510000001758,
185.968,µm^2,Segment,2,1,1,100000009,510000001759,
495.218,µm^2,Segment,1,1,1,100000010,510000001760,
560.732,µm^2,Segment,1,1,1,100000010,510000001761,
1057.57,µm^2,Segment,1,1,1,100000011,510000001762,
745.232,µm^2,Segment,3,2,1,100000011,510000001763,
1066.39,µm^2,Segment,1,1,1,100000011,510000001764,
745.094,µm^2,Segment,2,2,1,100000011,510000001765,
