
Segment Length
 ==================== 
Segment Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
10.4613,µm,Segment,1,1,1,100000007,510000001755,
11.589,µm,Segment,1,1,1,100000007,510000001756,
7.09666,µm,Segment,2,1,1,100000007,510000001757,
7.79815,µm,Segment,1,1,1,100000009,510000001758,
11.5215,µm,Segment,2,1,1,100000009,510000001759,
10.0085,µm,Segment,1,1,1,100000010,510000001760,
11.5937,µm,Segment,1,1,1,100000010,510000001761,
16.5804,µm,Segment,1,1,1,100000011,510000001762,
30.4923,µm,Segment,3,2,1,100000011,510000001763,
17.1126,µm,Segment,1,1,1,100000011,510000001764,
24.793,µm,Segment,2,2,1,100000011,510000001765,
