
Segment Position
 ==================== 
Segment Position X,Segment Position Y,Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
112185,9655.74,-6.27027,µm,Segment,Segment Position,3,2,1,100000000,510000000160,
111843,9977.46,16.5363,µm,Segment,Segment Position,3,2,1,100000001,510000000234,
111684,9881.9,17.7561,µm,Segment,Segment Position,3,2,1,100000001,510000000304,
111733,9860.37,12.9894,µm,Segment,Segment Position,3,2,1,100000001,510000000335,
111957,10260.6,10.6476,µm,Segment,Segment Position,3,2,1,100000002,510000000459,
111951,10293.1,16.5223,µm,Segment,Segment Position,3,2,1,100000002,510000000470,
111920,10249,8.8631,µm,Segment,Segment Position,3,2,1,100000002,510000000485,
112659,10227.2,18.7759,µm,Segment,Segment Position,3,2,1,100000003,510000000550,
111915,9820.63,8.15563,µm,Segment,Segment Position,3,2,1,100000004,510000000703,
111782,9624.05,3.64221,µm,Segment,Segment Position,3,2,1,100000004,510000000733,
111761,9670.77,6.68671,µm,Segment,Segment Position,3,2,1,100000004,510000000743,
111808,9653,9.25228,µm,Segment,Segment Position,3,2,1,100000004,510000000784,
112515,9261.66,9.79129,µm,Segment,Segment Position,3,2,1,100000005,510000000897,
112522,9206.1,12.5656,µm,Segment,Segment Position,3,2,1,100000005,510000000942,
112399,9302.47,-2.8897,µm,Segment,Segment Position,3,2,1,100000006,510000001041,
112343,9300.32,14.4716,µm,Segment,Segment Position,3,2,1,100000006,510000001060,
112385,10027.4,18.0504,µm,Segment,Segment Position,3,2,1,100000007,510000001133,
112324,10031.6,10.8668,µm,Segment,Segment Position,3,2,1,100000007,510000001178,
112514,9431.23,11.7017,µm,Segment,Segment Position,3,2,1,100000008,510000001387,
112357,9673.43,14.2565,µm,Segment,Segment Position,3,2,1,100000009,510000001510,
111523,9561.87,-0.268286,µm,Segment,Segment Position,3,2,1,100000010,510000001649,
111518,9438.1,3.9244,µm,Segment,Segment Position,3,2,1,100000010,510000001672,
111805,9299.83,16.8475,µm,Segment,Segment Position,3,2,1,100000011,510000001718,
111886,9372.89,16.1368,µm,Segment,Segment Position,3,2,1,100000011,510000001763,
112107,9552.34,-1.59293,µm,Segment,Segment Position,3,3,1,100000000,510000000060,
111736,9898.13,-1.3333,µm,Segment,Segment Position,3,3,1,100000001,510000000360,
111945,10268.4,11.2252,µm,Segment,Segment Position,3,3,1,100000002,510000000481,
112670,10215.1,18.9241,µm,Segment,Segment Position,3,3,1,100000003,510000000585,
111729,9682.49,3.87071,µm,Segment,Segment Position,3,3,1,100000004,510000000756,
111537,9561.17,-0.301447,µm,Segment,Segment Position,3,3,1,100000010,510000001652,
111957,9425.55,18.1945,µm,Segment,Segment Position,3,3,1,100000011,510000001695,
111929,10247.4,11.7926,µm,Segment,Segment Position,4,1,1,100000002,510000000449,
111834,9614.23,6.92951,µm,Segment,Segment Position,4,1,1,100000004,510000000727,
112429,10028.3,13.1471,µm,Segment,Segment Position,4,1,1,100000007,510000001107,
111920,10206,8.15744,µm,Segment,Segment Position,4,2,1,100000002,510000000430,
112640,10221.4,16.249,µm,Segment,Segment Position,4,2,1,100000003,510000000555,
111837,9622.45,6.67289,µm,Segment,Segment Position,4,2,1,100000004,510000000730,
111736,9657.9,1.48205,µm,Segment,Segment Position,4,2,1,100000004,510000000745,
112512,9210.01,-8.79136,µm,Segment,Segment Position,4,2,1,100000005,510000000947,
112385,9992.09,15.6476,µm,Segment,Segment Position,4,2,1,100000007,510000001136,
112273,10007.5,0.688686,µm,Segment,Segment Position,4,2,1,100000007,510000001191,
112421,10047.6,18.1254,µm,Segment,Segment Position,4,2,1,100000007,510000001294,
112471,9449.97,18.5298,µm,Segment,Segment Position,4,2,1,100000008,510000001391,
112620,10211.9,18.0802,µm,Segment,Segment Position,4,3,1,100000003,510000000575,
112686,10151.9,16.2079,µm,Segment,Segment Position,4,3,1,100000003,510000000591,
112541,9207.25,-7.12775,µm,Segment,Segment Position,4,3,1,100000005,510000000964,
112372,10002.6,18.8468,µm,Segment,Segment Position,4,3,1,100000007,510000001147,
112269,10018.9,8.7566,µm,Segment,Segment Position,4,3,1,100000007,510000001202,
112526,9478.77,17.6341,µm,Segment,Segment Position,4,3,1,100000008,510000001408,
111751,9665.95,4.13389,µm,Segment,Segment Position,4,3,1,100000004,510000001749,
112692,10170.7,13.8393,µm,Segment,Segment Position,4,4,1,100000003,510000000611,
111945,10240.7,14.9981,µm,Segment,Segment Position,5,1,1,100000002,510000000451,
112459,10002.4,11.0196,µm,Segment,Segment Position,5,1,1,100000007,510000001119,
111948,10225.1,16.4603,µm,Segment,Segment Position,5,2,1,100000002,510000000490,
112615,10210.8,-0.33073,µm,Segment,Segment Position,5,2,1,100000003,510000000558,
112447,9989.8,4.81371,µm,Segment,Segment Position,5,2,1,100000007,510000001123,
112597,10251,15.2252,µm,Segment,Segment Position,5,3,1,100000003,510000000650,
