
Segment Orientation Angle
 ==================== 
Segment Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
79.7406,°,Segment,1,1,1,100000005,510000001752,
160.375,°,Segment,1,1,1,100000006,510000001753,
164.038,°,Segment,2,1,1,100000006,510000001754,
-44.5649,°,Segment,1,1,1,100000007,510000001755,
-154.078,°,Segment,1,1,1,100000007,510000001756,
-144.626,°,Segment,2,1,1,100000007,510000001757,
10.9097,°,Segment,1,1,1,100000009,510000001758,
143.082,°,Segment,2,1,1,100000009,510000001759,
-162.667,°,Segment,1,1,1,100000010,510000001760,
41.8513,°,Segment,1,1,1,100000010,510000001761,
-8.16386,°,Segment,1,1,1,100000011,510000001762,
93.5121,°,Segment,3,2,1,100000011,510000001763,
-113.147,°,Segment,1,1,1,100000011,510000001764,
174.668,°,Segment,2,2,1,100000011,510000001765,
