
Pt Distance from Origin
 ==================== 
Pt Distance from Origin,Unit,Category,Collection,Depth,Time,Type,FilamentID,ID,
112870,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000006,800000121,
112800,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000006,800000122,
112792,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000006,800000123,
112763,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000006,800000124,
112658,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000006,800000125,
112854,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000006,800000126,
112814,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000007,800000127,
112914,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000007,800000128,
112899,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000007,800000129,
112889,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000007,800000130,
112833,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000007,800000131,
112830,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000007,800000132,
112829,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000007,800000133,
112805,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000007,800000134,
112780,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000007,800000135,
112797,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000007,800000136,
112695,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000007,800000137,
112735,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000007,800000138,
112689,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000007,800000139,
112803,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000007,800000140,
112671,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000007,800000141,
112898,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000007,800000142,
112829,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000007,800000143,
112885,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000007,800000144,
112820,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000007,800000145,
112857,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000007,800000146,
112853,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000007,800000147,
112888,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000007,800000148,
112946,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000008,800000149,
113031,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000008,800000150,
113006,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000008,800000151,
112891,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000008,800000152,
112937,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000008,800000153,
112893,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000008,800000154,
112907,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000008,800000155,
112819,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000008,800000156,
112905,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000008,800000157,
112949,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000008,800000158,
112939,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000008,800000159,
112934,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000008,800000160,
112797,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000009,800000161,
112840,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000009,800000162,
112805,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000009,800000163,
112902,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000009,800000164,
112874,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000009,800000165,
112781,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000009,800000166,
