
Segment Position Z
 ==================== 
Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
3.9244,µm,Segment,Segment Position,3,2,1,100000010,510000001672,
15.8088,µm,Segment,Segment Position,2,1,1,100000011,510000001682,
14.4902,µm,Segment,Segment Position,2,2,1,100000011,510000001692,
18.1945,µm,Segment,Segment Position,3,3,1,100000011,510000001695,
14.0461,µm,Segment,Segment Position,2,1,1,100000011,510000001716,
16.8475,µm,Segment,Segment Position,3,2,1,100000011,510000001718,
16.9976,µm,Segment,Segment Position,3,1,1,100000011,510000001719,
11.8087,µm,Segment,Segment Position,1,1,1,100000011,510000001726,
21,µm,Segment,Segment Position,1,1,1,100000000,510000001736,
21,µm,Segment,Segment Position,1,1,1,100000000,510000001737,
21,µm,Segment,Segment Position,1,1,1,100000001,510000001738,
11,µm,Segment,Segment Position,1,1,1,100000002,510000001739,
11.634,µm,Segment,Segment Position,2,1,1,100000002,510000001740,
11,µm,Segment,Segment Position,1,1,1,100000002,510000001741,
11.0355,µm,Segment,Segment Position,2,1,1,100000002,510000001742,
11.0479,µm,Segment,Segment Position,3,1,1,100000002,510000001743,
21,µm,Segment,Segment Position,0,1,1,100000003,510000001744,
18.0201,µm,Segment,Segment Position,1,2,1,100000003,510000001745,
21,µm,Segment,Segment Position,0,1,1,100000003,510000001746,
3,µm,Segment,Segment Position,1,1,1,100000004,510000001747,
3,µm,Segment,Segment Position,1,1,1,100000004,510000001748,
4.13389,µm,Segment,Segment Position,4,3,1,100000004,510000001749,
21,µm,Segment,Segment Position,1,1,1,100000005,510000001750,
21,µm,Segment,Segment Position,1,1,1,100000005,510000001751,
21,µm,Segment,Segment Position,1,1,1,100000005,510000001752,
21,µm,Segment,Segment Position,1,1,1,100000006,510000001753,
17.2828,µm,Segment,Segment Position,2,1,1,100000006,510000001754,
21,µm,Segment,Segment Position,1,1,1,100000007,510000001755,
21,µm,Segment,Segment Position,1,1,1,100000007,510000001756,
18.7168,µm,Segment,Segment Position,2,1,1,100000007,510000001757,
17,µm,Segment,Segment Position,1,1,1,100000009,510000001758,
15.9212,µm,Segment,Segment Position,2,1,1,100000009,510000001759,
-1,µm,Segment,Segment Position,1,1,1,100000010,510000001760,
-1,µm,Segment,Segment Position,1,1,1,100000010,510000001761,
11,µm,Segment,Segment Position,1,1,1,100000011,510000001762,
16.1368,µm,Segment,Segment Position,3,2,1,100000011,510000001763,
11,µm,Segment,Segment Position,1,1,1,100000011,510000001764,
13.6043,µm,Segment,Segment Position,2,2,1,100000011,510000001765,
