
Segment Branch Level
 ==================== 
Segment Branch Level,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Segment,1,1,1,100000010,510000002342,
1,,Segment,2,1,1,100000010,510000002358,
1,,Segment,3,1,1,100000010,510000002363,
2,,Segment,3,2,1,100000010,510000002365,
2,,Segment,1,2,1,100000010,510000002368,
2,,Segment,3,2,1,100000010,510000002382,
2,,Segment,1,2,1,100000010,510000002396,
2,,Segment,2,2,1,100000010,510000002399,
3,,Segment,2,3,1,100000010,510000002407,
3,,Segment,3,3,1,100000010,510000002412,
3,,Segment,4,3,1,100000010,510000002417,
4,,Segment,4,4,1,100000010,510000002428,
2,,Segment,1,2,1,100000010,510000002431,
2,,Segment,2,2,1,100000010,510000002441,
2,,Segment,3,2,1,100000010,510000002444,
2,,Segment,4,2,1,100000010,510000002447,
3,,Segment,4,3,1,100000010,510000002454,
3,,Segment,5,3,1,100000010,510000002456,
4,,Segment,5,4,1,100000010,510000002459,
3,,Segment,3,3,1,100000010,510000002461,
3,,Segment,2,3,1,100000010,510000002466,
2,,Segment,2,2,1,100000010,510000002479,
4,,Segment,3,4,1,100000010,510000002488,
1,,Segment,2,1,1,100000011,510000002505,
1,,Segment,3,1,1,100000011,510000002515,
2,,Segment,2,2,1,100000011,510000002528,
3,,Segment,2,3,1,100000011,510000002550,
2,,Segment,4,2,1,100000011,510000002565,
3,,Segment,4,3,1,100000011,510000002578,
3,,Segment,3,3,1,100000011,510000002584,
3,,Segment,2,3,1,100000011,510000002606,
1,,Segment,1,1,1,100000011,510000002630,
2,,Segment,1,2,1,100000011,510000002643,
2,,Segment,3,2,1,100000011,510000002661,
3,,Segment,3,3,1,100000011,510000002664,
2,,Segment,3,2,1,100000011,510000002675,
1,,Segment,2,1,1,100000012,510000002702,
1,,Segment,3,1,1,100000012,510000002709,
1,,Segment,4,1,1,100000012,510000002731,
2,,Segment,4,2,1,100000012,510000002740,
2,,Segment,2,2,1,100000012,510000002746,
2,,Segment,3,2,1,100000012,510000002752,
2,,Segment,4,2,1,100000012,510000002760,
2,,Segment,5,2,1,100000012,510000002776,
3,,Segment,5,3,1,100000012,510000002784,
3,,Segment,4,3,1,100000012,510000002791,
1,,Segment,1,1,1,100000012,510000002813,
1,,Segment,2,1,1,100000012,510000002820,
2,,Segment,2,2,1,100000012,510000002832,
2,,Segment,3,2,1,100000012,510000002836,
1,,Segment,2,1,1,100000012,510000002867,
1,,Segment,3,1,1,100000012,510000002869,
2,,Segment,3,2,1,100000012,510000002897,
