
Segment Center Intensity Median Ch=1 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
99.125,,Segment,1,4,Image 1,3,1,100000010,510000002331,
167.125,,Segment,1,1,Image 1,1,1,100000010,510000002342,
159.062,,Segment,1,2,Image 1,1,1,100000010,510000002358,
212.062,,Segment,1,3,Image 1,1,1,100000010,510000002363,
111.562,,Segment,1,3,Image 1,2,1,100000010,510000002365,
115.062,,Segment,1,1,Image 1,2,1,100000010,510000002368,
164.625,,Segment,1,3,Image 1,2,1,100000010,510000002382,
159.016,,Segment,1,1,Image 1,2,1,100000010,510000002396,
98.0312,,Segment,1,2,Image 1,2,1,100000010,510000002399,
174.031,,Segment,1,2,Image 1,3,1,100000010,510000002407,
161.062,,Segment,1,3,Image 1,3,1,100000010,510000002412,
119.125,,Segment,1,4,Image 1,3,1,100000010,510000002417,
222.625,,Segment,1,4,Image 1,4,1,100000010,510000002428,
198.031,,Segment,1,1,Image 1,2,1,100000010,510000002431,
170.031,,Segment,1,2,Image 1,2,1,100000010,510000002441,
161.516,,Segment,1,3,Image 1,2,1,100000010,510000002444,
175.625,,Segment,1,4,Image 1,2,1,100000010,510000002447,
164.016,,Segment,1,4,Image 1,3,1,100000010,510000002454,
184.562,,Segment,1,5,Image 1,3,1,100000010,510000002456,
252.062,,Segment,1,5,Image 1,4,1,100000010,510000002459,
179.125,,Segment,1,3,Image 1,3,1,100000010,510000002461,
135.625,,Segment,1,2,Image 1,3,1,100000010,510000002466,
135.125,,Segment,1,2,Image 1,2,1,100000010,510000002479,
92.125,,Segment,1,3,Image 1,4,1,100000010,510000002488,
231.031,,Segment,1,2,Image 1,1,1,100000011,510000002505,
138.125,,Segment,1,3,Image 1,1,1,100000011,510000002515,
204.125,,Segment,1,2,Image 1,2,1,100000011,510000002528,
255,,Segment,1,2,Image 1,3,1,100000011,510000002550,
155.125,,Segment,1,4,Image 1,2,1,100000011,510000002565,
156.125,,Segment,1,4,Image 1,3,1,100000011,510000002578,
203.625,,Segment,1,3,Image 1,3,1,100000011,510000002584,
