
Segment Center Intensity Mean Ch=3 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
125,,Segment,3,2,Image 1,2,1,100000007,510000001847,
146.467,,Segment,3,3,Image 1,2,1,100000007,510000001850,
141.85,,Segment,3,2,Image 1,1,1,100000007,510000001866,
130.75,,Segment,3,1,Image 1,1,1,100000007,510000001885,
167.333,,Segment,3,2,Image 1,1,1,100000007,510000001892,
165.5,,Segment,3,2,Image 1,2,1,100000007,510000001903,
133.111,,Segment,3,2,Image 1,2,1,100000007,510000001915,
145,,Segment,3,1,Image 1,1,1,100000007,510000001923,
150.789,,Segment,3,1,Image 1,1,1,100000007,510000001931,
131,,Segment,3,3,Image 1,3,1,100000007,510000001949,
155.786,,Segment,3,3,Image 1,2,1,100000007,510000001953,
170.5,,Segment,3,0,Image 1,1,1,100000008,510000001968,
86,,Segment,3,2,Image 1,1,1,100000008,510000001975,
116.5,,Segment,3,3,Image 1,1,1,100000008,510000001977,
173.611,,Segment,3,4,Image 1,1,1,100000008,510000001980,
137.889,,Segment,3,1,Image 1,2,1,100000008,510000001997,
177.056,,Segment,3,4,Image 1,2,1,100000008,510000002005,
142.667,,Segment,3,2,Image 1,2,1,100000008,510000002022,
93,,Segment,3,1,Image 1,2,1,100000008,510000002027,
149.833,,Segment,3,2,Image 1,2,1,100000008,510000002031,
111.2,,Segment,3,2,Image 1,2,1,100000008,510000002036,
153.5,,Segment,3,3,Image 1,2,1,100000008,510000002040,
179.25,,Segment,3,3,Image 1,3,1,100000008,510000002045,
166.238,,Segment,3,3,Image 1,2,1,100000008,510000002056,
163.333,,Segment,3,2,Image 1,2,1,100000008,510000002076,
155.125,,Segment,3,2,Image 1,3,1,100000008,510000002093,
147.3,,Segment,3,1,Image 1,2,1,100000009,510000002102,
184.125,,Segment,3,1,Image 1,2,1,100000009,510000002111,
76,,Segment,3,1,Image 1,1,1,100000009,510000002126,
173.667,,Segment,3,3,Image 1,1,1,100000009,510000002129,
160.8,,Segment,3,3,Image 1,2,1,100000009,510000002143,
142,,Segment,3,2,Image 1,2,1,100000009,510000002148,
173.4,,Segment,3,3,Image 1,2,1,100000009,510000002151,
182.2,,Segment,3,2,Image 1,2,1,100000009,510000002156,
185.571,,Segment,3,3,Image 1,3,1,100000009,510000002165,
175.167,,Segment,3,1,Image 1,2,1,100000009,510000002171,
169,,Segment,3,2,Image 1,2,1,100000009,510000002176,
177.308,,Segment,3,2,Image 1,3,1,100000009,510000002180,
112,,Segment,3,1,Image 1,1,1,100000010,510000002194,
126,,Segment,3,2,Image 1,1,1,100000010,510000002196,
178.765,,Segment,3,3,Image 1,1,1,100000010,510000002202,
123.778,,Segment,3,2,Image 1,2,1,100000010,510000002218,
147.524,,Segment,3,3,Image 1,2,1,100000010,510000002226,
106.667,,Segment,3,1,Image 1,2,1,100000010,510000002246,
155.75,,Segment,3,2,Image 1,3,1,100000010,510000002248,
175.562,,Segment,3,3,Image 1,3,1,100000010,510000002263,
97.75,,Segment,3,2,Image 1,2,1,100000010,510000002278,
135.7,,Segment,3,3,Image 1,2,1,100000010,510000002281,
178.077,,Segment,3,4,Image 1,2,1,100000010,510000002290,
142.033,,Segment,3,3,Image 1,3,1,100000010,510000002302,
179.727,,Segment,3,4,Image 1,3,1,100000010,510000002331,
123.882,,Segment,3,1,Image 1,1,1,100000010,510000002342,
157.833,,Segment,3,2,Image 1,1,1,100000010,510000002358,
156.333,,Segment,3,3,Image 1,1,1,100000010,510000002363,
183.25,,Segment,3,3,Image 1,2,1,100000010,510000002365,
165.467,,Segment,3,1,Image 1,2,1,100000010,510000002368,
149.429,,Segment,3,3,Image 1,2,1,100000010,510000002382,
120.75,,Segment,3,1,Image 1,2,1,100000010,510000002396,
170.778,,Segment,3,2,Image 1,2,1,100000010,510000002399,
118.333,,Segment,3,2,Image 1,3,1,100000010,510000002407,
129.167,,Segment,3,3,Image 1,3,1,100000010,510000002412,
153.25,,Segment,3,4,Image 1,3,1,100000010,510000002417,
115.75,,Segment,3,4,Image 1,4,1,100000010,510000002428,
95.4545,,Segment,3,1,Image 1,2,1,100000010,510000002431,
135.75,,Segment,3,2,Image 1,2,1,100000010,510000002441,
141.75,,Segment,3,3,Image 1,2,1,100000010,510000002444,
130.875,,Segment,3,4,Image 1,2,1,100000010,510000002447,
136.667,,Segment,3,4,Image 1,3,1,100000010,510000002454,
145.25,,Segment,3,5,Image 1,3,1,100000010,510000002456,
87.6667,,Segment,3,5,Image 1,4,1,100000010,510000002459,
150.167,,Segment,3,3,Image 1,3,1,100000010,510000002461,
155,,Segment,3,2,Image 1,3,1,100000010,510000002466,
161,,Segment,3,2,Image 1,2,1,100000010,510000002479,
170.733,,Segment,3,3,Image 1,4,1,100000010,510000002488,
102.818,,Segment,3,2,Image 1,1,1,100000011,510000002505,
157.154,,Segment,3,3,Image 1,1,1,100000011,510000002515,
133.182,,Segment,3,2,Image 1,2,1,100000011,510000002528,
89.7692,,Segment,3,2,Image 1,3,1,100000011,510000002550,
156.5,,Segment,3,4,Image 1,2,1,100000011,510000002565,
145.429,,Segment,3,4,Image 1,3,1,100000011,510000002578,
103.909,,Segment,3,3,Image 1,3,1,100000011,510000002584,
138.125,,Segment,3,2,Image 1,3,1,100000011,510000002606,
143.429,,Segment,3,1,Image 1,1,1,100000011,510000002630,
151.944,,Segment,3,1,Image 1,2,1,100000011,510000002643,
