
Pt Distance from Origin
 ==================== 
Pt Distance from Origin,Unit,Category,Collection,Depth,Time,Type,FilamentID,ID,
110219,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000004,800000167,
110205,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000004,800000168,
110578,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000005,800000169,
110685,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000005,800000170,
110600,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000005,800000171,
110495,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000005,800000172,
110519,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000005,800000173,
110527,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000005,800000174,
110651,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000005,800000175,
110584,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000005,800000176,
110683,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000005,800000177,
110594,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000005,800000178,
110668,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000005,800000179,
110587,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000005,800000180,
110704,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000005,800000181,
110566,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000005,800000182,
110503,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000005,800000183,
110518,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000005,800000184,
110435,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000005,800000185,
109594,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000006,800000186,
109664,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000006,800000187,
109597,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000006,800000188,
109680,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000006,800000189,
