
Segment Center Intensity Min Ch=2 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
67,,Segment,2,3,Image 1,2,1,100000012,510000002752,
64,,Segment,2,4,Image 1,2,1,100000012,510000002760,
87,,Segment,2,5,Image 1,2,1,100000012,510000002776,
87,,Segment,2,5,Image 1,3,1,100000012,510000002784,
41,,Segment,2,4,Image 1,3,1,100000012,510000002791,
47,,Segment,2,1,Image 1,1,1,100000012,510000002813,
11,,Segment,2,2,Image 1,1,1,100000012,510000002820,
20,,Segment,2,2,Image 1,2,1,100000012,510000002832,
0,,Segment,2,3,Image 1,2,1,100000012,510000002836,
71,,Segment,2,2,Image 1,1,1,100000012,510000002867,
95,,Segment,2,3,Image 1,1,1,100000012,510000002869,
86,,Segment,2,3,Image 1,2,1,100000012,510000002897,
68,,Segment,2,2,Image 1,2,1,100000012,510000002921,
95,,Segment,2,3,Image 1,2,1,100000012,510000002930,
121,,Segment,2,3,Image 1,3,1,100000012,510000002947,
31,,Segment,2,2,Image 1,2,1,100000012,510000002966,
67,,Segment,2,3,Image 1,3,1,100000012,510000002982,
117,,Segment,2,4,Image 1,3,1,100000012,510000002984,
59,,Segment,2,4,Image 1,4,1,100000012,510000002999,
90,,Segment,2,3,Image 1,2,1,100000012,510000003014,
20,,Segment,2,3,Image 1,3,1,100000012,510000003020,
78,,Segment,2,3,Image 1,1,1,100000013,510000003039,
74,,Segment,2,3,Image 1,2,1,100000013,510000003056,
154,,Segment,2,4,Image 1,2,1,100000013,510000003061,
163,,Segment,2,4,Image 1,3,1,100000013,510000003074,
15,,Segment,2,3,Image 1,2,1,100000013,510000003081,
58,,Segment,2,4,Image 1,2,1,100000013,510000003083,
58,,Segment,2,4,Image 1,3,1,100000013,510000003090,
151,,Segment,2,5,Image 1,3,1,100000013,510000003093,
110,,Segment,2,5,Image 1,4,1,100000013,510000003106,
91,,Segment,2,4,Image 1,3,1,100000013,510000003111,
145,,Segment,2,4,Image 1,4,1,100000013,510000003122,
128,,Segment,2,1,Image 1,1,1,100000013,510000003143,
100,,Segment,2,1,Image 1,1,1,100000013,510000003156,
85,,Segment,2,2,Image 1,1,1,100000013,510000003160,
141,,Segment,2,2,Image 1,2,1,100000013,510000003185,
101,,Segment,2,3,Image 1,2,1,100000013,510000003188,
79,,Segment,2,4,Image 1,2,1,100000013,510000003191,
104,,Segment,2,4,Image 1,3,1,100000013,510000003206,
61,,Segment,2,1,Image 1,1,1,100000013,510000003211,
40,,Segment,2,4,Image 1,1,1,100000013,510000003215,
84,,Segment,2,4,Image 1,2,1,100000013,510000003235,
112,,Segment,2,3,Image 1,2,1,100000013,510000003244,
85,,Segment,2,2,Image 1,2,1,100000013,510000003251,
93,,Segment,2,3,Image 1,2,1,100000013,510000003253,
72,,Segment,2,3,Image 1,3,1,100000013,510000003269,
113,,Segment,2,3,Image 1,3,1,100000013,510000003292,
100,,Segment,2,2,Image 1,1,1,100000000,510000003309,
25,,Segment,2,1,Image 1,1,1,100000000,510000003310,
42,,Segment,2,2,Image 1,1,1,100000000,510000003311,
28,,Segment,2,1,Image 1,1,1,100000001,510000003312,
110,,Segment,2,2,Image 1,1,1,100000001,510000003313,
32,,Segment,2,1,Image 1,1,1,100000002,510000003314,
32,,Segment,2,1,Image 1,1,1,100000002,510000003315,
184,,Segment,2,2,Image 1,1,1,100000002,510000003316,
70,,Segment,2,0,Image 1,1,1,100000003,510000003317,
70,,Segment,2,1,Image 1,1,1,100000003,510000003318,
27,,Segment,2,1,Image 1,2,1,100000003,510000003319,
27,,Segment,2,2,Image 1,2,1,100000003,510000003320,
12,,Segment,2,6,Image 1,4,1,100000003,510000003321,
25,,Segment,2,7,Image 1,4,1,100000003,510000003322,
25,,Segment,2,7,Image 1,5,1,100000003,510000003323,
119,,Segment,2,4,Image 1,5,1,100000003,510000003324,
45,,Segment,2,0,Image 1,1,1,100000004,510000003325,
45,,Segment,2,1,Image 1,2,1,100000004,510000003326,
133,,Segment,2,0,Image 1,1,1,100000004,510000003327,
16,,Segment,2,1,Image 1,1,1,100000005,510000003328,
104,,Segment,2,1,Image 1,1,1,100000006,510000003329,
88,,Segment,2,2,Image 1,2,1,100000006,510000003330,
85,,Segment,2,1,Image 1,1,1,100000006,510000003331,
44,,Segment,2,1,Image 1,1,1,100000007,510000003332,
44,,Segment,2,1,Image 1,1,1,100000007,510000003333,
40,,Segment,2,0,Image 1,1,1,100000008,510000003334,
40,,Segment,2,1,Image 1,1,1,100000008,510000003335,
110,,Segment,2,0,Image 1,1,1,100000009,510000003336,
87,,Segment,2,2,Image 1,1,1,100000009,510000003337,
92,,Segment,2,0,Image 1,1,1,100000010,510000003338,
92,,Segment,2,0,Image 1,1,1,100000010,510000003339,
24,,Segment,2,0,Image 1,1,1,100000011,510000003340,
24,,Segment,2,1,Image 1,1,1,100000011,510000003341,
24,,Segment,2,1,Image 1,2,1,100000011,510000003342,
25,,Segment,2,2,Image 1,2,1,100000011,510000003343,
75,,Segment,2,3,Image 1,2,1,100000011,510000003344,
24,,Segment,2,1,Image 1,2,1,100000011,510000003345,
36,,Segment,2,2,Image 1,2,1,100000011,510000003346,
63,,Segment,2,0,Image 1,1,1,100000011,510000003347,
62,,Segment,2,1,Image 1,1,1,100000012,510000003348,
62,,Segment,2,1,Image 1,1,1,100000012,510000003349,
34,,Segment,2,1,Image 1,1,1,100000013,510000003350,
34,,Segment,2,2,Image 1,1,1,100000013,510000003351,
34,,Segment,2,2,Image 1,2,1,100000013,510000003352,
57,,Segment,2,3,Image 1,3,1,100000013,510000003353,
125,,Segment,2,2,Image 1,1,1,100000013,510000003354,
147,,Segment,2,3,Image 1,1,1,100000013,510000003355,
