
Segment Intensity Max Ch=1 Img=1
 ==================== 
Segment Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
255,,Segment,1,1,Image 1,1,1,100000010,510000002342,
255,,Segment,1,2,Image 1,1,1,100000010,510000002358,
255,,Segment,1,3,Image 1,1,1,100000010,510000002363,
255,,Segment,1,3,Image 1,2,1,100000010,510000002365,
195,,Segment,1,1,Image 1,2,1,100000010,510000002368,
255,,Segment,1,3,Image 1,2,1,100000010,510000002382,
200,,Segment,1,1,Image 1,2,1,100000010,510000002396,
166,,Segment,1,2,Image 1,2,1,100000010,510000002399,
194,,Segment,1,2,Image 1,3,1,100000010,510000002407,
219,,Segment,1,3,Image 1,3,1,100000010,510000002412,
255,,Segment,1,4,Image 1,3,1,100000010,510000002417,
255,,Segment,1,4,Image 1,4,1,100000010,510000002428,
239,,Segment,1,1,Image 1,2,1,100000010,510000002431,
255,,Segment,1,2,Image 1,2,1,100000010,510000002441,
189,,Segment,1,3,Image 1,2,1,100000010,510000002444,
255,,Segment,1,4,Image 1,2,1,100000010,510000002447,
240,,Segment,1,4,Image 1,3,1,100000010,510000002454,
255,,Segment,1,5,Image 1,3,1,100000010,510000002456,
255,,Segment,1,5,Image 1,4,1,100000010,510000002459,
255,,Segment,1,3,Image 1,3,1,100000010,510000002461,
255,,Segment,1,2,Image 1,3,1,100000010,510000002466,
255,,Segment,1,2,Image 1,2,1,100000010,510000002479,
255,,Segment,1,3,Image 1,4,1,100000010,510000002488,
255,,Segment,1,2,Image 1,1,1,100000011,510000002505,
255,,Segment,1,3,Image 1,1,1,100000011,510000002515,
255,,Segment,1,2,Image 1,2,1,100000011,510000002528,
255,,Segment,1,2,Image 1,3,1,100000011,510000002550,
255,,Segment,1,4,Image 1,2,1,100000011,510000002565,
255,,Segment,1,4,Image 1,3,1,100000011,510000002578,
255,,Segment,1,3,Image 1,3,1,100000011,510000002584,
255,,Segment,1,2,Image 1,3,1,100000011,510000002606,
255,,Segment,1,1,Image 1,1,1,100000011,510000002630,
255,,Segment,1,1,Image 1,2,1,100000011,510000002643,
255,,Segment,1,3,Image 1,2,1,100000011,510000002661,
255,,Segment,1,3,Image 1,3,1,100000011,510000002664,
255,,Segment,1,3,Image 1,2,1,100000011,510000002675,
255,,Segment,1,2,Image 1,1,1,100000012,510000002702,
255,,Segment,1,3,Image 1,1,1,100000012,510000002709,
116,,Segment,1,4,Image 1,1,1,100000012,510000002731,
120,,Segment,1,4,Image 1,2,1,100000012,510000002740,
255,,Segment,1,2,Image 1,2,1,100000012,510000002746,
255,,Segment,1,3,Image 1,2,1,100000012,510000002752,
255,,Segment,1,4,Image 1,2,1,100000012,510000002760,
255,,Segment,1,5,Image 1,2,1,100000012,510000002776,
255,,Segment,1,5,Image 1,3,1,100000012,510000002784,
255,,Segment,1,4,Image 1,3,1,100000012,510000002791,
255,,Segment,1,1,Image 1,1,1,100000012,510000002813,
255,,Segment,1,2,Image 1,1,1,100000012,510000002820,
255,,Segment,1,2,Image 1,2,1,100000012,510000002832,
255,,Segment,1,3,Image 1,2,1,100000012,510000002836,
255,,Segment,1,2,Image 1,1,1,100000012,510000002867,
255,,Segment,1,3,Image 1,1,1,100000012,510000002869,
255,,Segment,1,3,Image 1,2,1,100000012,510000002897,
255,,Segment,1,2,Image 1,2,1,100000012,510000002921,
255,,Segment,1,3,Image 1,2,1,100000012,510000002930,
255,,Segment,1,3,Image 1,3,1,100000012,510000002947,
255,,Segment,1,2,Image 1,2,1,100000012,510000002966,
255,,Segment,1,3,Image 1,3,1,100000012,510000002982,
255,,Segment,1,4,Image 1,3,1,100000012,510000002984,
255,,Segment,1,4,Image 1,4,1,100000012,510000002999,
255,,Segment,1,3,Image 1,2,1,100000012,510000003014,
255,,Segment,1,3,Image 1,3,1,100000012,510000003020,
255,,Segment,1,3,Image 1,1,1,100000013,510000003039,
255,,Segment,1,3,Image 1,2,1,100000013,510000003056,
255,,Segment,1,4,Image 1,2,1,100000013,510000003061,
255,,Segment,1,4,Image 1,3,1,100000013,510000003074,
255,,Segment,1,3,Image 1,2,1,100000013,510000003081,
255,,Segment,1,4,Image 1,2,1,100000013,510000003083,
255,,Segment,1,4,Image 1,3,1,100000013,510000003090,
246,,Segment,1,5,Image 1,3,1,100000013,510000003093,
255,,Segment,1,5,Image 1,4,1,100000013,510000003106,
255,,Segment,1,4,Image 1,3,1,100000013,510000003111,
255,,Segment,1,4,Image 1,4,1,100000013,510000003122,
255,,Segment,1,1,Image 1,1,1,100000013,510000003143,
255,,Segment,1,1,Image 1,1,1,100000013,510000003156,
255,,Segment,1,2,Image 1,1,1,100000013,510000003160,
255,,Segment,1,2,Image 1,2,1,100000013,510000003185,
255,,Segment,1,3,Image 1,2,1,100000013,510000003188,
255,,Segment,1,4,Image 1,2,1,100000013,510000003191,
255,,Segment,1,4,Image 1,3,1,100000013,510000003206,
255,,Segment,1,1,Image 1,1,1,100000013,510000003211,
255,,Segment,1,4,Image 1,1,1,100000013,510000003215,
255,,Segment,1,4,Image 1,2,1,100000013,510000003235,
255,,Segment,1,3,Image 1,2,1,100000013,510000003244,
255,,Segment,1,2,Image 1,2,1,100000013,510000003251,
224,,Segment,1,3,Image 1,2,1,100000013,510000003253,
255,,Segment,1,3,Image 1,3,1,100000013,510000003269,
255,,Segment,1,3,Image 1,3,1,100000013,510000003292,
255,,Segment,1,2,Image 1,1,1,100000000,510000003309,
255,,Segment,1,1,Image 1,1,1,100000000,510000003310,
255,,Segment,1,2,Image 1,1,1,100000000,510000003311,
255,,Segment,1,1,Image 1,1,1,100000001,510000003312,
255,,Segment,1,2,Image 1,1,1,100000001,510000003313,
255,,Segment,1,1,Image 1,1,1,100000002,510000003314,
255,,Segment,1,1,Image 1,1,1,100000002,510000003315,
255,,Segment,1,2,Image 1,1,1,100000002,510000003316,
255,,Segment,1,0,Image 1,1,1,100000003,510000003317,
255,,Segment,1,1,Image 1,1,1,100000003,510000003318,
255,,Segment,1,1,Image 1,2,1,100000003,510000003319,
255,,Segment,1,2,Image 1,2,1,100000003,510000003320,
255,,Segment,1,6,Image 1,4,1,100000003,510000003321,
255,,Segment,1,7,Image 1,4,1,100000003,510000003322,
255,,Segment,1,7,Image 1,5,1,100000003,510000003323,
255,,Segment,1,4,Image 1,5,1,100000003,510000003324,
255,,Segment,1,0,Image 1,1,1,100000004,510000003325,
255,,Segment,1,1,Image 1,2,1,100000004,510000003326,
255,,Segment,1,0,Image 1,1,1,100000004,510000003327,
255,,Segment,1,1,Image 1,1,1,100000005,510000003328,
255,,Segment,1,1,Image 1,1,1,100000006,510000003329,
255,,Segment,1,2,Image 1,2,1,100000006,510000003330,
255,,Segment,1,1,Image 1,1,1,100000006,510000003331,
255,,Segment,1,1,Image 1,1,1,100000007,510000003332,
255,,Segment,1,1,Image 1,1,1,100000007,510000003333,
255,,Segment,1,0,Image 1,1,1,100000008,510000003334,
255,,Segment,1,1,Image 1,1,1,100000008,510000003335,
255,,Segment,1,0,Image 1,1,1,100000009,510000003336,
255,,Segment,1,2,Image 1,1,1,100000009,510000003337,
245,,Segment,1,0,Image 1,1,1,100000010,510000003338,
245,,Segment,1,0,Image 1,1,1,100000010,510000003339,
255,,Segment,1,0,Image 1,1,1,100000011,510000003340,
255,,Segment,1,1,Image 1,1,1,100000011,510000003341,
255,,Segment,1,1,Image 1,2,1,100000011,510000003342,
255,,Segment,1,2,Image 1,2,1,100000011,510000003343,
255,,Segment,1,3,Image 1,2,1,100000011,510000003344,
255,,Segment,1,1,Image 1,2,1,100000011,510000003345,
255,,Segment,1,2,Image 1,2,1,100000011,510000003346,
255,,Segment,1,0,Image 1,1,1,100000011,510000003347,
255,,Segment,1,1,Image 1,1,1,100000012,510000003348,
255,,Segment,1,1,Image 1,1,1,100000012,510000003349,
255,,Segment,1,1,Image 1,1,1,100000013,510000003350,
255,,Segment,1,2,Image 1,1,1,100000013,510000003351,
255,,Segment,1,2,Image 1,2,1,100000013,510000003352,
255,,Segment,1,3,Image 1,3,1,100000013,510000003353,
255,,Segment,1,2,Image 1,1,1,100000013,510000003354,
255,,Segment,1,3,Image 1,1,1,100000013,510000003355,
