
Segment Straightness
 ==================== 
Segment Straightness,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.969555,,Segment,2,1,1,100000002,510000000616,
0.958436,,Segment,3,1,1,100000002,510000000635,
0.967785,,Segment,3,2,1,100000002,510000000663,
0.959602,,Segment,1,1,1,100000002,510000000685,
0.994959,,Segment,2,1,1,100000002,510000000709,
0.987399,,Segment,3,1,1,100000002,510000000711,
0.96919,,Segment,4,1,1,100000002,510000000716,
0.943657,,Segment,2,2,1,100000002,510000000726,
0.932908,,Segment,4,2,1,100000002,510000000743,
0.971561,,Segment,3,2,1,100000002,510000000755,
0.991968,,Segment,1,1,1,100000002,510000000760,
0.968445,,Segment,3,1,1,100000002,510000000765,
0.973948,,Segment,3,2,1,100000002,510000000773,
0.955959,,Segment,2,2,1,100000002,510000000783,
0.99561,,Segment,2,2,1,100000002,510000000798,
0.954682,,Segment,1,1,1,100000002,510000000824,
0.957427,,Segment,2,2,1,100000002,510000000832,
0.987057,,Segment,2,1,1,100000003,510000000846,
0.99523,,Segment,0,1,1,100000003,510000000855,
0.900515,,Segment,1,1,1,100000003,510000000857,
0.997952,,Segment,3,2,1,100000003,510000000884,
0.990186,,Segment,4,2,1,100000003,510000000886,
0.988437,,Segment,3,3,1,100000003,510000000893,
0.993125,,Segment,4,3,1,100000003,510000000899,
0.990793,,Segment,4,4,1,100000003,510000000907,
0.98785,,Segment,2,3,1,100000003,510000000910,
0.98293,,Segment,3,3,1,100000003,510000000912,
0.983183,,Segment,3,4,1,100000003,510000000934,
0.956499,,Segment,8,4,1,100000003,510000000951,
0.875391,,Segment,8,5,1,100000003,510000000961,
0.99262,,Segment,8,5,1,100000003,510000000979,
0.991452,,Segment,9,5,1,100000003,510000000986,
0.987776,,Segment,8,6,1,100000003,510000000995,
0.992909,,Segment,9,6,1,100000003,510000000997,
0.979989,,Segment,6,5,1,100000003,510000001012,
0.855669,,Segment,5,4,1,100000003,510000001037,
0.979969,,Segment,4,4,1,100000003,510000001057,
0.965883,,Segment,5,5,1,100000003,510000001060,
0.961363,,Segment,6,5,1,100000003,510000001062,
0.985322,,Segment,9,7,1,100000003,510000001072,
0.95325,,Segment,9,6,1,100000003,510000001077,
0.969965,,Segment,7,5,1,100000003,510000001085,
0.933539,,Segment,2,3,1,100000003,510000001099,
0.898064,,Segment,2,2,1,100000003,510000001118,
0.924868,,Segment,1,2,1,100000003,510000001127,
0.959209,,Segment,4,3,1,100000003,510000001138,
0.963794,,Segment,1,2,1,100000003,510000001158,
0.928705,,Segment,1,1,1,100000004,510000001175,
0.973246,,Segment,2,2,1,100000004,510000001196,
0.983118,,Segment,3,2,1,100000004,510000001204,
0.947231,,Segment,3,3,1,100000004,510000001211,
0.945893,,Segment,1,2,1,100000004,510000001218,
0.999311,,Segment,1,1,1,100000004,510000001242,
0.994574,,Segment,2,1,1,100000004,510000001244,
0.974461,,Segment,2,3,1,100000004,510000001259,
0.997042,,Segment,2,3,1,100000004,510000001270,
0.999525,,Segment,3,3,1,100000004,510000001272,
0.931029,,Segment,4,3,1,100000004,510000001275,
0.990069,,Segment,4,4,1,100000004,510000001293,
0.95703,,Segment,2,2,1,100000004,510000001302,
0.892254,,Segment,3,4,1,100000004,510000001319,
0.876205,,Segment,1,1,1,100000005,510000001337,
0.937583,,Segment,1,1,1,100000005,510000001375,
0.947511,,Segment,2,1,1,100000005,510000001403,
0.949018,,Segment,1,1,1,100000005,510000001419,
0.950322,,Segment,1,1,1,100000005,510000001434,
0.998806,,Segment,1,1,1,100000005,510000001466,
0.998198,,Segment,2,1,1,100000005,510000001468,
0.932761,,Segment,3,1,1,100000005,510000001470,
0.999307,,Segment,2,2,1,100000005,510000001515,
0.922858,,Segment,3,2,1,100000005,510000001517,
0.98003,,Segment,3,3,1,100000005,510000001545,
0.937885,,Segment,3,2,1,100000005,510000001563,
0.98249,,Segment,2,2,1,100000005,510000001589,
0.981483,,Segment,3,2,1,100000005,510000001599,
0.914245,,Segment,3,3,1,100000005,510000001611,
0.968326,,Segment,2,1,1,100000006,510000001633,
0.975775,,Segment,2,2,1,100000006,510000001648,
0.98264,,Segment,2,2,1,100000006,510000001680,
0.997161,,Segment,2,1,1,100000006,510000001689,
0.959851,,Segment,3,1,1,100000006,510000001692,
0.911671,,Segment,2,2,1,100000006,510000001734,
0.954371,,Segment,3,2,1,100000006,510000001744,
