
Segment Area
 ==================== 
Segment Area,Unit,Category,Depth,Level,Time,FilamentID,ID,
1772.28,µm^2,Segment,1,2,1,100000008,510000001997,
1426.18,µm^2,Segment,4,2,1,100000008,510000002005,
1145.76,µm^2,Segment,2,2,1,100000008,510000002022,
1346.47,µm^2,Segment,1,2,1,100000008,510000002027,
758.859,µm^2,Segment,2,2,1,100000008,510000002031,
1060.84,µm^2,Segment,2,2,1,100000008,510000002036,
496.968,µm^2,Segment,3,2,1,100000008,510000002040,
1466.27,µm^2,Segment,3,3,1,100000008,510000002045,
1882.8,µm^2,Segment,3,2,1,100000008,510000002056,
3500.33,µm^2,Segment,2,2,1,100000008,510000002076,
1506.77,µm^2,Segment,2,3,1,100000008,510000002093,
1637.99,µm^2,Segment,1,2,1,100000009,510000002102,
1189.17,µm^2,Segment,1,2,1,100000009,510000002111,
725.77,µm^2,Segment,1,1,1,100000009,510000002126,
822.126,µm^2,Segment,3,1,1,100000009,510000002129,
894.191,µm^2,Segment,3,2,1,100000009,510000002143,
743.765,µm^2,Segment,2,2,1,100000009,510000002148,
423.094,µm^2,Segment,3,2,1,100000009,510000002151,
902.327,µm^2,Segment,2,2,1,100000009,510000002156,
477.92,µm^2,Segment,3,3,1,100000009,510000002165,
1267.67,µm^2,Segment,1,2,1,100000009,510000002171,
521.574,µm^2,Segment,2,2,1,100000009,510000002176,
1377.32,µm^2,Segment,2,3,1,100000009,510000002180,
262.827,µm^2,Segment,1,1,1,100000010,510000002194,
660.643,µm^2,Segment,2,1,1,100000010,510000002196,
1832.97,µm^2,Segment,3,1,1,100000010,510000002202,
1003.68,µm^2,Segment,2,2,1,100000010,510000002218,
2080.91,µm^2,Segment,3,2,1,100000010,510000002226,
695.745,µm^2,Segment,1,2,1,100000010,510000002246,
1863.56,µm^2,Segment,2,3,1,100000010,510000002248,
1793.49,µm^2,Segment,3,3,1,100000010,510000002263,
359.561,µm^2,Segment,2,2,1,100000010,510000002278,
827.032,µm^2,Segment,3,2,1,100000010,510000002281,
705.295,µm^2,Segment,4,2,1,100000010,510000002290,
2766.92,µm^2,Segment,3,3,1,100000010,510000002302,
1436.26,µm^2,Segment,4,3,1,100000010,510000002331,
1331.11,µm^2,Segment,1,1,1,100000010,510000002342,
675.72,µm^2,Segment,2,1,1,100000010,510000002358,
203.307,µm^2,Segment,3,1,1,100000010,510000002363,
373.38,µm^2,Segment,3,2,1,100000010,510000002365,
2209.2,µm^2,Segment,1,2,1,100000010,510000002368,
1250.04,µm^2,Segment,3,2,1,100000010,510000002382,
757.999,µm^2,Segment,1,2,1,100000010,510000002396,
