
Segment Number of Voxel Ch=2 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
6421,,Segment,2,1,Image 1,1,1,100000007,510000003333,
15076,,Segment,2,0,Image 1,1,1,100000008,510000003334,
3229,,Segment,2,1,Image 1,1,1,100000008,510000003335,
19835,,Segment,2,0,Image 1,1,1,100000009,510000003336,
967,,Segment,2,2,Image 1,1,1,100000009,510000003337,
21905,,Segment,2,0,Image 1,1,1,100000010,510000003338,
22383,,Segment,2,0,Image 1,1,1,100000010,510000003339,
7090,,Segment,2,0,Image 1,1,1,100000011,510000003340,
2359,,Segment,2,1,Image 1,1,1,100000011,510000003341,
2404,,Segment,2,1,Image 1,2,1,100000011,510000003342,
2099,,Segment,2,2,Image 1,2,1,100000011,510000003343,
1162,,Segment,2,3,Image 1,2,1,100000011,510000003344,
3421,,Segment,2,1,Image 1,2,1,100000011,510000003345,
1844,,Segment,2,2,Image 1,2,1,100000011,510000003346,
8790,,Segment,2,0,Image 1,1,1,100000011,510000003347,
7712,,Segment,2,1,Image 1,1,1,100000012,510000003348,
7074,,Segment,2,1,Image 1,1,1,100000012,510000003349,
13394,,Segment,2,1,Image 1,1,1,100000013,510000003350,
2518,,Segment,2,2,Image 1,1,1,100000013,510000003351,
1694,,Segment,2,2,Image 1,2,1,100000013,510000003352,
1209,,Segment,2,3,Image 1,3,1,100000013,510000003353,
1799,,Segment,2,2,Image 1,1,1,100000013,510000003354,
1646,,Segment,2,3,Image 1,1,1,100000013,510000003355,
