
Segment Intensity Mean Ch=1 Img=1
 ==================== 
Segment Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
152.626,,Segment,1,3,Image 1,2,1,100000008,510000002056,
154.671,,Segment,1,2,Image 1,2,1,100000008,510000002076,
146.232,,Segment,1,2,Image 1,3,1,100000008,510000002093,
155.428,,Segment,1,1,Image 1,2,1,100000009,510000002102,
131.386,,Segment,1,1,Image 1,2,1,100000009,510000002111,
227.007,,Segment,1,1,Image 1,1,1,100000009,510000002126,
111.52,,Segment,1,3,Image 1,1,1,100000009,510000002129,
128.27,,Segment,1,3,Image 1,2,1,100000009,510000002143,
139.386,,Segment,1,2,Image 1,2,1,100000009,510000002148,
123.395,,Segment,1,3,Image 1,2,1,100000009,510000002151,
131.032,,Segment,1,2,Image 1,2,1,100000009,510000002156,
102.703,,Segment,1,3,Image 1,3,1,100000009,510000002165,
111.713,,Segment,1,1,Image 1,2,1,100000009,510000002171,
141.578,,Segment,1,2,Image 1,2,1,100000009,510000002176,
115.149,,Segment,1,2,Image 1,3,1,100000009,510000002180,
163.447,,Segment,1,1,Image 1,1,1,100000010,510000002194,
168.238,,Segment,1,2,Image 1,1,1,100000010,510000002196,
129.854,,Segment,1,3,Image 1,1,1,100000010,510000002202,
165.64,,Segment,1,2,Image 1,2,1,100000010,510000002218,
171.221,,Segment,1,3,Image 1,2,1,100000010,510000002226,
172.074,,Segment,1,1,Image 1,2,1,100000010,510000002246,
132.855,,Segment,1,2,Image 1,3,1,100000010,510000002248,
137.15,,Segment,1,3,Image 1,3,1,100000010,510000002263,
181.854,,Segment,1,2,Image 1,2,1,100000010,510000002278,
149.768,,Segment,1,3,Image 1,2,1,100000010,510000002281,
132.034,,Segment,1,4,Image 1,2,1,100000010,510000002290,
141.981,,Segment,1,3,Image 1,3,1,100000010,510000002302,
126.447,,Segment,1,4,Image 1,3,1,100000010,510000002331,
173.704,,Segment,1,1,Image 1,1,1,100000010,510000002342,
161.326,,Segment,1,2,Image 1,1,1,100000010,510000002358,
165.318,,Segment,1,3,Image 1,1,1,100000010,510000002363,
91.1083,,Segment,1,3,Image 1,2,1,100000010,510000002365,
127.227,,Segment,1,1,Image 1,2,1,100000010,510000002368,
158.575,,Segment,1,3,Image 1,2,1,100000010,510000002382,
165.43,,Segment,1,1,Image 1,2,1,100000010,510000002396,
111.543,,Segment,1,2,Image 1,2,1,100000010,510000002399,
164.644,,Segment,1,2,Image 1,3,1,100000010,510000002407,
156.12,,Segment,1,3,Image 1,3,1,100000010,510000002412,
112.873,,Segment,1,4,Image 1,3,1,100000010,510000002417,
175.097,,Segment,1,4,Image 1,4,1,100000010,510000002428,
190.882,,Segment,1,1,Image 1,2,1,100000010,510000002431,
177.078,,Segment,1,2,Image 1,2,1,100000010,510000002441,
160.97,,Segment,1,3,Image 1,2,1,100000010,510000002444,
172.383,,Segment,1,4,Image 1,2,1,100000010,510000002447,
166.647,,Segment,1,4,Image 1,3,1,100000010,510000002454,
147.96,,Segment,1,5,Image 1,3,1,100000010,510000002456,
183.336,,Segment,1,5,Image 1,4,1,100000010,510000002459,
171,,Segment,1,3,Image 1,3,1,100000010,510000002461,
145.902,,Segment,1,2,Image 1,3,1,100000010,510000002466,
144.318,,Segment,1,2,Image 1,2,1,100000010,510000002479,
129.4,,Segment,1,3,Image 1,4,1,100000010,510000002488,
206.838,,Segment,1,2,Image 1,1,1,100000011,510000002505,
139.636,,Segment,1,3,Image 1,1,1,100000011,510000002515,
189.352,,Segment,1,2,Image 1,2,1,100000011,510000002528,
228.7,,Segment,1,2,Image 1,3,1,100000011,510000002550,
156.289,,Segment,1,4,Image 1,2,1,100000011,510000002565,
169.103,,Segment,1,4,Image 1,3,1,100000011,510000002578,
189.384,,Segment,1,3,Image 1,3,1,100000011,510000002584,
180.975,,Segment,1,2,Image 1,3,1,100000011,510000002606,
167.522,,Segment,1,1,Image 1,1,1,100000011,510000002630,
128.398,,Segment,1,1,Image 1,2,1,100000011,510000002643,
220.29,,Segment,1,3,Image 1,2,1,100000011,510000002661,
129.625,,Segment,1,3,Image 1,3,1,100000011,510000002664,
153.535,,Segment,1,3,Image 1,2,1,100000011,510000002675,
141.991,,Segment,1,2,Image 1,1,1,100000012,510000002702,
144.299,,Segment,1,3,Image 1,1,1,100000012,510000002709,
92.7857,,Segment,1,4,Image 1,1,1,100000012,510000002731,
93.3038,,Segment,1,4,Image 1,2,1,100000012,510000002740,
165.428,,Segment,1,2,Image 1,2,1,100000012,510000002746,
166.772,,Segment,1,3,Image 1,2,1,100000012,510000002752,
164.569,,Segment,1,4,Image 1,2,1,100000012,510000002760,
157.916,,Segment,1,5,Image 1,2,1,100000012,510000002776,
116.044,,Segment,1,5,Image 1,3,1,100000012,510000002784,
150.23,,Segment,1,4,Image 1,3,1,100000012,510000002791,
170.557,,Segment,1,1,Image 1,1,1,100000012,510000002813,
137.388,,Segment,1,2,Image 1,1,1,100000012,510000002820,
187.959,,Segment,1,2,Image 1,2,1,100000012,510000002832,
153.743,,Segment,1,3,Image 1,2,1,100000012,510000002836,
152.86,,Segment,1,2,Image 1,1,1,100000012,510000002867,
134.167,,Segment,1,3,Image 1,1,1,100000012,510000002869,
111.988,,Segment,1,3,Image 1,2,1,100000012,510000002897,
167.892,,Segment,1,2,Image 1,2,1,100000012,510000002921,
157.482,,Segment,1,3,Image 1,2,1,100000012,510000002930,
110.698,,Segment,1,3,Image 1,3,1,100000012,510000002947,
