
Segment Center Intensity Sum Ch=1 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1116,,Segment,1,1,Image 1,2,1,100000008,510000002027,
984,,Segment,1,2,Image 1,2,1,100000008,510000002031,
1044,,Segment,1,2,Image 1,2,1,100000008,510000002036,
1042,,Segment,1,3,Image 1,2,1,100000008,510000002040,
1431,,Segment,1,3,Image 1,3,1,100000008,510000002045,
2390,,Segment,1,3,Image 1,2,1,100000008,510000002056,
2710,,Segment,1,2,Image 1,2,1,100000008,510000002076,
1222,,Segment,1,2,Image 1,3,1,100000008,510000002093,
1942,,Segment,1,1,Image 1,2,1,100000009,510000002102,
1543,,Segment,1,1,Image 1,2,1,100000009,510000002111,
672,,Segment,1,1,Image 1,1,1,100000009,510000002126,
1551,,Segment,1,3,Image 1,1,1,100000009,510000002129,
740,,Segment,1,3,Image 1,2,1,100000009,510000002143,
651,,Segment,1,2,Image 1,2,1,100000009,510000002148,
647,,Segment,1,3,Image 1,2,1,100000009,510000002151,
965,,Segment,1,2,Image 1,2,1,100000009,510000002156,
832,,Segment,1,3,Image 1,3,1,100000009,510000002165,
697,,Segment,1,1,Image 1,2,1,100000009,510000002171,
738,,Segment,1,2,Image 1,2,1,100000009,510000002176,
1597,,Segment,1,2,Image 1,3,1,100000009,510000002180,
494,,Segment,1,1,Image 1,1,1,100000010,510000002194,
1187,,Segment,1,2,Image 1,1,1,100000010,510000002196,
1961,,Segment,1,3,Image 1,1,1,100000010,510000002202,
1459,,Segment,1,2,Image 1,2,1,100000010,510000002218,
3742,,Segment,1,3,Image 1,2,1,100000010,510000002226,
500,,Segment,1,1,Image 1,2,1,100000010,510000002246,
2049,,Segment,1,2,Image 1,3,1,100000010,510000002248,
1792,,Segment,1,3,Image 1,3,1,100000010,510000002263,
720,,Segment,1,2,Image 1,2,1,100000010,510000002278,
1605,,Segment,1,3,Image 1,2,1,100000010,510000002281,
1683,,Segment,1,4,Image 1,2,1,100000010,510000002290,
4606,,Segment,1,3,Image 1,3,1,100000010,510000002302,
1341,,Segment,1,4,Image 1,3,1,100000010,510000002331,
2952,,Segment,1,1,Image 1,1,1,100000010,510000002342,
982,,Segment,1,2,Image 1,1,1,100000010,510000002358,
587,,Segment,1,3,Image 1,1,1,100000010,510000002363,
429,,Segment,1,3,Image 1,2,1,100000010,510000002365,
1777,,Segment,1,1,Image 1,2,1,100000010,510000002368,
2341,,Segment,1,3,Image 1,2,1,100000010,510000002382,
628,,Segment,1,1,Image 1,2,1,100000010,510000002396,
960,,Segment,1,2,Image 1,2,1,100000010,510000002399,
1008,,Segment,1,2,Image 1,3,1,100000010,510000002407,
974,,Segment,1,3,Image 1,3,1,100000010,510000002412,
1460,,Segment,1,4,Image 1,3,1,100000010,510000002417,
822,,Segment,1,4,Image 1,4,1,100000010,510000002428,
2164,,Segment,1,1,Image 1,2,1,100000010,510000002431,
686,,Segment,1,2,Image 1,2,1,100000010,510000002441,
656,,Segment,1,3,Image 1,2,1,100000010,510000002444,
