
Segment Position
 ==================== 
Segment Position X,Segment Position Y,Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
109549,6257.04,6.2451,µm,Segment,Segment Position,3,2,1,100000010,510000002382,
109437,6312.47,2.86536,µm,Segment,Segment Position,3,2,1,100000010,510000002444,
109606,6021.55,19.2272,µm,Segment,Segment Position,3,2,1,100000011,510000002661,
109666,5901.85,13.5779,µm,Segment,Segment Position,3,2,1,100000011,510000002675,
110566,6008.33,17.1135,µm,Segment,Segment Position,3,2,1,100000012,510000002752,
110488,5983.4,14.6469,µm,Segment,Segment Position,3,2,1,100000012,510000002836,
110495,6106.49,10.5111,µm,Segment,Segment Position,3,2,1,100000012,510000002897,
110540,6142.03,15.8148,µm,Segment,Segment Position,3,2,1,100000012,510000002930,
110547,5993.98,18.2815,µm,Segment,Segment Position,3,2,1,100000012,510000003014,
110044,5423.46,14.9241,µm,Segment,Segment Position,3,2,1,100000013,510000003056,
110046,5433.38,15.2883,µm,Segment,Segment Position,3,2,1,100000013,510000003081,
110001,5488.05,18.5214,µm,Segment,Segment Position,3,2,1,100000013,510000003188,
110002,5454.4,19.0407,µm,Segment,Segment Position,3,2,1,100000013,510000003244,
110008,5457.54,-0.627304,µm,Segment,Segment Position,3,2,1,100000013,510000003253,
109633,6028.58,17.019,µm,Segment,Segment Position,3,2,1,100000011,510000003344,
109859,5345.09,6.29786,µm,Segment,Segment Position,3,3,1,100000000,510000000217,
109790,5779.82,17.9069,µm,Segment,Segment Position,3,3,1,100000003,510000000893,
109815,5774.13,-7.47091,µm,Segment,Segment Position,3,3,1,100000003,510000000912,
110026,6035.47,12.3198,µm,Segment,Segment Position,3,3,1,100000004,510000001211,
110051,6107.97,15.3297,µm,Segment,Segment Position,3,3,1,100000004,510000001272,
110470,5884.76,14.5187,µm,Segment,Segment Position,3,3,1,100000005,510000001545,
110324,5763.42,3.79295,µm,Segment,Segment Position,3,3,1,100000005,510000001611,
109464,5655.07,18.5007,µm,Segment,Segment Position,3,3,1,100000006,510000001753,
109502,5602.14,14.9262,µm,Segment,Segment Position,3,3,1,100000006,510000001796,
109122,5697.04,18.5541,µm,Segment,Segment Position,3,3,1,100000007,510000001949,
109317,6242.9,7.26688,µm,Segment,Segment Position,3,3,1,100000008,510000002045,
110157,6095.22,9.94137,µm,Segment,Segment Position,3,3,1,100000009,510000002165,
109560,6361.88,-11.7585,µm,Segment,Segment Position,3,3,1,100000010,510000002263,
109516,6361.54,8.76584,µm,Segment,Segment Position,3,3,1,100000010,510000002302,
109456,6270.9,-4.41373,µm,Segment,Segment Position,3,3,1,100000010,510000002412,
109437,6329.75,3.44452,µm,Segment,Segment Position,3,3,1,100000010,510000002461,
109625,6038.93,-3.80193,µm,Segment,Segment Position,3,3,1,100000011,510000002584,
109583,6026.96,15.9049,µm,Segment,Segment Position,3,3,1,100000011,510000002664,
110566,6137.37,2.122,µm,Segment,Segment Position,3,3,1,100000012,510000002947,
110562,6017.13,14.042,µm,Segment,Segment Position,3,3,1,100000012,510000002982,
110476,6036.58,15.8004,µm,Segment,Segment Position,3,3,1,100000012,510000003020,
109992,5526.27,8.30661,µm,Segment,Segment Position,3,3,1,100000013,510000003269,
110021,5491.54,11.8342,µm,Segment,Segment Position,3,3,1,100000013,510000003292,
110045,5433.63,15.8527,µm,Segment,Segment Position,3,3,1,100000013,510000003353,
109824,5796.68,14.5828,µm,Segment,Segment Position,3,4,1,100000003,510000000934,
110039,6129.67,5.54081,µm,Segment,Segment Position,3,4,1,100000004,510000001319,
109446,6238.53,6.65041,µm,Segment,Segment Position,3,4,1,100000010,510000002488,
110248,5639.3,18.9652,µm,Segment,Segment Position,4,1,1,100000001,510000000447,
109327,5139.97,-0.59278,µm,Segment,Segment Position,4,1,1,100000002,510000000716,
