
Segment Time
 ==================== 
Segment Time,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,s,Segment,1,1,1,100000006,510000001759,
0,s,Segment,3,2,1,100000006,510000001769,
0,s,Segment,3,2,1,100000006,510000001778,
0,s,Segment,3,3,1,100000006,510000001796,
0,s,Segment,2,1,1,100000007,510000001816,
0,s,Segment,3,1,1,100000007,510000001818,
0,s,Segment,1,1,1,100000007,510000001834,
0,s,Segment,2,2,1,100000007,510000001847,
0,s,Segment,3,2,1,100000007,510000001850,
0,s,Segment,2,1,1,100000007,510000001866,
0,s,Segment,1,1,1,100000007,510000001885,
0,s,Segment,2,1,1,100000007,510000001892,
0,s,Segment,2,2,1,100000007,510000001903,
0,s,Segment,2,2,1,100000007,510000001915,
0,s,Segment,1,1,1,100000007,510000001923,
0,s,Segment,1,1,1,100000007,510000001931,
0,s,Segment,3,3,1,100000007,510000001949,
0,s,Segment,3,2,1,100000007,510000001953,
0,s,Segment,0,1,1,100000008,510000001968,
0,s,Segment,2,1,1,100000008,510000001975,
0,s,Segment,3,1,1,100000008,510000001977,
0,s,Segment,4,1,1,100000008,510000001980,
0,s,Segment,1,2,1,100000008,510000001997,
0,s,Segment,4,2,1,100000008,510000002005,
0,s,Segment,2,2,1,100000008,510000002022,
0,s,Segment,1,2,1,100000008,510000002027,
0,s,Segment,2,2,1,100000008,510000002031,
0,s,Segment,2,2,1,100000008,510000002036,
0,s,Segment,3,2,1,100000008,510000002040,
0,s,Segment,3,3,1,100000008,510000002045,
0,s,Segment,3,2,1,100000008,510000002056,
0,s,Segment,2,2,1,100000008,510000002076,
0,s,Segment,2,3,1,100000008,510000002093,
0,s,Segment,1,2,1,100000009,510000002102,
0,s,Segment,1,2,1,100000009,510000002111,
0,s,Segment,1,1,1,100000009,510000002126,
0,s,Segment,3,1,1,100000009,510000002129,
0,s,Segment,3,2,1,100000009,510000002143,
0,s,Segment,2,2,1,100000009,510000002148,
0,s,Segment,3,2,1,100000009,510000002151,
0,s,Segment,2,2,1,100000009,510000002156,
0,s,Segment,3,3,1,100000009,510000002165,
0,s,Segment,1,2,1,100000009,510000002171,
0,s,Segment,2,2,1,100000009,510000002176,
0,s,Segment,2,3,1,100000009,510000002180,
0,s,Segment,1,1,1,100000010,510000002194,
0,s,Segment,2,1,1,100000010,510000002196,
0,s,Segment,3,1,1,100000010,510000002202,
0,s,Segment,2,2,1,100000010,510000002218,
0,s,Segment,3,2,1,100000010,510000002226,
0,s,Segment,1,2,1,100000010,510000002246,
0,s,Segment,2,3,1,100000010,510000002248,
0,s,Segment,3,3,1,100000010,510000002263,
0,s,Segment,2,2,1,100000010,510000002278,
0,s,Segment,3,2,1,100000010,510000002281,
0,s,Segment,4,2,1,100000010,510000002290,
0,s,Segment,3,3,1,100000010,510000002302,
0,s,Segment,4,3,1,100000010,510000002331,
0,s,Segment,1,1,1,100000010,510000002342,
0,s,Segment,2,1,1,100000010,510000002358,
0,s,Segment,3,1,1,100000010,510000002363,
0,s,Segment,3,2,1,100000010,510000002365,
0,s,Segment,1,2,1,100000010,510000002368,
0,s,Segment,3,2,1,100000010,510000002382,
0,s,Segment,1,2,1,100000010,510000002396,
0,s,Segment,2,2,1,100000010,510000002399,
0,s,Segment,2,3,1,100000010,510000002407,
0,s,Segment,3,3,1,100000010,510000002412,
0,s,Segment,4,3,1,100000010,510000002417,
0,s,Segment,4,4,1,100000010,510000002428,
0,s,Segment,1,2,1,100000010,510000002431,
0,s,Segment,2,2,1,100000010,510000002441,
0,s,Segment,3,2,1,100000010,510000002444,
0,s,Segment,4,2,1,100000010,510000002447,
0,s,Segment,4,3,1,100000010,510000002454,
0,s,Segment,5,3,1,100000010,510000002456,
0,s,Segment,5,4,1,100000010,510000002459,
0,s,Segment,3,3,1,100000010,510000002461,
0,s,Segment,2,3,1,100000010,510000002466,
0,s,Segment,2,2,1,100000010,510000002479,
0,s,Segment,3,4,1,100000010,510000002488,
0,s,Segment,2,1,1,100000011,510000002505,
0,s,Segment,3,1,1,100000011,510000002515,
0,s,Segment,2,2,1,100000011,510000002528,
0,s,Segment,2,3,1,100000011,510000002550,
0,s,Segment,4,2,1,100000011,510000002565,
0,s,Segment,4,3,1,100000011,510000002578,
0,s,Segment,3,3,1,100000011,510000002584,
0,s,Segment,2,3,1,100000011,510000002606,
0,s,Segment,1,1,1,100000011,510000002630,
0,s,Segment,1,2,1,100000011,510000002643,
0,s,Segment,3,2,1,100000011,510000002661,
0,s,Segment,3,3,1,100000011,510000002664,
0,s,Segment,3,2,1,100000011,510000002675,
